,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
13409,α14001,ἀποτυχίζω,v,----------,,,,,,0
13410,α14002,ἀπουλόω,v,----------,,,,,,0
13411,α14003,ἀπούλωσις,n,n-s---fn3v,ἀπουλωσέως,,,,,0
13412,α14004,ἀπουλωτικός,a,aps---mn1-,ἀπουλωτικός ἀπουλωτική ἀπουλωτικόν,,,,,0
13413,α14005,ἀπούλωτος,a,aps---cn2-,ἀπούλωτος ἀπούλωτος ἀπούλωτον,,,,,0
13414,α14006,ἀπουραγέω,v,----------,,,,,,0
13415,α13412,ἀποῦραι,n,----------,,,,,,0
13416,α14007,ἀπούρας,v,----------,,,,,,0
13417,α14008,ἄπουργοι,v,----------,,,,,,0
13418,α14009,ἀπουρέω,v,----------,,,,,,0
13420,α14011,ἀπούρησις,n,n-s---fn3v,ἀπουρησέως,,,,,0
13421,α14012,ἀπουρία,n,n-s---fn1l,ἀπουρίας,,,,,0
13422,α14013,ἀπουρίζω,v,----------,,,,,,0
13423,α14014,ἄπουρος,a,aps---cn2-,ἄπουρος ἄπουρος ἄπουρον,,,,,0
13424,α14015,ἀπουρόω,v,----------,,,,,,0
13425,α14016,ἄπους,a,app---cn5s,ἄπους ἄπους ἄπουν,,,/á.poːs/,,0
13426,α14017,ἀπουσία,n,n-s---fn1l,ἀπουσίας,,,,,0
13427,α14018,ἀπουσιάζω,v,----------,,,,,,0
13430,α14021,ἀποφαίνω,v,----------,,,,,,0
13431,α14022,ἀποφαλακρόομαι,v,----------,,,,,,0
13432,α14023,ἀπόφανσις,n,n-s---fn3v,ἀποφανσέως,,,,,0
13378,α13970,ἀποτροφή,n,n-s---fn1e,ἀποτροφῆς,,,,,0
13435,α14026,ἀπόφαντος,a,aps---cn2-,ἀπόφαντος ἀπόφαντος ἀπόφαντον,,,,,0
13436,α14027,ἀποφάργνυμι,v,----------,,,,,,0
13437,α14028,ἀπόφασις,n,----------,,,,,,0
13439,α14030,ἀποφάσκω,v,----------,,,,,,0
13441,α14032,ἀποφαυλίζω,v,----------,,,,,,0
13442,α14033,ἀποφενακίζω,v,----------,,,,,,0
13443,α14034,ἀποφέρβομαι,v,----------,,,,,,0
13444,α14035,ἀποφέρω,v,----------,,,,,,0
13445,α14036,ἀποφεύγω,v,----------,,,,,,0
13447,α14038,ἀπόφευξις,n,n-s---fn3v,ἀποφευξέως,,,,,0
13448,α14039,ἀποφηληκίζω,v,----------,,,,,,0
13449,α14040,ἀπόφημι,v,----------,,,,,,0
13450,α14041,ἀπόφημος,a,aps---cn2-,ἀπόφημος ἀπόφημος ἀπόφημον,,,,,0
13451,α14042,ἀποφθαλμόομαι,v,----------,,,,,,0
13452,α14043,ἀποφθαράξασθαι,n,----------,,,,,,0
13453,α14044,ἀπόφθαρμα,n,n-s---nn3t,ἀποφθάρματος,,,,,0
13454,α14045,ἀποφθέγγομαι,v,----------,,,,/a.popʰ.tʰéŋ.ɡo.mai̯/,,0
13455,α14046,ἀποφθεγκτήριον,n,n-s---nn2-,ἀποφθεγκτηρίου,,,,,0
13457,α14048,ἀπόφθεγμα,n,n-s---nn3t,ἀποφθέγματος,,,/a.pópʰ.tʰeŋ.ma/,,0
13458,α14049,ἀποφθεγματίας,n,n-s---mn1a,ἀποφθεγματίου,,,,,0
13460,α14051,ἀποφθείρω,v,----------,,,,,,0
13461,α14052,ἀποφθινύθω,v,----------,,,,,,0
13462,α14053,ἀποφθίνω,v,----------,,,,,,0
13463,α14054,ἀπόφθισις,n,n-s---fn3v,ἀποφθισέως,,,,,0
13464,α14055,ἀποφθορά,n,n-s---fn1l,ἀποφθορᾶς,,,,,0
13465,α14056,ἀποφιμόω,v,----------,,,,,,0
13466,α14057,ἀποφλαυρίζω,v,----------,,,,,,0
13467,α14058,ἀποφλεγμαίνω,v,----------,,,,,,0
13468,α14059,ἀποφλεγματίζω,v,----------,,,,,,0
13470,α14061,ἀποφλεγματισμός,n,----------,,,,,,0
13471,α14062,ἀποφλεγματιστέον,v,----------,,,,,,0
13472,α14063,ἀπόφλησις,n,n-s---fn3v,ἀποφλησέως,,,,,0
13473,α14064,ἀποφλογίζω,v,----------,,,,,,0
13474,α14065,ἀποφλογόομαι,v,----------,,,,,,0
13475,α14066,ἀποφλοιόω,v,----------,,,,,,0
13476,α14067,ἀποφλύζω,v,----------,,,,,,0
13477,α14068,ἀπόφλω,v,----------,,,,,,0
13478,α14069,ἀποφοβέομαι,v,----------,,,,,,0
13479,α14070,ἀποφοιβάζω,v,----------,,,,,,0
13481,α14072,ἀποφοιτάω,v,----------,,,,,,0
13482,α14073,ἀποφοίτησις,n,----------,,,,,,0
13483,α14074,ἀπόφονος,a,aps---cn2-,ἀπόφονος ἀπόφονος ἀπόφονον,,,,,0
13484,α14075,ἀποφορά,n,n-s---fn1l,ἀποφορᾶς,,,,,0
13485,α14076,ἀποφορέω,v,----------,,,,,,0
13434,α14025,ἀποφαντικός,a,aps---mn1-,ἀποφαντικός ἀποφαντική ἀποφαντικόν,,,,,0
13488,α14079,ἀπόφορος,a,aps---cn2-,ἀπόφορος ἀπόφορος ἀπόφορον,,,,,0
13489,α14080,ἀποφορτίζομαι,v,----------,,,,,,0
13490,α14081,ἀποφορτισμός,n,----------,,,,,,0
13491,α14082,ἀποφράγνυμι,v,----------,,,,,,0
13492,α14083,ἀποφράζω,v,----------,,,,,,0
13494,α14085,ἀποφράς,n,n-s---fn3d,ἀποφράδος,,,,,0
13495,α14086,ἀποφράση,n,n-s---fn1e,ἀποφράσης,,,,,0
13496,α14087,ἀποφράσσω,v,----------,,,,,,0
13497,α14088,ἀποφρέω,v,----------,,,,,,0
13499,α14090,ἀποφρύγω,v,----------,,,,,,0
13500,α14091,ἀποφυάς,n,n-s---fn3d,ἀποφυάδος,,,,,0
13501,α14092,ἀποφυγγάνω,v,----------,,,,,,0
13502,α14093,ἀποφυγή,n,n-s---fn1e,ἀποφυγῆς,,,,,0
13503,α14094,ἀποφυλάττω,v,----------,,,,,,0
13504,α14095,ἀποφύλιος,a,aps---cn2-,ἀποφύλιος ἀποφύλιος ἀποφύλιον,,,,,0
13505,α14096,ἀποφυλλίζω,v,----------,,,,,,0
13506,α14097,ἀπόφυλλον,n,----------,,,,,,0
13507,α14098,ἀπόφυξις,n,n-s---fn3v,ἀποφυξέως,,,,,0
13508,α14099,ἀποφυσάω,v,----------,,,,,,0
13510,α14101,ἀποφυσητέον,a,----------,,,,,,0
13511,α14102,ἀπόφυσις,n,n-s---fn3v,ἀποφυσέως,,,,,0
13512,α14103,ἀποφυτεία,n,n-s---fn1l,ἀποφυτείας,,,,,0
13513,α14104,ἀποφυτεύω,v,----------,,,,,,0
13514,α14106,ἀποφύω,v,----------,,,,,,0
13515,α14107,ἀποφώζω,v,----------,,,,,,0
13518,α14109,ἀποφωνέω,v,----------,,,,,,0
13519,α14110,ἀποφώρ,n,----------,,,,,,0
13520,α14111,ἀποχάζομαι,v,----------,,,,,,0
13521,α14112,ἀποχαιρετίζω,v,----------,,,,,,0
13522,α14113,ἀποχαλάω,v,----------,,,,,,0
13523,α14114,ἀποχαλινόω,v,----------,,,,,,0
13524,α14115,ἀποχαλκεύω,v,----------,,,,,,0
13525,α14116,ἀποχαλκίζω,v,----------,,,,,,0
13526,α14117,ἀποχαρακόω,v,----------,,,,,,0
13527,α14118,ἀποχάραξις,n,n-s---fn3v,ἀποχαραξέως,,,,,0
13528,α14119,ἀποχαράσσω,v,----------,,,,,,0
13529,α14120,ἀποχαρίζομαι,v,----------,,,,,,0
13531,α14122,ἀποχαριστέω,v,----------,,,,,,0
13532,α14123,ἀποχειμάζω,v,----------,,,,,,0
13533,α14124,ἀποχειρίζω,v,----------,,,,,,0
13536,α14127,ἀπόχειρος,a,aps---cn2-,ἀπόχειρος ἀπόχειρος ἀπόχειρον,,,,,0
13537,α14128,ἀποχειροτονέω,v,----------,,,,,,0
13538,α14129,ἀποχειροτονητέον,v,----------,,,,,,0
13539,α14130,ἀποχειροτονία,n,n-s---fn1l,ἀποχειροτονίας,,,,,0
13487,α14078,ἀποφόρητος,a,aps---cn2-,ἀποφόρητος ἀποφόρητος ἀποφόρητον,,,,,0
13543,α14134,ἀποχέω,v,----------,,,,,,0
13544,α14135,ἀποχή,n,n-s---fn1e,ἀποχῆς,,,/a.po.kʰɛ̌ː/,,0
13545,α14136,ἀποχηρόομαι,v,----------,,,,,,0
13546,α14137,ἀπόχιμος,a,aps---cn2-,ἀπόχιμος ἀπόχιμος ἀπόχιμον,,,,,0
13547,α14138,ἀποχλωρίας,n,n-s---mn1a,ἀποχλωρίου,,,,,0
13548,α14139,ἀποχοίρωσις,n,n-s---fn3v,ἀποχοιρωσέως,,,,,0
13549,α14140,ἀπόχοον,n,n-s---nn2-,ἀποχόου,,,,,0
13551,α14142,ἄποχος,a,aps---cn2-,ἄποχος ἄποχος ἄποχον,,,,,0
13552,α14143,ἀποχραίνω,v,----------,,,,,,0
13553,α14144,ἀποχράω,v,----------,,,,,,0
13554,α14145,ἀπόχρεμμα,n,n-s---nn3t,ἀποχρέμματος,,,,,0
13555,α14146,ἀποχρέμπτομαι,v,----------,,,,,,0
13557,α14148,ἀποχρεόντως,n,----------,,,,,,0
13558,α14149,ἀποχρέω,v,----------,,,,,,0
13560,α14151,ἀποχρήματος,n,----------,,,,,,0
13561,α14152,ἀπόχρησις,n,n-s---fn3v,ἀποχρησέως,,,,,0
13562,α14153,ἀποχρηστικῶς,n,----------,,,,,,0
13563,α14154,ἀποχρυσόω,v,----------,,,,,,0
13564,α14155,ἀποχρωμένως,n,----------,,,,,,0
13565,α14156,ἀποχρώννυμι,v,----------,,,,,,0
13567,α14158,ἀπόχρωσις,n,n-s---fn3v,ἀποχρωσέως,,,,,0
13568,α14159,ἀποχυλίζω,v,----------,,,,,,0
13569,α14160,ἀποχύλισμα,n,n-s---nn3t,ἀποχυλίσματος,,,,,0
13570,α14161,ἀποχυλόω,v,----------,,,,,,0
13571,α14162,ἀπόχυμα,n,n-s---nn3t,ἀποχύματος,,,,,0
13572,α14163,ἀποχύνω,v,----------,,,,,,0
13573,α14164,ἀποχυρόω,v,----------,,,,,,0
13576,α14167,ἀπόχυτος,a,aps---cn2-,ἀπόχυτος ἀπόχυτος ἀπόχυτον,,,,,0
13577,α14168,ἀποχωλεύω,v,----------,,,,,,0
13578,α14169,ἀποχωλόομαι,v,----------,,,,,,0
13579,α14170,ἀποχώννυμι,v,----------,,,,,,0
13580,α14171,ἀποχωρέω,v,----------,,,,,,0
13581,α14172,ἀποχωρήματα,n,n-p---nn2-,ἀποχωρημάτων,,,,,0
13583,α14174,ἀποχωρητέον,a,----------,,,,,,0
13584,α14175,ἀποχωρίζω,v,----------,,,,,,0
13585,α14176,ἀποχώρισις,n,n-s---fn3v,ἀποχωρισέως,,,,,0
13586,α14177,ἀποχωριστέον,v,----------,,,,,,0
13587,α14178,ἀποχωριστής,n,n-s---mn1e,ἀποχωριστού,,,,,0
13588,α14179,ἀπόχωσις,n,n-s---fn3v,ἀποχωσέως,,,,,0
13589,α14180,ἀποψάλακτος,n,----------,,,,,,0
13590,α14181,ἀποψαλίζω,v,----------,,,,,,0
13591,α14182,ἀποψάλλω,v,----------,,,,,,0
13593,α14184,ἀποψαύω,v,----------,,,,,,0
13594,α14185,ἀποψάω,v,----------,,,,,,0
13595,α14186,ἀποψέ,r,----------,,,,,,0
13596,α14187,ἀποψεύδομαι,v,----------,,,,,,0
13542,α14133,ἀποχετεύω,v,----------,,,,,,0
13600,α14191,ἀπόψημα,n,n-s---nn3t,ἀποψήματος,,,,,0
13601,α14192,ἀπόψηξις,n,n-s---fn3v,ἀποψηξέως,,,,,0
13602,α14193,ἀπόψηστρον,n,n-s---nn2-,ἀποψήστρου,,,,,0
13604,α14195,ἀποψήφισις,n,n-s---fn3v,ἀποψηφισέως,,,,,0
13605,α14196,ἀποψηφιστέον,a,----------,,,,,,0
13606,α14197,ἀπόψηφος,a,aps---cn2-,ἀπόψηφος ἀπόψηφος ἀπόψηφον,,,,,0
13607,α14198,ἀποψήχω,v,----------,,,,,,0
13608,α14199,ἀποψιλόω,v,----------,,,,,,0
13609,α14200,ἀποψίλωσις,n,n-s---fn3v,ἀποψιλωσέως,,,,,0
13611,α14202,ἄποψις,n,n-s---fn3v,ἀποψέως,,,,,0
13612,α14203,ἀποψίω,v,----------,,,,,,0
13613,α14204,ἀποψοφέω,v,----------,,,,,,0
13614,α14205,ἀποψόφησις,n,n-s---fn3v,ἀποψοφησέως,,,,,0
13615,α14206,ἀπόψυγμα,n,n-s---nn3t,ἀποψύγματος,,,,,0
13616,α14207,ἀπόψυζις,n,n-s---fn3v,ἀποψυζέως,,,,,0
13617,α14208,ἀπόψυχος,a,aps---cn2-,ἀπόψυχος ἀπόψυχος ἀπόψυχον,,,,,0
13618,α14209,ἀποψύχω,v,----------,,,,,,0
13619,α14210,ἀποψωλέω,v,----------,,,,,,0
13620,α14211,ἀποψώχω,v,----------,,,,,,0
13621,α14212,ἄππα,n,----------,,,,,,0
13622,α14213,ἀππαπαῖ,n,----------,,,,,,0
13623,α14214,ἄππας,n,----------,,,,,,0
13625,α14216,ἀππέμψει,n,----------,,,,,,0
13626,α14217,ἀπραγέω,v,----------,,,,,,0
13629,α14220,ἀπραγμοσύνη,n,n-s---fn1e,ἀπραγμοσύνης,,,,,0
13630,α14221,ἀπράγμων,a,aps---cn3n,ἀπράγμων ἀπράγμων ἀπράγμον,,,,,0
13631,,Ἀπραγόπολις,n,n-s---fn3v,Ἀπραγοπολέως,,,,,0
13632,α14222,ἄπραγος,a,aps---cn2-,ἄπραγος ἄπραγος ἄπραγον,,,,,0
13633,α14223,ἀπρακτέω,v,----------,,,,,,0
13634,α14224,ἄπρακτος,a,aps---cn2-,ἄπρακτος ἄπρακτος ἄπρακτον,,,,,0
13635,α14225,ἀπραξία,n,n-s---fn1l,ἀπραξίας,,,,,0
13636,α14226,ἀπρασία,n,n-s---fn1l,ἀπρασίας,,,,,0
13637,α14227,ἄπρατος,a,----------,,,,,,0
13638,α14228,ἀπρέπεια,n,n-s---fn1s,ἀπρέπειας,,,,,0
13639,α14229,ἀπρεπής,a,aps---cn5s,ἀπρεπής ἀπρεπής ἀπρεπές,,,,,0
13640,α14230,ἄπρηκτος,n,----------,,,,,,0
13642,α14232,ἀπριάτην,r,----------,,,,,,0
13643,α14233,ἄπριγδα,n,----------,,,,,,0
13644,α14234,ἀπριγδόπληκτος,a,----------,,,,,,0
13645,α14235,ἀπρίξ,r,----------,,,,,,0
13647,α14237,ἀπρίωτος,a,aps---cn2-,ἀπρίωτος ἀπρίωτος ἀπρίωτον,,,,,0
13648,α14238,ἀπροαιρεσία,n,n-s---fn1l,ἀπροαιρεσίας,,,,,0
13649,α14239,ἀπροαίρετος,a,aps---cn2-,ἀπροαίρετος ἀπροαίρετος ἀπροαίρετον,,,,,0
13650,α14240,ἀπρόβατος,a,----------,,,,,,0
14255,α14808,ἄριμος,n,----------,,,,,,0
13599,α14190,ἀπόψηκτρον,n,n-s---nn2-,ἀποψήκτρου,,,,,0
13653,α14243,ἀπροβούλευτος,a,aps---cn2-,ἀπροβούλευτος ἀπροβούλευτος ἀπροβούλευτον,,,,,0
13654,α14244,ἀπροβουλία,n,n-s---fn1l,ἀπροβουλίας,,,,,0
13655,α14245,ἀπρόβουλος,a,aps---cn2-,ἀπρόβουλος ἀπρόβουλος ἀπρόβουλον,,,,,0
13656,α14246,ἀπρόγραφος,a,aps---cn2-,ἀπρόγραφος ἀπρόγραφος ἀπρόγραφον,,,,,0
13657,α14247,ἀπροδιηγήτως,r,----------,,,,,,0
13658,α14248,ἀπρόδικος,a,aps---cn2-,ἀπρόδικος ἀπρόδικος ἀπρόδικον,,,,,0
13660,α14250,ἀπρόθεσμος,a,aps---cn2-,ἀπρόθεσμος ἀπρόθεσμος ἀπρόθεσμον,,,,,0
13661,α14251,ἀπροθέτως,r,----------,,,,,,0
13662,α14252,ἀπροθυμία,n,n-s---fn1l,ἀπροθυμίας,,,/a.pro.tʰyː.mí.aː/,,0
13663,α14253,ἀπρόθυμος,a,aps---cn2-,ἀπρόθυμος ἀπρόθυμος ἀπρόθυμον,,,,,0
13664,α14254,ἀπροϊδής,a,aps---cn5s,ἀπροϊδής ἀπροϊδής ἀπροϊδές,,,,,0
13666,α14256,ἀπρόϊτος,a,aps---cn2-,ἀπρόϊτος ἀπρόϊτος ἀπρόϊτον,,,,,0
13667,α14257,ἀπροκάλυπτος,a,aps---cn2-,ἀπροκάλυπτος ἀπροκάλυπτος ἀπροκάλυπτον,,,,,0
13669,α14259,ἀπροκοπία,n,n-s---fn1l,ἀπροκοπίας,,,,,0
13670,α14260,ἀπρόκοπος,a,aps---cn2-,ἀπρόκοπος ἀπρόκοπος ἀπρόκοπον,,,,,0
13671,α14261,ἀπροκρίτως,a,----------,,,,,,0
13672,α14262,ἀπρόληπτος,a,aps---cn2-,ἀπρόληπτος ἀπρόληπτος ἀπρόληπτον,,,,,0
13673,α14263,ἀπρομήθεια,n,n-s---fn1s,ἀπρομήθειας,,,,,0
13674,α14264,ἀπρομήθευτος,r,----------,,,,,,0
13675,α14265,ἀπρομήθης,a,aps---cn3s,ἀπρομήθης ἀπρομήθης ἀπρομή͂θες,,,,,0
13676,α14266,ἀπρομήθητος,a,aps---cn2-,ἀπρομήθητος ἀπρομήθητος ἀπρομήθητον,,,,,0
13677,α14267,ἀπρονοησία,n,n-s---fn1l,ἀπρονοησίας,,,,,0
13678,α14268,ἀπρονοητέω,v,----------,,,,,,0
13679,α14269,ἀπρονόητος,a,aps---cn2-,ἀπρονόητος ἀπρονόητος ἀπρονόητον,,,,,0
13680,α14270,ἀπρόξενος,a,aps---cn2-,ἀπρόξενος ἀπρόξενος ἀπρόξενον,,,,,0
13681,α14271,ἀπροξίς,n,n-s---fn3d,ἀπροξίδος,,,,,0
13682,α14272,ἀπρόοδος,a,aps---cn2-,ἀπρόοδος ἀπρόοδος ἀπρόοδον,,,,,0
13684,α14274,ἀπρόοπτος,a,aps---cn2-,ἀπρόοπτος ἀπρόοπτος ἀπρόοπτον,,,,,0
13686,α14276,ἀπροπετία,n,n-s---fn1l,ἀπροπετίας,,,,,0
13687,α14277,ἀπροπτωσία,n,n-s---fn1l,ἀπροπτωσίας,,,,,0
13688,α14278,ἀπρόπτωτος,a,aps---cn2-,ἀπρόπτωτος ἀπρόπτωτος ἀπρόπτωτον,,,,,0
13689,α14279,ἀπρόρρητος,a,aps---cn2-,ἀπρόρρητος ἀπρόρρητος ἀπρόρρητον,,,,,0
13690,α14280,ἀπροσαγόρευτος,a,aps---cn2-,ἀπροσαγόρευτος ἀπροσαγόρευτος ἀπροσαγόρευτον,,,,,0
13691,α14281,ἀπροσάρμοστος,a,aps---cn2-,ἀπροσάρμοστος ἀπροσάρμοστος ἀπροσάρμοστον,,,,,0
13692,α14282,ἀπροσάρτητος,a,aps---cn2-,ἀπροσάρτητος ἀπροσάρτητος ἀπροσάρτητον,,,,,0
13693,α14283,ἀπροσαύδητος,a,aps---cn2-,ἀπροσαύδητος ἀπροσαύδητος ἀπροσαύδητον,,,,,0
13652,α14242,ἀπροβουλευσία,n,n-s---fn1l,ἀπροβουλευσίας,,,,,0
13697,α14287,ἀπροσδέητος,a,aps---cn2-,ἀπροσδέητος ἀπροσδέητος ἀπροσδέητον,,,,,0
13698,α14288,ἀπρόσδεικτος,a,----------,,,,,,0
13699,α14289,ἀπρόσδεκτος,a,aps---cn2-,ἀπρόσδεκτος ἀπρόσδεκτος ἀπρόσδεκτον,,,,,0
13700,α14290,ἀπροσδιόνυσος,a,aps---cn2-,ἀπροσδιόνυσος ἀπροσδιόνυσος ἀπροσδιόνυσον,,,,,0
13701,α14291,ἀπροσδιόριστος,a,aps---cn2-,ἀπροσδιόριστος ἀπροσδιόριστος ἀπροσδιόριστον,,,,,0
13703,α14293,ἀπροσδοκία,n,n-s---fn1l,ἀπροσδοκίας,,,,,0
13704,α14294,ἀπροσέγγιστος,a,aps---cn2-,ἀπροσέγγιστος ἀπροσέγγιστος ἀπροσέγγιστον,,,,,0
13705,α14295,ἀπρόσειλος,n,----------,,,,,,0
13706,α14296,ἀπροσεκτέω,v,----------,,,,,,0
13707,α14297,ἀπρόσεκτος,a,aps---cn2-,ἀπρόσεκτος ἀπρόσεκτος ἀπρόσεκτον,,,,,0
13708,α14298,ἀπροσέλευστος,a,aps---cn2-,ἀπροσέλευστος ἀπροσέλευστος ἀπροσέλευστον,,,,,0
13709,α14299,ἀπροσεξία,n,n-s---fn1l,ἀπροσεξίας,,,,,0
13710,α14300,ἀπροσηγορία,n,n-s---fn1l,ἀπροσηγορίας,,,,,0
13711,α14301,ἀπροσήγορος,a,aps---cn2-,ἀπροσήγορος ἀπροσήγορος ἀπροσήγορον,,,,,0
13712,α14302,ἀπροσηνής,a,aps---cn5s,ἀπροσηνής ἀπροσηνής ἀπροσηνές,,,,,0
13713,α14303,ἀπροσθετέω,v,----------,,,,,,0
13714,α14304,ἀπρόσθετος,a,aps---cn2-,ἀπρόσθετος ἀπρόσθετος ἀπρόσθετον,,,,,0
13715,α14305,ἀπρόσθικτος,a,aps---cn2-,ἀπρόσθικτος ἀπρόσθικτος ἀπρόσθικτον,,,,,0
13717,α14307,ἀπρόσιτος,a,aps---cn2-,ἀπρόσιτος ἀπρόσιτος ἀπρόσιτον,,,,,0
13718,α14308,ἀπροσκαίρως,r,----------,,,,,,0
13719,α14309,ἀπρόσκεπτος,a,aps---cn2-,ἀπρόσκεπτος ἀπρόσκεπτος ἀπρόσκεπτον,,,,,0
13720,α14310,ἀπρόσκλητος,a,aps---cn2-,ἀπρόσκλητος ἀπρόσκλητος ἀπρόσκλητον,,,,,0
13721,α14311,ἀπροσκόλλητος,a,aps---cn2-,ἀπροσκόλλητος ἀπροσκόλλητος ἀπροσκόλλητον,,,,,0
13722,α14312,ἀπρόσκοπος,a,----------,,,,,,0
13723,α14313,ἀπρόσκοπος,a,aps---cn2-,ἀπρόσκοπος ἀπρόσκοπος ἀπρόσκοπον,,,,,0
13724,α14314,ἀπρόσκοπτος,a,aps---cn2-,ἀπρόσκοπτος ἀπρόσκοπτος ἀπρόσκοπτον,,,,,0
13725,α14315,ἀπροσκορής,a,aps---cn5s,ἀπροσκορής ἀπροσκορής ἀπροσκορές,,,,,0
13728,α14318,ἀπρόσλογος,a,aps---cn2-,ἀπρόσλογος ἀπρόσλογος ἀπρόσλογον,,,,,0
13729,α14319,ἀπρόσμαχος,a,aps---cn2-,ἀπρόσμαχος ἀπρόσμαχος ἀπρόσμαχον,,,,,0
13730,α14320,ἀπροσμηχάνητος,a,aps---cn2-,ἀπροσμηχάνητος ἀπροσμηχάνητος ἀπροσμηχάνητον,,,,,0
13731,α14321,ἀπροσμήχανος,a,aps---cn2-,ἀπροσμήχανος ἀπροσμήχανος ἀπροσμήχανον,,,,,0
13732,α14322,ἀπροσμιγής,a,aps---cn5s,ἀπροσμιγής ἀπροσμιγής ἀπροσμιγές,,,,,0
13733,α14323,ἀπρόσμικτος,a,aps---cn2-,ἀπρόσμικτος ἀπρόσμικτος ἀπρόσμικτον,,,,,0
13734,α14324,ἀπροσόδευτος,a,aps---cn2-,ἀπροσόδευτος ἀπροσόδευτος ἀπροσόδευτον,,,,,0
13696,α14286,ἀπροσδεής,a,aps---cn5s,ἀπροσδεής ἀπροσδεής ἀπροσδεές,,,,,0
13737,α14327,ἀπροσόμιλος,a,aps---cn2-,ἀπροσόμιλος ἀπροσόμιλος ἀπροσόμιλον,,,,,0
13738,α14328,ἀπρόσοπτος,a,aps---cn2-,ἀπρόσοπτος ἀπρόσοπτος ἀπρόσοπτον,,,,,0
13739,α14329,ἀπροσόρατος,a,aps---cn2-,ἀπροσόρατος ἀπροσόρατος ἀπροσόρατον,,,,,0
13740,α14330,ἀπροσόρμιστος,a,aps---cn2-,ἀπροσόρμιστος ἀπροσόρμιστος ἀπροσόρμιστον,,,,,0
13741,α14331,ἀπροσπαθής,a,aps---cn5s,ἀπροσπαθής ἀπροσπαθής ἀπροσπαθές,,,,,0
13742,α14332,ἀπροσπέλαστος,a,aps---cn2-,ἀπροσπέλαστος ἀπροσπέλαστος ἀπροσπέλαστον,,,,,0
13743,α14333,ἀπρόσπληστος,n,----------,,,,,,0
13744,α14334,ἀπρόσπλοκος,a,aps---cn2-,ἀπρόσπλοκος ἀπρόσπλοκος ἀπρόσπλοκον,,,,,0
13747,α14337,ἀπροσπτωσία,n,n-s---fn1l,ἀπροσπτωσίας,,,,,0
13748,α14338,ἀπρόσρητος,a,aps---cn2-,ἀπρόσρητος ἀπρόσρητος ἀπρόσρητον,,,,,0
13749,α14339,ἀπροστασίαστος,a,aps---cn2-,ἀπροστασίαστος ἀπροστασίαστος ἀπροστασίαστον,,,,,0
13750,α14340,ἀπροστασίου,n,----------,,,,,,0
13751,α14341,ἀπροστάτευτος,a,aps---cn2-,ἀπροστάτευτος ἀπροστάτευτος ἀπροστάτευτον,,,,,0
13752,α14342,ἀπροστάτητος,a,aps---cn2-,ἀπροστάτητος ἀπροστάτητος ἀπροστάτητον,,,,,0
13753,α14343,ἀπρόστατος,a,aps---cn2-,ἀπρόστατος ἀπρόστατος ἀπρόστατον,,,,,0
13754,α14344,ἀπροστίμητος,a,aps---cn2-,ἀπροστίμητος ἀπροστίμητος ἀπροστίμητον,,,,,0
13755,α14345,ἀπρόστομος,a,aps---cn2-,ἀπρόστομος ἀπρόστομος ἀπρόστομον,,,,,0
13756,α14346,ἀπρόστυχος,n,----------,,,,,,0
13758,α14348,ἀπρόσφορος,a,aps---cn2-,ἀπρόσφορος ἀπρόσφορος ἀπρόσφορον,,,,,0
13759,α14349,ἀπροσφυής,a,aps---cn5s,ἀπροσφυής ἀπροσφυής ἀπροσφυές,,,,,0
13760,α14350,ἀπρόσφυλος,a,aps---cn2-,ἀπρόσφυλος ἀπρόσφυλος ἀπρόσφυλον,,,,,0
13761,α14351,ἀπροσφωνητί,r,----------,,,,,,0
13762,α14352,ἀπροσφώνητος,a,aps---cn2-,ἀπροσφώνητος ἀπροσφώνητος ἀπροσφώνητον,,,,,0
13763,α14353,ἀπρόσχημος,n,----------,,,,,,0
13764,α14354,ἀπρόσχωρος,a,aps---cn2-,ἀπρόσχωρος ἀπρόσχωρος ἀπρόσχωρον,,,,,0
13766,α14356,ἀπροσωπόληπτος,a,aps---cn2-,ἀπροσωπόληπτος ἀπροσωπόληπτος ἀπροσωπόληπτον,,,,,0
13767,α14357,ἀπρόσωπος,a,aps---cn2-,ἀπρόσωπος ἀπρόσωπος ἀπρόσωπον,,,,,0
13768,α14358,ἀπροτίελπτος,a,aps---cn2-,ἀπροτίελπτος ἀπροτίελπτος ἀπροτίελπτον,,,,,0
13769,α14359,ἀπροτίμαστος,a,aps---cn2-,ἀπροτίμαστος ἀπροτίμαστος ἀπροτίμαστον,,,,,0
13770,α14360,ἀπροτίοπτος,a,aps---cn2-,ἀπροτίοπτος ἀπροτίοπτος ἀπροτίοπτον,,,,,0
13771,α14361,ἀπροφανής,a,aps---cn5s,ἀπροφανής ἀπροφανής ἀπροφανές,,,,,0
13772,α14362,ἀπροφάσιστος,a,aps---cn2-,ἀπροφάσιστος ἀπροφάσιστος ἀπροφάσιστον,,,,,0
13773,α14363,ἀπρόφατος,a,aps---cn2-,ἀπρόφατος ἀπρόφατος ἀπρόφατον,,,,,0
13736,α14326,ἀπρόσοιστος,a,aps---cn2-,ἀπρόσοιστος ἀπρόσοιστος ἀπρόσοιστον,,,,,0
13778,α14369,ἀπταισία,n,n-s---fn1l,ἀπταισίας,,,,,0
