14,ἀπικρόχολος,a,aps---cn2-,ἀπικρόχολος ἀπικρόχολος ἀπικρόχολον,,,,,0
12928,α13521,ἀποσημειόομαι,v,----------,,,,,,0
12929,α13522,ἀποσημείωσις,n,n-s---fn3v,ἀποσημειωσέως,,,,,0
12930,α13523,ἀποσήπομαι,v,----------,,,,,,0
12931,α13524,ἀποσήχειν,n,----------,,,,,,0
12932,α13525,ἀπόσηψις,n,n-s---fn3v,ἀποσηψέως,,,,,0
12933,α13526,ἀποσιγάω,v,----------,,,,,,0
12934,α13527,ἀποσίγησις,n,n-s---fn3v,ἀποσιγησέως,,,,,0
12935,α13528,ἀποσιμόω,v,----------,,,,,,0
12936,α13529,ἀποσίμωσις,n,n-s---fn3v,ἀποσιμωσέως,,,,,0
12937,α13530,ἀποσιόομαι,v,----------,,,,,,0
12938,α13531,ἀποσιτέω,v,----------,,,,,,0
12939,α13532,ἀποσιτία,n,n-s---fn1l,ἀποσιτίας,,,,,0
12940,α13534,ἀποσιτίξομαι,v,----------,,,,,,0
12942,α13535,ἀπόσιτος,a,aps---cn2-,ἀπόσιτος ἀπόσιτος ἀπόσιτον,,,,,0
12943,α13536,ἀποσιωπάω,v,----------,,,,,,0
12944,α13537,ἀποσιώπησις,n,n-s---fn3v,ἀποσιωπησέως,,,,,0
12945,α13538,ἀποσκάλλω,v,----------,,,,,,0
12946,α13539,ἀποσκαμυνθίξειν,n,----------,,,,,,0
12947,α13540,ἀποσκάπτω,v,----------,,,,,,0
12949,α13542,ἀποσκεδάννυμι,v,----------,,,,,,0
12950,α13543,ἀποσκελίσαι,n,----------,,,,,,0
12951,α13544,ἀποσκέλλω,v,----------,,,,,,0
12952,α13545,ἀποσκεπάξω,v,----------,,,,,,0
12953,α13546,ἀποσκεπαρνισμός,n,----------,,,,,,0
12954,α13547,ἀποσκεπτέον,v,----------,,,,,,0
12955,α13548,ἀποσκέπτομαι,v,----------,,,,,,0
12956,α13549,ἀποσκέπω,v,----------,,,,,,0
12957,α13550,ἀποσκευάξω,v,----------,,,,,,0
12958,α13551,ἀποσκευή,n,n-s---fn1e,ἀποσκευῆς,,,,,0
12960,α13553,ἀποσκηνέω,v,----------,,,,,,0
12962,α13555,ἀποσκηνόω,v,----------,,,,,,0
12963,α13556,ἀποσκήπτω,v,----------,,,,,,0
12964,α13557,ἀπόσκηψις,n,n-s---fn3v,ἀποσκηψέως,,,,,0
12965,α13558,ἀποσκιάξω,v,----------,,,,,,0
12966,α13559,ἀποσκίασμα,n,n-s---nn3t,ἀποσκιάσματος,,,,,0
12967,α13560,ἀποσκιασμός,n,----------,,,,,,0
12968,α13561,ἀποσκίδνημι,v,----------,,,,,,0
12969,α13562,ἀποσκίμπτω,v,----------,,,,,,0
12970,α13563,ἀποσκίρρωμα,n,n-s---nn3t,ἀποσκιρρώματος,,,,,0
12971,α13564,ἀποσκιρτάω,v,----------,,,,,,0
12972,α13568,ἀποσκλῆναι,v,----------,,,,,,0
12973,α13565,ἀπόσκληρος,a,aps---cn2-,ἀπόσκληρος ἀπόσκληρος ἀπόσκληρον,,,,,0
12974,α13566,ἀποσκληρύνω,v,----------,,,,,,0
12975,α13567,ἀπόσκλησις,n,n-s---fn3v,ἀποσκλησέως,,,,,0
12976,α13569,ἀποσκνίπτω,v,----------,,,,,,0
12977,α13570,ἀποσκνιφόω,v,----------,,,,,,0
12978,α13572,ἀποσκολοπίξω,v,----------,,,,,,0
12979,α13571,ἀποσκολοπίζω,v,----------,,,,,,0
12980,α13573,ἀποσκοπεύω,v,----------,,,,,,0
12981,α13574,ἀποσκοπέω,v,----------,,,,,,0
12982,α13575,ἀποσκοπιάζω,v,----------,,,,,,0
12984,α13577,ἀπόσκοπος,a,aps---cn2-,ἀπόσκοπος ἀπόσκοπος ἀπόσκοπον,,,,,0
12985,α13578,ἀποσκορακίζω,v,----------,,,,,,0
12986,α13579,ἀποσκορακισμός,n,----------,,,,,,0
12987,α13580,ἀποσκορπίζω,v,----------,,,,,,0
12988,α13581,ἀποσκοτίζω,v,----------,,,,,,0
12989,α13582,ἀποσκοτόομαι,v,----------,,,,,,0
12990,α13583,ἀποσκότωσις,n,n-s---fn3v,ἀποσκοτωσέως,,,,,0
12991,α13584,ἀποσκουτλόω,v,----------,,,,,,0
12992,α13585,ἀποσκυβαλίζω,v,----------,,,,,,0
12993,α13586,ἀποσκυδμαίνω,v,----------,,,,,,0
12994,α13587,ἀποσκύζω,v,----------,,,,,,0
12995,α13588,ἀποσκυθίζω,v,----------,,,,,,0
12996,α13589,ἀποσκυλεύω,v,----------,,,,,,0
12997,α13590,ἀποσκύλλω,v,----------,,,,,,0
12998,α13591,ἀπόσκωμμα,n,n-s---nn3t,ἀποσκώμματος,,,,,0
12999,α13592,ἀποσκωπεύω,v,----------,,,,,,0
13000,α13593,ἀποσκωπτικῶς,r,----------,,,,,,0
13001,α13594,ἀποσκώπτω,v,----------,,,,,,0
13002,α13595,ἀποσμάω,v,----------,,,,,,0
13003,α13596,ἀποσμηκτέον,a,----------,,,,,,0
13005,α13598,ἀποσμήχω,v,----------,,,,,,0
13006,α13599,ἀποσμικρύνω,v,----------,,,,,,0
13007,α13600,ἀποσμιλαίνω,v,----------,,,,,,0
13008,α13601,ἀποσμίλευμα,v,----------,,,,,,0
13009,α13602,ἀποσμιλεύω,v,----------,,,,,,0
13010,α13603,ἀποσμύχομαι,v,----------,,,,,,0
13011,α13604,ἀποσοβέω,v,----------,,,,,,0
13013,α13606,ἀποσόβησις,n,n-s---fn3v,ἀποσοβησέως,,,,,0
13014,α13607,ἀποσοβητέον,a,----------,,,,,,0
13015,α13608,ἀποσοβητήρ,a,----------,,,,,,0
13016,α13609,ἀποσοβητήριος,a,aps---mn1-,ἀποσοβητήριος ἀποσοβητήρια ἀποσοβητήριον,,,,,0
13017,α13610,ἀποσοβητής,n,n-s---mn1e,ἀποσοβητού,,,,,0
13018,α13611,ἀποσοβητικός,a,aps---mn1-,ἀποσοβητικός ἀποσοβητική ἀποσοβητικόν,,,,,0
13019,α13612,ἄποσος,a,aps---cn2-,ἄποσος ἄποσος ἄποσον,,,,,0
13020,α13613,ἀποσοφόομαι,v,----------,,,,,,0
13021,α13614,ἀποσπάδιος,a,aps---mn1-,ἀποσπάδιος ἀποσπάδια ἀποσπάδιον,,,,,0
13022,α13615,ἀποσπάδων,n,n-s---mn3t,ἀποσπάδοντος,,,,,0
13023,α12424,ἀποδπαίρω,v,----------,,,,,,0
13024,α13616,ἀποσπαλακόω,v,----------,,,,,,0
13025,α13617,ἀποσπάραγμα,n,n-s---nn3t,ἀποσπαράγματος,,,,,0
13026,α13618,ἀποσπαράσσω,v,----------,,,,,,0
13027,α13619,ἀποσπαργανόω,v,----------,,,,,,0
13028,α13620,ἀποσπαρθάζω,v,----------,,,,,,0
13029,α13621,ἀποσπάς,n,n-s---fn3d,ἀποσπάδος,,,,,0
13030,α13622,ἀπόσπασις,n,n-s---fn3v,ἀποσπασέως,,,,,0
13032,α13624,ἀποσπασμάτιον,n,n-s---nn2-,ἀποσπασματίου,,,,,0
13033,α13625,ἀποσπασμός,n,----------,,,,,,0
13034,α13626,ἀποσπαστέον,a,----------,,,,,,0
13035,α13627,ἀπόσπαστος,a,aps---cn2-,ἀπόσπαστος ἀπόσπαστος ἀπόσπαστον,,,,,0
13036,α13628,ἀποσπάω,v,----------,,,,,,0
13037,α13629,ἀποσπείρω,v,----------,,,,,,0
13038,α13630,ἀποσπένδω,v,----------,,,,,,0
13039,α13631,ἀποσπερμαίνω,v,----------,,,,,,0
13040,α13632,ἀποσπερματίζω,v,----------,,,,,,0
13041,α13633,ἀποσπερμάτισις,n,n-s---fn3v,ἀποσπερματισέως,,,,,0
13042,α13634,ἀποσπερματισμός,n,----------,,,,,,0
13043,α13635,ἀποσπερματόομαι,v,----------,,,,,,0
13044,α13636,ἀποσπεύδω,v,----------,,,,,,0
13045,α13637,ἀποσπινθηρίζω,v,----------,,,,,,0
13046,α13638,ἀποσπινθηρισμός,n,----------,,,,,,0
13047,α13639,ἀπόσπληνος,n,----------,,,,,,0
13048,α13640,ἀποσπογγίζω,v,----------,,,,,,0
13049,α13641,ἀποσπογγισμά,n,n-s---nn3t,ἀποσπογγίσματος,,,,,0
13050,α13642,ἀποσπογγισμός,n,----------,,,,,,0
13051,α13643,ἀποσπογγιστέον,a,----------,,,,,,0
13052,α13644,ἀποσποδέω,v,----------,,,,,,0
13054,α13646,ἀπόσπορος,a,aps---cn2-,ἀπόσπορος ἀπόσπορος ἀπόσπορον,,,,,0
13055,α13647,ἀποσπουδάζω,v,----------,,,,,,0
13056,α13648,ἀποσσεύω,v,----------,,,,,,0
13162,α13754,ἀποσυλάω,v,----------,,,,,,0
13058,α13650,ἀπόστα,n,----------,,,,,,0
13059,α13651,ἀπόσταγμα,n,n-s---nn3t,ἀποστάγματος,,,,,0
13060,α13652,ἀποσταδά,a,----------,,,,,,0
13061,α13653,ἀποσταδόν,r,----------,,,,,,0
13062,α13654,ἀποστάζω,v,----------,,,,,,0
13063,α13655,ἀποστάλαγμα,n,n-s---nn3t,ἀποσταλάγματος,,,,,0
13064,α13656,ἀποσταλάζω,v,----------,,,,,,0
13065,α13657,ἀποσταλάω,v,----------,,,,,,0
13066,α13658,ἀπόσταλμα,n,n-s---nn3t,ἀποστάλματος,,,,,0
13067,α13659,ἀποσταλτέον,a,----------,,,,,,0
13068,α13660,ἀποστάνομαι,v,----------,,,,,,0
13070,α13662,ἀποστασία,n,n-s---fn1l,ἀποστασίας,,,/a.pos.ta.sí.aː/,,0
13071,α13663,ἀποστασίου,n,----------,,,,,,0
13072,α13664,ἀπόστασις,n,n-s---fn3v,ἀποστασέως,,,,,0
13073,α13665,ἀποστατέον,v,----------,,,,,,0
13074,α13666,ἀποστατέω,v,----------,,,,,,0
13075,α13667,ἀποστατήρ,n,n-s---mn3r,ἀποστατῆρος,,,,,0
13076,α13668,ἀποστάτης,n,n-s---mn1e,ἀποστάτου,,,/a.pos.tá.tɛːs/,,0
13077,α13669,ἀποστατικός,a,aps---mn1-,ἀποστατικός ἀποστατική ἀποστατικόν,,,,,0
13078,α13670,ἀποστάτις,n,n-s---fn3d,ἀποστάτιδος,,,,,0
13079,α13671,ἀποσταυρόω,v,----------,,,,,,0
13080,α13672,ἀποσταφιδόομαι,v,----------,,,,,,0
13081,α13673,ἀποσταχύω,v,----------,,,,,,0
13082,α13674,ἀποστεγάζω,v,----------,,,,,,0
13083,α13675,ἀποστέγασμα,n,n-s---nn3t,ἀποστεγάσματος,,,,,0
13084,α13676,ἀποστέγασσις,n,n-s---fn3v,ἀποστεγασσέως,,,,,0
13085,α13677,ἀποστεγνόω,v,----------,,,,,,0
13086,α13678,ἀποστέγω,v,----------,,,,,,0
13087,α13679,ἀποστείνομαι,v,----------,,,,,,0
13088,α13680,ἀποστεινόω,v,----------,,,,,,0
13089,α13681,ἀποστείχω,v,----------,,,,,,0
13091,α13683,ἀποστενοχωρέω,v,----------,,,,,,0
13092,α13684,ἀποστενόω,v,----------,,,,,,0
13093,α13685,ἀποστένω,v,----------,,,,,,0
13094,α13686,ἀποστένωσις,n,n-s---fn3v,ἀποστενωσέως,,,,,0
13096,α13688,ἀποστεπτικός,a,aps---mn1-,ἀποστεπτικός ἀποστεπτική ἀποστεπτικόν,,,,,0
13097,α13689,ἀποστέργω,v,----------,,,,,,0
13098,α13690,ἀποστερεόω,v,----------,,,,,,0
13099,α13691,ἀποστέρεσις,n,n-s---fn3v,ἀποστερεσέως,,,,,0
13100,α13692,ἀποστέρησις,n,n-s---fn3v,ἀποστερησέως,,,,,0
13101,α13693,ἀποστερητέον,a,----------,,,,,,0
13102,α13694,ἀποστερητής,n,n-s---mn1e,ἀποστερητού,,,,,0
13103,α13695,ἀποστερητικός,a,aps---mn1-,ἀποστερητικός ἀποστερητική ἀποστερητικόν,,,,,0
13104,α13696,ἀποστερητρίς,n,n-s---fn3d,ἀποστερητρίδος,,,,,0
13105,α13697,ἀποστερίζω,v,----------,,,,,,0
13106,α13698,ἀποστερίσκω,v,----------,,,,,,0
13107,α13699,ἀποστερνίζω,v,----------,,,,,,0
13108,α13700,ἀποστεφανόω,v,----------,,,,,,0
13109,α13701,ἀποστηθίζω,v,----------,,,,,,0
13110,α13702,ἀπόστημα,n,n-s---nn3t,ἀποστήματος,,,,,0
13113,α13705,ἀποστημάτιον,n,n-s---nn2-,ἀποστηματίου,,,,,0
13115,α13707,ἀποστήριγμα,n,n-s---nn3t,ἀποστηρίγματος,,,,,0
13116,α13708,ἀποστηρίζομαι,v,----------,,,,,,0
13117,α13709,ἀποστήριξις,n,n-s---fn3v,ἀποστηριξέως,,,,,0
13118,α13710,ἀποστιβής,a,aps---cn5s,ἀποστιβής ἀποστιβής ἀποστιβές,,,,,0
13119,α13711,ἀποστίζω,v,----------,,,,,,0
13120,α13712,ἀποστιλβόω,v,----------,,,,,,0
13121,α13713,ἀποστίλβω,v,----------,,,,,,0
13122,α13714,ἀπόστιλψις,n,n-s---fn3v,ἀποστιλψέως,,,,,0
13123,α13715,ἀποστλεγγίζω,v,----------,,,,,,0
13124,α13716,ἀποστλέγγισμα,n,n-s---nn3t,ἀποστλεγγίσματος,,,,,0
13125,α13717,ἀποστολεύς,n,n-s---mn3v,ἀποστολέως,,,/a.pos.to.leú̯s/,,0
13126,α13718,ἀποστολή,n,n-s---fn1e,ἀποστολῆς,,,/a.pos.to.lɛ̌ː/,,0
13127,α13719,ἀποστολικός,a,aps---mn1-,ἀποστολικός ἀποστολική ἀποστολικόν,,,,,0
13128,α13720,ἀποστολιμαῖος,a,aps---mn1-,ἀποστολιμαῖος ἀποστολιμαῖα ἀποστολιμαῖον,,,,,0
13129,α13721,ἀποστόλιον,n,n-s---nn2-,ἀποστολίου,,,,,0
13130,α13722,ἀπόστολος,n,n-s---mn2-,ἀποστόλου,,,/a.pós.to.los/,,0
13131,α13723,ἀποστοματίζω,v,----------,,,,,,0
13132,α13724,ἀποστομίζω,v,----------,,,,,,0
13133,α13725,ἀποστομόω,v,----------,,,,,,0
13134,α13726,ἀποστόμωσις,n,n-s---fn3v,ἀποστομωσέως,,,,,0
13136,α13728,ἀποστράβοομαι,v,----------,,,,,,0
13137,α13729,ἀποστραγγαλίζω,v,----------,,,,,,0
13138,α13730,ἀποστραγγίζω,v,----------,,,,,,0
13139,α13731,ἀποστρακίζω,v,----------,,,,,,0
13140,α13732,ἀποστρακόομαι,v,----------,,,,,,0
13141,α13733,ἀποστράπτω,v,----------,,,,,,0
13142,α13734,ἀποστρατεύομαι,v,----------,,,,,,0
13143,α13735,ἀποστράτηγος,n,n-s---mn2-,ἀποστρατήγου,,,,,0
13144,α13736,ἀποστρατοπεδεύομαι,v,----------,,,,,,0
13145,α13737,ἀποστρεβαλόομαι,v,----------,,,,,,0
13146,α13738,ἀποστρεπτικός,a,aps---mn1-,ἀποστρεπτικός ἀποστρεπτική ἀποστρεπτικόν,,,,,0
13147,α13739,ἀπόστρεπτος,a,aps---cn2-,ἀπόστρεπτος ἀπόστρεπτος ἀπόστρεπτον,,,,,0
13148,α13740,ἀποστρέφω,v,----------,,,,,,0
13149,α13741,ἀποστροφή,n,n-s---fn1e,ἀποστροφῆς,,,/a.pos.tro.pʰɛ̌ː/,,0
13150,α13742,ἀποστροφία,n,n-s---fn1l,ἀποστροφίας,,,,,0
13151,α13743,ἀπόστροφος,a,aps---cn2-,ἀπόστροφος ἀπόστροφος ἀπόστροφον,,,,,0
13152,α13744,ἀποστρυθάομαι,v,----------,,,,,,0
13153,α13745,ἀποστρώννυμι,v,----------,,,,,,0
13154,α13746,ἀποστυγέω,v,----------,,,,,,0
13155,α13747,ἀποστύγησις,n,n-s---fn3v,ἀποστυγησέως,,,,,0
13156,α13748,ἀποστυπάζω,v,----------,,,,,,0
13157,α13749,ἀποστυφελίζω,v,----------,,,,,,0
13158,α13750,ἀποστύφω,v,----------,,,,,,0
13159,α13751,ἀποσυγχωρέω,v,----------,,,,,,0
13160,α13752,ἀποσυκάζω,v,----------,,,,,,0
13161,α13753,ἀποσυκίζω,v,----------,,,,,,0
13164,α13756,ἀποσυμβιβάζω,v,----------,,,,,,0
13165,α13757,ἀποσυμβουλεύω,v,----------,,,,,,0
13166,α13758,ἀποσυμμίγνυμι,v,----------,,,,,,0
13167,α13759,ἀποσυνάγω,v,----------,,,,,,0
13169,α13761,ἀποσυνεθίζω,v,----------,,,,,,0
13170,α13762,ἀποσυνεργέω,v,----------,,,,,,0
13172,α13764,ἀποσυνίστημι,v,----------,,,,,,0
13173,α13765,ἀποσυντάσσω,v,----------,,,,,,0
13174,α13766,ἀποσυριγγόω,v,----------,,,,,,0
13175,α13767,ἀποσυρίζω,v,----------,,,,,,0
13176,α13768,ἀπόσυρμα,n,n-s---nn3t,ἀποσύρματος,,,,,0
13177,α13769,ἀποσύρω,v,----------,,,,,,0
13178,α13770,ἀποσυσσιτέω,v,----------,,,,,,0
13179,α13771,ἀποσυστατικὰ,n,----------,,,,,,0
13180,α13772,ἀπόσφαγμα,n,n-s---nn3t,ἀποσφάγματος,,,,,0
13181,α13773,ἀποσφάζω,v,----------,,,,,,0
13182,α13774,ἀποσφαιρίζομαι,v,----------,,,,,,0
13183,α13775,ἀποσφαίρισις,n,n-s---fn3v,ἀποσφαιρισέως,,,,,0
13184,α13776,ἀποσφαιρόω,v,----------,,,,,,0
13185,α13777,ἀποσφακελίζω,v,----------,,,,,,0
13186,α13778,ἀποσφακέλισις,n,n-s---fn3v,ἀποσφακελισέως,,,,,0
13187,α13779,ἀποσφάλλω,v,----------,,,,,,0
13188,α13780,ἀποσφαλμάω,v,----------,,,,,,0
13189,α13781,ἀποσφάξ,n,----------,,,,,,0
13190,α13782,ἀποσφάττω,v,----------,,,,,,0
13191,α13783,ἀποσφενδονάω,v,----------,,,,,,0
13193,α13785,ἀποσφηκόω,v,----------,,,,,,0
13194,α13786,ἀποσφήλωσις,n,n-s---fn3v,ἀποσφηλωσέως,,,,,0
13195,α13787,ἀποσφηνόω,v,----------,,,,,,0
13196,α13788,ἀποσφήνωμα,n,n-s---nn3t,ἀποσφηνώματος,,,,,0
13197,α13789,ἀποσφήνωσις,n,n-s---fn3v,ἀποσφηνωσέως,,,,,0
13198,α13790,ἀποσφίγγω,v,----------,,,,,,0
13199,α13791,ἀπόσφιγξις,n,n-s---fn3v,ἀποσφιγξέως,,,,,0
13200,α13792,ἀποσφραγίζω,v,----------,,,,,,0
13201,α13793,ἀποσφράγισμα,n,n-s---nn3t,ἀποσφραγίσματος,,,,,0
13202,α13794,ἀποσφραίνω,v,----------,,,,,,0
13203,α13795,ἀποσφραντέον,n,----------,,,,,,0
13204,α13796,ἀποσφυρηλατέω,v,----------,,,,,,0
13205,α13797,ἀποσχάζω,v,----------,,,,,,0
13206,α13798,ἀποσχαλίδωμα,n,n-s---nn3t,ἀποσχαλιδώματος,,,,,0
13207,α13799,ἀπόσχασις,n,n-s---fn3v,ἀποσχασέως,,,,,0
13208,α13800,ἀποσχαστέον,a,----------,,,,,,0
13209,α13801,ἀποσχάω,v,----------,,,,,,0
13210,α13802,ἀποσχεδιάζω,v,----------,,,,,,0
13211,α13803,ἀπόσχεσις,n,----------,,,,,,0
13212,α13804,ἀποσχετέον,a,----------,,,,,,0
13213,α13805,ἀποσχετλιάζω,v,----------,,,,,,0
13214,α13806,ἀπόσχημα,n,n-s---nn3t,ἀποσχήματος,,,,,0
13215,α13807,ἀποσχηματίζω,v,----------,,,,,,0
13216,α13808,ἀποσχίζω,v,----------,,,,,,0
13217,α13809,ἀποσχίς,n,n-s---fn3d,ἀποσχίδος,,,,,0
13218,α13810,ἀπόσχισις,n,n-s---fn3v,ἀποσχισέως,,,,,0
13220,α13812,ἀποσχοινίζω,v,----------,,,,,,0
13221,α13813,ἀποσχολάζω,v,----------,,,,,,0
13223,α13516,ἀποσῴζω,v,----------,,,,,,0
13224,α13815,ἀποσωματωσις,n,n-s---fn3v,ἀποσωματωσέως,,,,,0
13225,α13816,ἀποσωρεύω,v,----------,,,,,,0
13226,α13817,ἀποταγή,n,n-s---fn1e,ἀποταγῆς,,,,,0
13227,α13818,ἀποταγηνίζω,v,----------,,,,,,0
13228,α13819,ἀπόταγμα,n,n-s---nn3t,ἀποτάγματος,,,,,0
13229,α13820,ἀποτάδην,r,----------,,,,,,0
13230,α13821,ἀποτακτέον,a,----------,,,,,,0
13231,α13822,ἀποτακτήρ,n,n-s---mn3r,ἀποτακτῆρος,,,,,0
13232,α13823,ἀποτακτικός,n,----------,,,,,,0
13233,α13825,ἀποτακτῖται,n,----------,,,,,,0
13234,α13824,ἀπότακτος,a,aps---cn2-,ἀπότακτος ἀπότακτος ἀπότακτον,,,,,0
13235,α13826,ἀποταμία,n,n-s---fn1l,ἀποταμίας,,,,,0
13236,α13827,ἀποταμιεύομαι,v,----------,,,,,,0
13237,α13828,ἀποτάμνω,v,----------,,,,,,0
13238,α13829,ἀποτανύω,v,----------,,,,,,0
13239,α13830,ἀπόταξις,n,n-s---fn3v,ἀποταξέως,,,/a.pó.tak.sis/,,0
13240,α13831,ἀποταρταρόομαι,v,----------,,,,,,0
13241,α13832,ἀπότασις,n,n-s---fn3v,ἀποτασέως,,,/a.pó.ta.sis/,,0
13242,α13833,ἀποτάσσω,v,----------,,,,,,0
13243,α13834,ἀποταυρόομαι,v,----------,,,,,,0
13245,α13836,ἀπόταφος,a,aps---cn2-,ἀπόταφος ἀπόταφος ἀπόταφον,,,,,0
13246,α13837,ἀποτάφρευσις,n,n-s---fn3v,ἀποταφρευσέως,,,,,0
13247,α13838,ἀποταφρεύω,v,----------,,,,,,0
13248,α13839,ἀποτέγγω,v,----------,,,,,,0
13249,α13840,ἀπότεγμα,n,n-s---nn3t,ἀποτέγματος,,,,,0
13250,α13841,ἀποτείνω,v,----------,,,,,,0
13251,α13842,ἀπότεισις,n,----------,,,,,,0
13252,α13843,ἀπότεισμα,n,n-s---nn3t,ἀποτείσματος,,,,,0
13253,α13844,ἀποτειχίζω,v,----------,,,,/a.po.teː.kʰíz.dɔː/,,0
13254,α13845,ἀποτείχισις,n,n-s---fn3v,ἀποτειχισέως,,,,,0
13255,α13846,ἀποτείχισμα,n,----------,,,,,,0
13256,α13847,ἀποτειχισμός,n,----------,,,,,,0
13257,α13848,ἀποτειχιστέον,a,----------,,,,,,0
13258,α13849,ἀποτεκμαίρομαι,v,----------,,,,,,0
13259,α13850,ἀποτεκνόομαι,v,----------,,,,,,0
13260,α13851,ἀπότεκνος,a,aps---cn2-,ἀπότεκνος ἀπότεκνος ἀπότεκνον,,,,,0
13261,α13852,ἀποτέλειος,n,n-s---mn2-,ἀποτελείου,,,,,0
13262,α13853,ἀποτελειόω,v,----------,,,,,,0
13264,α13855,ἀποτελέσιμος,a,aps---mn1-,ἀποτελέσιμος ἀποτελεσίμη ἀποτελέσιμον,,,,,0
13265,α13856,ἀποτέλεσις,n,n-s---fn3v,ἀποτελεσέως,,,,,0
13266,α13857,ἀποτέλεσμα,n,n-s---nn3t,ἀποτελέσματος,,,,,0
13267,α13858,ἀποτελεσματικός,a,aps---mn1-,ἀποτελεσματικός ἀποτελεσματική ἀποτελεσματικόν,,,,,0
13268,α13859,ἀποτελεσματογραφία,n,n-s---fn1l,ἀποτελεσματογραφίας,,,,,0
13269,α13860,ἀποτελεσματολόγος,n,n-s---mn2-,ἀποτελεσματολόγου,,,,,0
13270,α13861,ἀποτελεστέον,a,----------,,,,,,0
14046,α14618,ἀργύριος,v,----------,,,,,,0
13272,α13863,ἀποτελευτάω,v,----------,,,,,,0
13273,α13864,ἀποτελευτή,n,n-s---fn1e,ἀποτελευτῆς,,,,,0
13274,α13865,ἀποτελεύτησις,n,n-s---fn3v,ἀποτελευτησέως,,,,,0
13275,α13866,ἀποτελέω,v,----------,,,,/a.po.te.lé.ɔː/,,0
13276,α13867,ἀποτελωνέομαι,v,----------,,,,,,0
13277,α13868,ἀποτεμαχίζω,v,----------,,,,,,0
13278,α13869,ἀποτέμνω,v,----------,,,,,,0
13279,α13870,ἀπότεξις,n,n-s---fn3v,ἀποτεξέως,,,,,0
13280,α13871,ἀποτερατεύομαι,v,----------,,,,,,0
13281,α13872,ἀποτερματίζω,v,----------,,,,,,0
13282,α13873,ἀποτερματισμός,n,----------,,,,,,0
13283,α13875,ἀποτετερματισμένως,r,----------,,,,,,0
13284,α13876,ἀποτετραγωνίζω,v,----------,,,,,,0
13285,α13877,ἀποτετραίνω,v,----------,,,,,,0
13286,α13878,ἀπότευγμα,n,n-s---nn3t,ἀποτεύγματος,,,,,0
13287,α13879,ἀποτευκτέω,v,----------,,,,,,0
13289,α13881,ἀπότευξις,n,n-s---fn3v,ἀποτευξέως,,,,,0
13290,α13882,ἀποτεφρόω,v,----------,,,,,,0
13291,α13883,ἀποτηγανίζω,v,----------,,,,,,0
13292,α13884,ἀποτήκω,v,----------,,,,,,0
13293,α13911,ἀποτῆλε,r,----------,,,,,,0
13294,α13886,ἀποτηλόθι,n,----------,,,,,,0
13295,α13885,ἀποτηλοῦ,n,----------,,,,,,0
13296,α13887,ἀπότηξις,n,n-s---fn3v,ἀποτηξέως,,,,,0
13297,α13888,ἀποτηρέω,v,----------,,,,,,0
13298,α13889,ἀποτίβατος,a,aps---cn2-,ἀποτίβατος ἀποτίβατος ἀποτίβατον,,,,,0
13299,α13890,ἀποτίθημι,v,----------,,,,,,0
13300,α13891,ἀποτίκτω,v,----------,,,,,,0
13301,α13892,ἀποτιλάω,v,----------,,,,,,0
13302,α13893,ἀποτίλλω,v,----------,,,,,,0
13303,α13894,ἀπότιλμα,n,n-s---nn3t,ἀποτίλματος,,,,,0
13304,α13895,ἀποτιλμός,n,----------,,,,,,0
13305,α13896,ἀποτίμαστος,a,aps---cn2-,ἀποτίμαστος ἀποτίμαστος ἀποτίμαστον,,,,,0
13306,α13897,ἀποτιμάω,v,----------,,,,,,0
13307,α13898,ἀποτίμημα,n,n-s---nn3t,ἀποτιμήματος,,,,,0
13308,α13899,ἀποτίμησις,n,----------,,,,,,0
13309,α13900,ἀποτιμητής,n,n-s---mn1e,ἀποτιμητού,,,,,0
13310,α13901,ἀπότιμος,a,aps---cn2-,ἀπότιμος ἀπότιμος ἀπότιμον,,,,,0
13311,α13902,ἀποτίναγμα,n,n-s---nn3t,ἀποτινάγματος,,,,,0
13312,α13903,ἀποτινάσσω,v,----------,,,,,,0
13313,α13904,ἀποτίνυμι,v,----------,,,,,,0
13314,α13905,ἀποτίνω,v,----------,,,,,,0
13316,α13907,ἀπότισις,n,n-s---fn3v,ἀποτισέως,,,,,0
13317,α13908,ἀποτιστέον,v,----------,,,,,,0
13318,α13909,ἀπότιστος,a,aps---cn2-,ἀπότιστος ἀπότιστος ἀπότιστον,,,,,0
13319,α13910,ἀπότιτθος,a,aps---cn2-,ἀπότιτθος ἀπότιτθος ἀπότιτθον,,,,,0
13320,α13912,ἀποτμήγω,v,----------,,,,,,0
13321,α13913,ἀπότμημα,n,n-s---nn3t,ἀποτμήματος,,,,,0
13322,α13914,ἀποτμήξ,n,n-s---cn3e,ἀποτμῆγος,,,,,0
13323,α13915,ἀπότμηξις,n,n-s---fn3v,ἀποτμηξέως,,,,,0
13324,α13916,ἀπότμησις,n,n-s---fn3v,ἀποτμησέως,,,,,0
13326,α13918,ἄποτμος,a,aps---cn2-,ἄποτμος ἄποτμος ἄποτμον,,,,,0
13327,α13919,ἀπότοκος,n,n-s---mn2-,ἀποτόκου,,,,,0
13328,α13920,ἀπότοκος,a,aps---cn2-,ἀπότοκος ἀπότοκος ἀπότοκον,,,,,0
13329,α13921,ἀποτολμάω,v,----------,,,,,,0
13330,α13922,ἀποτολμητέον,a,----------,,,,,,0
