0448605,a,9,excessively and uncomfortably conscious of your appearance or behavior; 'self-conscious teenagers'; 'wondered if she could ever be untidy without feeling self-conscious about it',
81399,00548075,a,9,being often in the public eye; 'a visible public figure',
81400,00548185,a,9,not prominent or readily noticeable; 'he pushed the string through an inconspicuous hole'; 'the invisible man',
81401,00548403,a,9,not drawing attention; 'an unnoticeable cigarette burn on the carpet'; 'an obscure flaw',
81402,00548560,a,9,perceptible by the senses or intellect; 'things happen in the earth and sky with no discernible cause'; 'the newspaper reports no discernible progress in the negotiations'; 'the skyline is easily discernible even at a distance of several miles',
81403,00548876,a,9,difficult or impossible to perceive or discern; 'an indiscernible increase in temperature',
81404,00549026,a,9,capable of being perceived as different or distinct; 'only the shine of their metal was distinguishable in the gloom'; 'a project distinguishable into four stages of progress'; 'distinguishable differences between the twins',
81405,00549348,a,9,capable of being perceived as different; 'differentiable species',
81406,00549474,a,9,capable of being discriminated; 'discriminable faults',
81407,00549588,a,9,not capable of being distinguished or differentiated; 'the two specimens are actually different from each other but the differences are almost indistinguishable'; 'the twins were indistinguishable'; 'a colorless person quite indistinguishable from the colorless mass of humanity',
81408,00549951,a,9,steadfast in purpose or devotion or affection; 'a man constant in adherence to his ideals'; 'a constant lover'; 'constant as the northern star',
81409,00550293,a,9,(used of persons) dependable in devotion or allegiance or affection; 'a faithful old dog'; 'a faithful friend'; 'fast friends'; 'a loyal companion'; 'she proved a true friend'; 'a lover absolutely true in act and word and thought'- H.O.Taylor,
81410,00550615,a,9,firm and dependable especially in loyalty; 'a steadfast ally'; 'a staunch defender of free speech'; 'unswerving devotion'; 'unswerving allegiance',
81411,00550840,a,9,unceasing; 'unfailing loyalty'; 'unfailing good spirits'; 'unflagging courtesy',
81412,00550988,a,9,likely to change frequently often without apparent or cogent reason; variable; 'inconstant affections'; 'an inconstant lover'; 'swear not by...the inconstant moon'- Shakespeare,
81413,00551365,a,9,(used especially of persons) not dependable in devotion or affection; unfaithful; 'a false friend; 'when lovers prove untrue',
81414,00551551,a,9,marked by erratic changeableness in affections or attachments; 'fickle friends'; 'a flirt's volatile affections',
81416,00552091,a,9,promoting construction or creation; 'creative work',
81417,00552197,a,9,forming or capable of forming or molding; 'a formative influence'; 'a formative experience',
81418,00552354,a,9,(biology) capable of forming new cells and tissues; 'a formative zone in developing bone',
81419,00552499,a,9,based on interpretation; not directly expressed,
81420,00552604,a,9,helping to restore to good condition; 'reconstructive surgery'; 'rehabilitative exercises',
81421,00552772,a,9,concerned with systematic structure in a particular field of study,
81422,00552895,a,9,causing destruction or much damage; 'a policy that is destructive to the economy'; 'destructive criticism',
81423,00553293,a,9,wreaking or capable of wreaking complete destruction; 'possessing annihilative power'; 'a devastating hurricane'; 'the guns opened a withering fire',
81425,00553851,a,9,severely destructive; 'cataclysmic nuclear war'; 'a cataclysmic earthquake',
81426,00553998,a,9,"of a substance, especially a strong acid; capable of destroying or eating away by chemical action",
81427,00554183,a,9,physically or spiritually devastating; often used in combination; 'a crushing blow'; 'a crushing rejection'; 'bone-crushing',
81428,00554376,a,9,"designed or tending to discredit, especially without positive or helpful suggestions; 'negative criticism'",
81429,00554548,a,9,wearing away by friction; 'the erosive effects of waves on the shoreline',
81430,00554675,a,9,making undecipherable or imperceptible; 'obliterating mists; 'an obscurant bank of clouds',
81431,00554836,a,9,ruinously destructive and wasting; 'a ravaging illness',
81432,00554946,a,9,destructive to the spirit or soul; 'soul-destroying labor',
81433,00555066,a,9,laying waste; 'when wasteful war shall statues overturn'- Shakespeare,
81434,00555190,a,9,having been taken into the mouth for consumption,
81435,00555344,a,9,eaten or drunk up,
81436,00555416,a,9,destroyed or wasted as if by eating; 'forests devoured by flame'; 'an inheritance eaten up by debt',
81437,00555584,a,9,taken into the stomach,
81438,00555661,a,9,not eaten or used up; 'gave the dog the uneaten remnants of the roast',
81439,00555821,a,9,uneaten and saved for eating later; 'leftover food served at a later meal'; 'yesterday's reheated soup',
81440,00556018,a,9,not eaten or drunk up; 'the cat found the baby's undrunk milk',
81441,00556147,a,9,satisfied or showing satisfaction with things as they are; 'a contented smile',
81442,00556438,a,9,in a state of tranquil contentment; 'at peace with herself and her friends',
81443,00556568,a,9,contented to a fault; 'he had become complacent after years of success'; 'his self-satisfied dignity',
81444,00556743,a,9,satisfied; enjoying well-being and contentment; 'felt content with her lot'; 'quite happy to let things go on as they are',
81445,00556930,a,9,taking life easy; 'an easygoing man rarely stirred to anger'; 'an air of placid sufficiency',
81446,00557087,a,9,filled with satisfaction; 'a satisfied customer',
81447,00557191,a,9,marked by excessive complacency or self-satisfaction; 'a smug glow of self-congratulation',
81448,00557349,a,9,showing or experiencing dissatisfaction or restless longing; 'saw many discontented faces in the room'; 'was discontented with his position',
81449,00557654,a,9,discontented as toward authority,
81450,00557785,a,9,in a state of sulky dissatisfaction,
81451,00557893,a,9,worried and uneasy,
81452,00557994,a,9,capable of being contested,
81453,00558150,a,9,capable of being challenged,
81454,00558237,a,9,capable of being disproved,
81455,00558339,a,9,capable of being weakened; 'the crisis proved his confidence was shakable',
81456,00558480,a,9,incapable of being contested or disputed,
81457,00558704,a,9,necessarily or demonstrably true; 'demonstrable truths',
81458,00558837,a,9,having been demonstrated or verified beyond doubt,
81459,00558945,a,9,against which no argument can be made,
81460,00559052,a,9,without flaws or loopholes; 'an ironclad contract'; 'a watertight alibi',
81461,00559220,a,9,impossible to answer; 'an unanswerable argument',
81462,00559327,a,9,having control over urination and defecation,
81463,00559427,a,9,not having control over urination and defecation,
81464,00559551,a,9,used informally; unable to retain urine,
81466,00559995,a,9,continually recurring or continuing without interruption; 'constant repetition of the exercise'; 'constant chatter of monkeys',
81467,00560176,a,9,(informal) continuing too long; 'everlasting complaints',
81468,00560290,a,9,occurring so frequently as to seem ceaseless or uninterrupted; 'a child's incessant questions'; 'your perpetual (or continual) complaints',
81469,00560506,a,9,persistently continual; 'the bluejay's insistent cry',
81470,00560628,a,9,continually repeated over a period of time; 'a running joke among us',
81471,00560754,a,9,recurring again and again; 'perennial efforts to stipulate the requirements',
81472,00560909,a,9,never-ceasing; 'the relentless beat of the drums',
81473,00561042,a,9,recurring in scattered and irregular or unpredictable instances; 'a city subjected to sporadic bombing raids',
81474,00561332,a,9,occurring in spells and often abruptly; 'fitful bursts of energy'; 'spasmodic rifle fire',
81475,00561486,a,9,stopping and starting at irregular intervals; 'intermittent rain showers',
81476,00561618,a,9,recurring or reappearing from time to time; 'periodic feelings of anxiety',
81477,00561747,a,9,not occurring at expected times,
81478,00561850,a,9,not close together in time; 'isolated instances of rebellion'; 'scattered fire'; 'a stray bullet grazed his thigh',
81480,00562701,a,9,at all times; 'around-the-clock nursing care',
81481,00562853,a,9,uninterrupted in time and indefinitely long continuing; 'the ceaseless thunder of surf'; 'in constant pain'; 'night and day we live with the incessant noise of the city'; 'the never-ending search for happiness'; 'the perpetual struggle to maintain standards in a democracy'; 'man's unceasing warfare with drought and isolation'; 'unremitting demands of hunger',
81482,00563345,a,9,`continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption),
81483,00563525,a,9,relentless and indefatigable in pursuit or as if in pursuit; 'impossible to escape the dogging fears',
81484,00563693,a,9,having the ends united so as to form a continuous whole; 'an endless chain',
81485,00563822,a,9,(of an electric arc); 'heat transfer to the anode in free burning arcs,
81486,00563963,a,9,successive (without a break); 'sick for five straight days',
81487,00564091,a,9,maintained at length without interruption or weakening; 'sustained flight',
81488,00564221,a,9,not continuing without interruption in time or space; 'discontinuous applause'; 'the landscape was a discontinuous mosaic of fields and forest areas'; 'he received a somewhat haphazard and discontinuous schooling',
81489,00564582,a,9,maked by breaks or gaps; 'many routes are unsafe or disrupted',
81490,00564700,a,9,"used of distributions, as of statistical or natural populations; 'disjunct distribution of king crabs'",
81491,00564857,a,9,(mathematics) of a function or curve; extending without break or irregularity,
81492,00564991,a,9,(mathematics) of a function or curve; possessing one or more discontinuities,
81493,00565127,a,9,without stop or interruption; 'to insure the continued success of the war'; 'the continued existence of nationalism'; 'the continued popularity of Westerns',
81494,00565357,a,9,remaining in force or being carried on without letup; 'the act provided a continuing annual appropriation'; 'the continuing struggle to put food on the table',
81495,00565572,a,9,stopped permanently or temporarily; 'discontinued models'; 'a discontinued magazine'; 'a discontinued conversation',
81496,00565782,a,9,discontinued temporarily; 'we resumed the interrupted discussion',
81497,00565905,a,9,(of books) no longer offered for sale by a publisher; 'that edition is out of print',
81498,00566069,a,9,restrained or managed or kept within certain bounds; 'controlled emotions'; 'the controlled release of water from reservoirs',
81499,00566467,a,9,gotten under control; 'the oil spill is contained',
81500,00566573,a,9,being acted upon; 'kept the situation well in hand',
81501,00566700,a,9,obeying the rules,
81502,00566794,a,9,controlled or ruled by superior authority or power,
81503,00566939,a,9,brought under control and put to use; 'electricity from the harnessed Colorado River'; 'the harnessed power of the atom',
81504,00567115,a,9,influenced or controlled by a powerful force such as a strong emotion; 'by love possessed',
81505,00567275,a,9,maintained at a certain atmospheric pressure; 'in a pressurized cabin the air pressure is comfortable for breathing'; 'cooking with pressurized steam',
81506,00567483,a,9,having the price regulated or controlled by government,
81511,00568273,a,9,without law or control; 'the system is economically inefficient and politically anarchic',
81512,00568440,a,9,impossible to repress or control; 'an irrepressible chatterbox'; 'uncontrollable laughter',
81513,00568607,a,9,(of a ball in sport) not in the possession or control of any player; 'a loose ball',
81514,00568742,a,9,having no lord or master; 'harsh punishments for sturdy vagabonds and masterless men',
81515,00568895,a,9,unrestrained and violent; 'rampant aggression',
81516,00568995,a,9,completely out of control; 'runaway inflation',
81518,00569326,a,9,lacking in discipline or control; 'undisciplined behavior'; 'ungoverned youth',
81519,00569477,a,9,not subjected to control or restraint; 'a piano played with a wild exuberance'- Louis Bromfield,
81520,00569623,a,9,deviating widely from an intended course; 'a wild bullet'; 'a wild pitch',
81521,00569747,a,9,marked by or capable of arousing controversy; 'the issue of the death penalty is highly controversial'; 'Rushdie's controversial book'; 'a controversial decision on affirmative action',
81522,00570063,a,9,open to argument or debate,
81523,00570169,a,9,involving or likely to cause controversy; 'a central and contentious element of the book'- Tim W.Ferfuson,
81524,00570332,a,9,open to debate,
81525,00570408,a,9,of or involving dispute or controversy,
81526,00570512,a,9,not likely to arouse controversy,
81527,00570661,a,9,generally agreed upon; not subject to dispute; 'the accepted interpretation of the poem'; 'an accepted theory',
81528,00570839,a,9,constituted or contracted by stipulation or agreement; 'stipulatory obligations',
81529,00570994,a,9,given to or characterized by argument; 'an argumentative discourse'; 'argumentative to the point of being cantankerous'; 'an intelligent but argumentative child',
81530,00571251,a,9,given to quarreling; 'arguing children'; 'quarrelsome when drinking',
81531,00571387,a,9,"inclined or showing an inclination to dispute or disagree, even to engage in law suits; 'a style described as abrasive and contentious'; 'a disputatious lawyer'; 'a litigious and acrimonious spirit'",
81532,00571684,a,9,not given to or characterized by argument,
81533,00571805,a,9,of persons; not given to controversy,
81534,00571902,a,9,suited to your comfort or purpose or needs; 'a convenient excuse for not going',
81535,00572128,a,9,easy to use; 'a handy gadget',
81536,00572209,a,9,at a convenient or suitable time; 'an opportune time to receive guests',
81537,00572361,a,9,"not suited to your comfort, purpose or needs; 'it is inconvenient not to have a telephone in the kitchen'; 'the back hall is an inconvenient place for the telephone'",
81538,00572621,a,9,causing inconvenience; 'they arrived at an awkward time',
81539,00572731,a,9,following accepted customs and proprieties; 'conventional wisdom'; 'she had strayed from the path of conventional behavior'; 'conventional forms of address',
81540,00573090,a,9,widely accepted as true or worthy; 'the accepted wisdom about old age'; 'a received moral idea'; 'Received political wisdom says not; surveys show otherwise'- Economist,
81541,00573324,a,9,in accordance with convention or custom; 'sealed the deal with the customary handshake',
81542,00573467,a,9,characterized by or in accordance with some formula,
81543,00573574,a,9,"excessively conventional and unimaginative and hence dull; 'why is the middle class so stodgy, so utterly without a sense of humor?'; 'a stodgy dinner party'",
81544,00573793,a,9,not conforming to accepted rules or standards; 'her unconventional dress and hair style',
81545,00574032,a,9,unconventional in especially appearance and behavior; 'a bohemian life style',
81546,00574164,a,9,not bound by rule or law or convention; 'bewildered by the old go-as-you-please liberty of alliterative rhythm'- George Saintsbury,
81547,00574357,a,9,independent in behavior or thought; 'she led a somewhat irregular private life'; 'maverick politicians',
81548,00574540,a,9,unimaginative and conformist; 'conventional bourgeois lives'; 'conventional attitudes',
81549,00574739,a,9,"unimaginatively conventional; 'a colorful character in the buttoned-down, dull-gray world of business'- Newsweek",
81550,00574940,a,9,(slang) rigidly conventional or old-fashioned,
81551,00575049,a,9,lacking spontaneity or originality or individuality; 'stereotyped phrases of condolence'; 'even his profanity was unimaginative',
81552,00575281,a,9,not conventional or conformist; 'unconventional life styles',
81553,00575492,a,9,pertaining to unconventional choices; 'an alternative life style',
81926,00637851,a,9,cured at home; 'home-cured hams',
81556,00576203,a,9,informal terms; strikingly unconventional,
81557,00576335,a,9,marked by conformity or convention; not corresponding to current customs or rules or styles; 'underneath the radical image teenagers are surprisingly conformist',
81558,00576553,a,9,not conforming to some norm or socially approved pattern of behavior or thought; 'their rabidly nonformist deportment has made them legendary'; 'the old stubborn nonconformist spirit of the early settlers',
81559,00576833,a,9,(of power and warfare and weaponry) using atomic energy; 'nuclear (or atomic) submarines'; 'nuclear war'; 'nuclear weapons'; 'atomic bombs',
81560,00577053,a,9,using atomic weapons based on fusion as distinguished from fission,
81561,00577179,a,9,(of power and warfare and weaponry) not nuclear; 'conventional power plants'; 'conventional warfare'; 'conventional weapons',
81562,00577362,a,9,consisting of or derived from tradition; 'traditional history'; 'traditional morality',
81563,00577578,a,9,in accord with or being a tradition or practice accepted from the past; 'a conventional church wedding with the bride in traditional white'; 'the conventional handshake',
81564,00577806,a,9,having been passed along from generation to generation; 'among Biblical critics a tralatitious interpretation is one received by expositor from expositor',
81565,00578034,a,9,of long standing and acceptance; 'time-honored customs',
81566,00578164,a,9,adhering to tradition especially in cultural or religious practices,
81567,00578294,a,9,not conforming to or in accord with tradition; 'nontraditional designs'; 'nontraditional practices',
81568,00578470,a,9,tending to come together from different directions,
81569,00578649,a,9,flowing together,
81570,00578734,a,9,meeting or joining,
81571,00578812,a,9,(of light rays) converging on a point; 'focused light rays can set something afire',
81572,00578960,a,9,tending to move apart in different directions,
81573,00579127,a,9,resembling the branches of a tree,
81574,00579216,a,9,diverging from a common point,
81575,00579304,a,9,having many branches; 'a branchy tree trunk',
81576,00579492,a,9,resembling a tree in form and branching structure; 'arborescent coral found off the coast of Bermuda'; 'dendriform sponges',
81577,00579784,a,9,(botany) having widely spreading paired branches; 'maples are brachiate',
81578,00579912,a,9,having branches,
81579,00579994,a,9,resembling a bush in being thickly branched and spreading,
81580,00580118,a,9,(of trees) having a bushy top without a leader; 'mop-headed cabbage palms',
81581,00580249,a,9,having no branches,
81582,00580342,a,9,without branches; 'a tree with an unbranched trunk',
81583,00580464,a,9,causing one to believe the truth of something; 'a convincing story'; 'a convincing manner',
81584,00580683,a,9,appearing to merit belief or acceptance; 'a credible witness'; 'a plausible story',
81585,00580832,a,9,freeing from illusion or false belief,
81586,00580946,a,9,capable of convincing; 'a persuasive argument',
81587,00581049,a,9,not convincing; 'unconvincing excuses'; 'as unconvincing as a forced smile',
81588,00581219,a,9,not capable of persuading,
81589,00581303,a,9,having been prepared for eating by the application of heat,
81590,00581792,a,9,(of bread and pastries) cooked by dry heat (as in an oven); 'baked goods',
81591,00581917,a,9,cooked over an outdoor grill,
81592,00582011,a,9,cooked in hot water,
81593,00582102,a,9,cooked by browning in fat and then simmering in a closed container,
81594,00582222,a,9,cooked by radiant heat (as over a grill),
81595,00582326,a,9,ruined by overcooking; 'she served us underdone bacon and burnt buscuits',
81596,00582460,a,9,cooked until ready to serve,
81597,00582538,a,9,cooked by frying in fat,
81598,00582626,a,9,baked until hard,
81599,00582699,a,9,(used of eggs) cooked until the yolk is solid,
81600,00582802,a,9,cooked with onions,
81601,00582876,a,9,(of meat) cooked until there is just a little pink meat inside,
81602,00582991,a,9,cooked too long but still edible,
81603,00583078,a,9,toasted or roasted slightly; 'parched corn was a staple of the Indian diet',
81604,00583207,a,9,(of meat) to cook by dry heat in an oven,
81605,00583309,a,9,fried quickly in a little fat,
81607,00583568,a,9,used of eggs; having the yolk still liquid; 'soft-boiled eggs',
81608,00583688,a,9,cooked in steam; 'steamed clams',
81609,00583774,a,9,browned over by exposure to heat; 'he liked toasted marshmallows',
81610,00583893,a,9,(of meat) cooked until there is no pink meat left inside,
81611,00584005,a,9,not treated with heat to prepare it for eating,
81612,00584173,a,9,insufficiently cooked,
81613,00584263,a,9,(of meat) cooked a short time; still red inside; 'rare roast beef',
81614,00584380,a,9,not cooked,
81615,00584445,a,9,not having been brown by exposure to heat,
81617,00584742,a,9,showing a willingness to cooperate; 'a helpful cooperative patient'; 'parents hope to raise children who are considerate and helpful to others',
81618,00584939,a,9,"working together; used especially of groups, as subsidiaries of a corporation, cooperating for an enhanced effect; 'a synergistic effect'",
81619,00585147,a,9,unwilling to cooperate; 'an uncooperative witness',
81620,00585311,a,9,resistant to authority or control; 'as refractory as a mule',
81621,00585428,a,9,showing no willingness to cooperate; 'an unhelpful attitude',
81622,00585544,a,9,lacking in integrity; 'humanity they knew to be corrupt...from the day of Adam's creation'; 'a corrupt and incompetent city government',
81623,00585895,a,9,extremely dirty and corrupt; 'every government ought to attend to cleaning its own Augean stables',
81624,00586046,a,9,ruined in character or quality,
81625,00586153,a,9,capable of being corrupted; 'corruptible judges'; 'dishonest politicians'; 'a purchasable senator'; 'a venal police officer',
81626,00586380,a,9,marked by immorality; deviating from what is considered right or proper or good; 'depraved criminals'; 'a perverted sense of loyalty'; 'the reprobate conduct of a gambling aristocrat',
81627,00586663,a,9,unethical or dishonest; 'dirty police officers'; 'a sordid political campaign',
81629,00587097,a,9,morally corrupt or evil; 'the putrid atmosphere of the court',
81630,00587211,a,9,having taken a bribe or bribes; 'a sold-out politician',
81631,00587324,a,9,free of corruption or immorality; 'a policeman who was incorrupt and incorruptible',
81632,00587553,a,9,clean and honest; 'antiseptic financial practices',
81633,00587660,a,9,incapable of being morally corrupted; 'incorruptible judges are the backbone of the society',
81634,00587812,a,9,"not debased; 'though his associates were dishonest, he remained uncorrupted'; 'uncorrupted values'",
81635,00587968,a,9,not decayed or decomposed,
81636,00588063,a,9,used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more),
81637,00588254,a,9,used especially of drugs or muscles that counteract or neutralize each other's effect,
81638,00588413,a,9,(architecture) most ornate of the three orders of classical Greek architecture,
81639,00588584,a,9,a modified Corinthian style of architecture (a combination of Corinthian and Ionic),
81640,00588723,a,9,(architecture) oldest and simplest of the three orders of classical Greek architecture,
81641,00588897,a,9,a classical order similar to Roman Doric,
81642,00588990,a,9,(architecture) an order of classical Greek architecture,
81643,00589115,a,9,large or relatively large in number or amount or extent or degree; 'a considerable quantity'; 'the economy was a considerable issue in the campaign'; 'went to considerable trouble for us'; 'spent a considerable amount of time on the problem',
81644,00589505,a,9,enough to be estimated or measured; 'appreciable amounts of noxious wastes are dumped into the harbor',
81645,00589665,a,9,great in range or scope; 'an extended vocabulary'; 'surgeons with extended experience'; 'extensive examples of picture writing'; 'suffered extensive damage'; 'a wide selection',
81646,00589915,a,9,large in amount or extent or degree; 'it cost a considerable amount'; 'a goodly amount'; 'received a hefty bonus'; 'a respectable sum'; 'a tidy sum of money'; 'a sizable fortune',
81647,00590206,a,9,(regional; S and Midland) 'it's a right smart distance',
81648,00590319,a,9,fairly large; 'won by a substantial margin',
81649,00590434,a,9,too small or unimportant to merit attention; 'passed his life in an inconsiderble village'; 'their duties were inconsiderable'; 'had no inconsiderable influence',
81650,00590674,a,9,not large enough to consider or notice,
81693,00598705,a,9,capable of being corrected by additions; 'an amendable flaw',
81694,00598835,a,9,susceptible of improvement,
81652,00591091,a,9,lacking material form or substance; unreal; 'as insubstantial as a dream'; 'an insubstantial mirage on the horizon',
81654,00591692,a,9,lacking in substance; 'strange fancies of unreal and shadowy worlds'- W.A.Butler; 'dim shadowy forms'; 'a wraithlike column of smoke',
81655,00591892,a,9,derived from or composed of matter; 'the material universe',
81656,00592078,a,9,having substance or material existence; perceptible to the senses; 'a physical manifestation'; 'surrounded by tangible objects',
81657,00592283,a,9,concerned with material things; 'physical properties'; 'the physical characteristics of the earth'; 'the physical size of a computer',
81658,00592471,a,9,not consisting of matter; 'immaterial apparitions'; 'ghosts and other immaterial entities',
81659,00592686,a,9,lacking substance or reality; incapable of being touched or seen; 'that intangible thing--the soul',
81660,00592856,a,9,having a body or a body of a specified kind; often used in combination; 'strong-bodied'; 'big-bodied',
81661,00593046,a,9,invested with a bodily form especially of a human body; 'a monarch...regarded as a god incarnate',
81662,00593199,a,9,having no body,
81663,00593322,a,9,having no trunk or main part; 'a bodiless head',
81664,00593435,a,9,having no physical form; 'belief in a world filled with...formless but often malevolent beings,
81665,00593584,a,9,subjected to intensive forced indoctrination resulting in the rejection of old beliefs and acceptance of new ones; 'brainwashed prisoners of war'; 'captive audiences for TV commercials can become brainwashed consumers',
81666,00593860,a,9,not successfully subjected to brainwashing; 'despite the torture and the psychological pressure some POWs remained unbrainwashed',
81667,00594049,a,9,having material or physical form or substance; 'that which is created is of necessity corporeal and visible and tangible' - Benjamin Jowett,
81668,00594345,a,9,having or relating to a physical material body; 'bodily existence',
81669,00594464,a,9,possessing or existing in bodily form; 'what seemed corporal melted as breath into the wind'- Shakespeare; 'an incarnate spirit'; '`corporate' is an archaic term',
81670,00594725,a,9,having a new body,
81671,00594800,a,9,without material form or substance; 'an incorporeal spirit',
81672,00595002,a,9,not having a material body; 'bodiless ghosts',
81673,00595155,a,9,lacking material body or form or substance; 'spiritual beings'; 'the vital transcendental soul belonging to the spiritual realm'-Lewis Mumford,
81674,00595353,a,9,free from error; especially conforming to fact or truth; 'the correct answer'; 'the correct version'; 'the right answer'; 'took the right road'; 'the right decision',
81675,00595724,a,9,exact in performance or amount; strictly correct; 'a precise instrument'; 'a precise measurement',
81676,00595894,a,9,correct to the last detail; especially being in or following the exact words; 'a letter-perfect rendition of the soliloquy 'she was word-perfect in her part',
81677,00596127,a,9,following a correct or logical method; 'straight reasoning',
81678,00596241,a,9,not correct; not in conformity with fact or truth; 'an incorrect calculation'; 'the report in the paper is wrong'; 'your information is wrong'; 'the clock showed the wrong time'; 'found themselves on the wrong road'; 'based on the wrong assumptions',
81679,00596698,a,9,containing or characterized by error; 'erroneous conclusions'; 'the answer was inaccurate',
81680,00596857,a,9,based on an incorrect or misleading notion or information; 'fallacious hope',
81681,00596990,a,9,arising from error; 'a false assumption'; 'a mistaken view of the situation',
81682,00597129,a,9,correct in opinion or judgment; 'time proved him right',
81683,00597264,a,9,disposed toward or having views based on what is right; 'respect for law which every right-minded citizen ought to have'- Bertrand Russell,
81684,00597461,a,9,based on or acting or judging in error; 'it is wrong to think that way',
81685,00597602,a,9,obstinately perverse in judgment or opinion; 'a wrongheaded policy',
81686,00597727,a,9,having something undesirable neutralized; 'with glasses her corrected vision was 20:20',
81687,00597924,a,9,(optics) free from or corrected for spherical aberration; 'an aplanatic mirror',
81688,00598059,a,9,(optics) corrected for both chromatic and spherical aberration; 'an apochromatic lens',
81689,00598204,a,9,having been put right,
81690,00598281,a,9,left faulty or wrong; 'uncorrected astigmatism',
81691,00598404,a,9,not having been put right; 'unremedied errors',
81692,00598507,a,9,capable of being corrected or set right; 'a corrigible defect'; 'a corrigible prisoner',
82291,00701052,a,9,torn down and broken up,
81696,00599047,a,9,impervious to correction by punishment,
81697,00599216,a,9,persistently bad; 'school for delinquent boys',
81698,00599319,a,9,hopelessly bad; 'an unregenerate criminal',
81701,00600076,a,9,marked by wide-ranging knowledge and appreciation of many parts of the world arising from urban life and wide travel; 'the sophisticated manners of a true cosmopolite'; 'urbane and pliant...he was at ease even in the drawing rooms of Paris',
81702,00600385,a,9,"familiar with many parts of the world; 'a traveled, educated man'; 'well-traveled people'",
81703,00600541,a,9,characteristic of the provinces or their people; 'deeply provincial and conformist'; 'in that well-educated company I felt uncomfortably provincial'; 'narrow provincial attitudes',
81704,00600867,a,9,awkwardly simple and provincial; 'bumpkinly country boys'; 'rustic farmers'; 'a hick town'; 'the nightlife of Montmartre awed the unsophisticated tourists',
81705,00601112,a,9,strong and healthy but not sophisticated,
81706,00601207,a,9,narrowly restricted in outlook or scope; 'little sympathy with parocial mentality'; 'insular attitudes toward foreigners',
81707,00601394,a,9,small and remote and insignificant; 'a jerkwater college'; 'passed a series of poky little one-horse towns',
81708,00601584,a,9,not given to travel; 'a stay-at-home friend',
81709,00601690,a,9,retarding evacuation of feces,
81710,00601791,a,9,causing constipation,
81711,00601880,a,9,stimulating evacuation of feces,
81712,00602002,a,9,mildly laxative,
81713,00602072,a,9,strongly laxative,
81714,00602168,a,9,have difficult or incomplete or infrequent evacuation of the bowels,
81715,00602311,a,9,confined in the bowels; 'he is bound in the belly',
81716,00602416,a,9,not constipated,
81717,00602537,a,9,of or relating to diarrhea,
81718,00602632,a,9,emptying easily or excessively; 'loose bowels',
81719,00602736,a,9,showing concern for the rights and feelings of others; 'friends considerate enough to leave us alone',
81720,00602967,a,9,showing consideration and anticipation of needs; 'it was thoughtful of you to bring flowers'; 'a neighbor showed thoughtful attention',
81721,00603165,a,9,lacking regard for the rights or feelings of others; 'shockingly inconsiderate behavior',
81722,00603403,a,9,showing an unthinking lack of consideration; 'a careless remark',
81723,00603522,a,9,without care or thought for others; 'the thoughtless saying of a great princess on being informed that the people had no bread; `Let them eat cake'',
81724,00603752,a,9,characterized by courtesy and gracious good manners; 'if a man be gracious and courteous to strangers it shows he is a citizen of the world'-Francis Bacon,
81725,00604016,a,9,having the qualities of gallantry attributed to an ideal knight,
81726,00604157,a,9,showing no courtesy; rude; 'a distant and at times discourteous young',
81727,00604394,a,9,surprisingly and unceremoniously brusque in manner; 'an abrupt reply',
81728,00604516,a,9,marked by rude or peremptory shortness; 'try to cultivate a less brusque manner'; 'a curt reply'; 'the salesgirl was very short with him',
81729,00604733,a,9,offensively discourteous,
81730,00604838,a,9,without due formalities; 'unceremonious dismissal from office',
81731,00604960,a,9,"showing regard for others in manners, speech, behavior, etc.",
81732,00605127,a,9,socially correct in behavior,
81733,00605226,a,9,exhibiting courtesy and politeness; 'a nice gesture',
81734,00605352,a,9,not polite,
81735,00605525,a,9,(used of an ill-mannered child) impolitely unruly,
81736,00605638,a,9,socially incorrect in behavior; 'resentment flared at such an unmannered intrusion',
81737,00605813,a,9,lacking social graces,
81738,00605906,a,9,so rude and abusive as to be unsuitable for Parliament,
81739,00606022,a,9,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others; 'even if he didn't like them he should have been civil'- W.S. Maugham,
81740,00606314,a,9,lacking civility or good manners; 'want nothing from you but to get away from your uncivil tongue'- Willa Cather,
81741,00606505,a,9,(of divisions of time) legally recognized in ordinary affairs of life; 'the civil calendar'; 'a civil day begins at mean midnight',
81742,00606687,a,9,(of divisions of time) determined by daily motion of the stars; 'sidereal time',
81744,00607079,a,9,indulging in or influenced by fancy; 'a fanciful mind'; 'all the notional vagaries of childhood',
81745,00607241,a,9,capable of imaginative creation; 'fictive talent',
81747,00607720,a,9,exuberantly creative,
81748,00607793,a,9,not creative; 'an uncreative imagination',
81749,00607963,a,9,deficient in originality or creativity; lacking powers of invention:i 'a sterile ideology lacking in originality'; 'unimaginative development of a musical theme'; 'uninspired writing',
81750,00608243,a,9,capable of being believed; 'completely credible testimony'; 'credible information',
81751,00608483,a,9,within the realm of credibility; 'not a very likely excuse'; 'a plausible story',
81752,00608628,a,9,affording reasonable grounds for belief or acceptance; 'presumptive evidence'; 'a strong presumptive case is made out',
