nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
148656,L9015997,n,1,"Abraham's son by Hagar, Ishmael",
148657,L9017182,n,1,a worker in ivory,
148659,L9031189,n,1,a noted highwayman in Attica,
148662,L9046990,n,1,"Julius, of or belonging to Julius Caesar, Julian",
148668,L9055347,n,1,"a burning wind blowing in Apulia, now called sirocco",
148669,L9058234,n,1,a herald of Agamemnon,
148672,L9071424,n,1,the name of a shameless person,
148673,L9074978,n,1,a people in the Sabine country,
148674,L9079564,n,1,a king of the Messenians,
148677,L9087547,n,1,a rich friend of Coesar,
148678,L9089711,n,1,a writer on precious stones,
148679,L9093291,n,1,"one of the thirty tyrants of Athens, who was put to death for resisting the oppressive measures of his associates",
148680,L9093545,n,1,a surname of the Interamnates on the Liris in Latium,
148682,L9093700,n,1,"a Roman colony in Mauretania Caesariensis, now Arzew",
148683,L9094001,n,1,"a Getulian people on the west coast of Africa, north and south of Mount Atlas",
148684,L9097327,n,1,"a daughter of Nycteus, wife of Lycus, king of Thebes, mother of Amphion and Zethus",
148686,L9110170,n,1,a distinguished Athenian harp-player,
148687,L9112960,n,1,"a celebrated orator of Alabanda, an older contemporary of Cicero",
148688,L9115630,n,1,",, a fictitious name of a gens",
148689,L9118060,n,1,"a celebrated elephant in the Carthaginian army, mentioned by Cato",
148691,L9121400,n,1,"providing of corn, foraging",
148692,L9128825,n,1,"the dog-star, Sirius",
148655,L9015089,n,1,"a mountain of northern Germany, in the island of Scandia, the modern Kjölen, between Sweden and Norway",2775
148640,L8974645,n,1,"a city in Cilicia, named from a neighboring mountain, now the ruins of Deliktash",2775
148651,L8996942,n,1,"a town of Macedonia, now Erisso",2775
148660,L9045565,n,1,a town in Arcadia,2775
148646,L8983751,n,1,"a philosopher of Cyrene, disciple of Socrates, and founder of the Cyrenaic school",1545
148635,L8964936,n,1,a people of Arabia,1696
148633,L8963904,n,1,"a town of the Bruttii, now Amantea",2775
148661,L9046666,n,1,"a people of Asia, in the modern Mekran",1696
148642,L8977605,n,1,"a people of Greece, consisting of several tribes",1696
148667,L9054348,n,1,"a city in Epirus, on the Acheron, now Kastri",2775
148663,L9047542,n,1,"the city of Parma, in Gallia Cispadana, between Cremona and Placentia, famed for its breed of sheep",2775
148690,L9119777,n,1,"a river in Colchis, which empties into the Euxine Sea, now Rion",2775
148681,L9093594,n,1,"a Greek comic poet, a native of Soli, in Cilicia, and a contemporary of Menander",2748
148666,L9051230,n,1,an island in the Indus,2775
148671,L9069968,n,1,"an island in the Propontis, abounding in wine and marble, now Marmora",2775
148637,L8971524,n,1,a town and harbor of Laconia,2775
148676,L9084650,n,1,an island north of Germany,2775
148636,L8966960,n,1,an Epicurean philosopher in Cicero's time,1545
148685,L9107872,n,1,a cognomen of the gens Annaea,2792
148665,L9050280,n,1,"an inland town of Achaia, near the confines of Elis, now Kastritzi",2775
148638,L8972002,n,1,"the great temple of Jupiter, built by Agrippa, and restored by Hadrian",1666
148670,L9059175,n,1,a kind of precious stone thought to have magical properties,2139
148658,L9023633,n,1,an inhabitant of a municipium or free town,1725
148675,L9083855,n,1,transport ship for cavalry,1840
148698,L9159384,n,1,"the Tyrrhenians, a Pelasgian people who migrated to Italy and formed the parent stock of the Etrurians",
148702,L9165306,n,1,a people on the shores of the Caspian Sea,
148704,L9168819,n,1,"daughters of Phorcus and Ceto, sisters and guardians of the Gorgons, gray-haired from their birth, having but one eye and one tooth among them",
148706,L9173564,n,1,daughter of the Arcadian king Lycaon,
148707,L9175730,n,1,"Molossus, Molossian",
148708,L9176020,n,1,a comically formed name,
148711,L9188317,n,1,"the Bituriges, a people in Gallia Aquitania, divided into two tribes",
148713,L9189741,n,1,the mistress of the poet Ovid,
148714,L9190532,n,1,"the Moesians, a people in the modern Bulgaria and Servia",
148717,L9198810,n,1,the founder of Dicaearchia,
148718,L9200382,n,1,a pair of rocks at the Bosphorus that clashed together whenever a vessel went through,
148720,L9201225,n,1,a celebrated physician of Laodicea in Syria,
148721,L9201389,n,1,a person who tears off,
148723,L9205211,n,1,"a famous pugilist, son of Tyndarus and Leda, and brother of Castor, in connection with whom, as the constellation of the Twins, he serves as a guide to mariners",
148724,L9206396,n,1,"a promontory on the north-eastern extremity of Sicily, the modern Capo di Faro",
148725,L9212142,n,1,"a mole of seven stadia in length, connecting the isle of Pharos with the mainland",
148728,L9215027,n,1,"the father of Andromache, and king of Thebe, in Cilicia",
148729,L9217457,n,1,one of the fifty sons of Aegyptus,
148732,L9223743,n,1,a deity of the Ethiopians,
148733,L9224399,n,1,title of a mime of Laberius,
148734,L9227165,n,1,"the daughter of Tantalus, and wife of Amphion, king of Thebes, whose seven sons and seven daughters were slain by Apollo and Diana, because, on the strength of her numerous progeny, she triumphed over Latona",
148736,L9229030,n,1,"the accomplished friend of Socrates, afterwards wife of Pericles",
148737,L9229100,n,1,pure Etrusc,
148738,L9231043,n,1,a statesman and orator of Athens,
148740,L9237404,n,1,"son of Bocchus and king of Mauritania, captured and slain bg Agrippa B.C",
148744,L9243990,n,1,a Nereid,
148746,L9248479,n,1,"Boeturia, the north-west part of Hispania Baetica, between the Boetis and Anas",
148749,L9250920,n,1,"the father of Priam and Ganymede, king of Troy",
148695,L9153808,n,1,"a goddess, called also Lara and Larunda, whom Jupiter, on account of her talkativeness, struck dumb",1666
148743,L9241928,n,1,a granddaughter of a great-grandchild,1704
148700,L9160870,n,1,"the high mountains of Switzerland, the Alps, unknown to the Romans, in their whole extent, until the time of Augustus",2775
148693,L9140827,n,1,"a small river in the Venetian territory, now Stella",2775
148699,L9160868,n,1,"the Balearic Islands, Majorca and Minorca, in the Mediterranean Sea, whose inhabitants were famous slingers",1696
148745,L9245233,n,1,a people of Umbria,1696
148727,L9214426,n,1,"the name given by the Romans to the land in today's Scotland, north of their province of Britannia, beyond the frontier of their empire",2775
148735,L9227875,n,1,a people of Lusitania,1696
148697,L9157650,n,1,a town in Magnesia,2775
148705,L9171766,n,1,"an island in the Ionian Sea, opposite Epirus",2775
148696,L9154690,n,1,a city on the western coast of Sardinia,2775
148715,L9191373,n,1,"a town of Thessaly, in the Vale of Tempe",2775
148712,L9189020,n,1,"a people of Gallia Narbonensis, whose capital, called Alba Helvorum and Alba Helvia, was celebrated for its wine, now Alps, in Viviers, Départ",1696
148710,L9184283,n,1,a river of Arcadia which flows into the Alphëus,2775
148741,L9238228,n,1,"an ancient city of Apulia, now Lucera",2775
148719,L9200610,n,1,a city in Hispania Baetica,2775
148703,L9165392,n,1,"the capital of Messenia, in the Peloponnesus, on the river Pamisos, now Maura-Matia",2775
148742,L9241130,n,1,a Sabine praenomen,2792
148747,L9249494,n,1,"a river in Cisalpine Gaul, which runs by Mantua, a tributary of the Po, now Mincio",2775
148726,L9214194,n,1,"a city of Lucania, formerly called Posidonia, celebrated for its twice-blowing roses, now Pesti",2775
148722,L9201767,n,1,a region in Thrace,2775
148716,L9197783,n,1,"a mountain in Arcadia, now Partheni",2775
148731,L9222638,n,1,an Academic philosopher of Athens,1545
148694,L9151481,n,1,a mountain in Samothrace,2775
148739,L9231986,n,1,"a town of Palestine, now Bysan",2775
148748,L9250036,n,1,"a river of Cisalpine Gaul, that flows into the Po near Turin",2775
148730,L9219380,n,1,a town of Athamania,2775
148709,L9182270,n,1,a people of Lower Moesia,1696
148751,L9254233,n,1,"a priest of Apollo, from Chryse, in Troas, the father of Astynome, on account of whose close captivity by Agamemnon, Apollo sent a pestilence upon the Grecian hosts",
148755,L9262790,n,1,"a son of Iphiclus, a native of Phylace in Thessaly, the husband of Laodamia, and the leader of the Thessalians against Troy, where he was the first man killed",
148756,L9267102,n,1,a little bell,
148758,L9269536,n,1,the son of Ulysses and Penelope,
148759,L9269950,n,1,king of Oechalia and father of Iole,
148761,L9271950,n,1,"the open space in Rome below the Capitol, not far from the Carcer, where had stood the house of the turbulent tribune of the people",
148766,L9298302,n,1,"Spartan, Lacedaemonian",
148769,L9307123,n,1,"an epithet of Apollo, because he tended the flocks of Admetus",
148770,L9308164,n,1,"the name of a lake in Upper Italy, now Lago Maggiore",
148771,L9310277,n,1,a warlike people in Gallia Narbonensis,
148774,L9316531,n,1,a sculptor of the time of Alexander the Great,
148775,L9327089,n,1,"a people in Gallia Narbonensis, between the Pyrenees and the Rhone",
148778,L9331630,n,1,"a famous painter, brother of the sculptor Phidias",
148782,L9340122,n,1,the daughter of Deo,
148784,L9342497,n,1,"a people in western Hispania Tarraconensis, now Galicia and part of Portugal",
148786,L9349040,n,1,"a port in Etruria south of Pisa, now Torre di Vado",
148787,L9356017,n,1,"a Thracian tribe on the Danube, bordering on the Dacians, the Getoe",
148793,L9376905,n,1,the sea or lake of Galilee,
148795,L9383560,n,1,an Illyrian chief,
148796,L9388303,n,1,"son of king Strophius, celebrated as the friend of Orestes",
148797,L9389787,n,1,"son of Agamemnon and Clytemnestra or Brisëis, the founder of Falisci",
148799,L9393384,n,1,"or Mattheus, St",
148800,L9397128,n,1,a priest of Diana at Ephesus,
148801,L9399314,n,1,"Cyprian girls, who, having denied the divinity of Venus, were turned to stone",
148802,L9399572,n,1,"a king of Illyria, whom his wife Agave, the daughter of Cadmus, murdered, in order to give the kingdom to her father",
148807,L9410130,n,1,"the name of a Messenian, who invented the cuirass",
148792,L9371522,n,1,"a small island in the bay of Naples, between Naples and Puteoli, now Nisita",2775
148752,L9260046,n,1,"a celebrated Athenian statesman and general, who fell in the expedition against Sicily",2798
148763,L9281587,n,1,"a king of Sicily, son of a potter, celebrated for his war with the Carthaginians for the possession of the island",2775
148768,L9302468,n,1,a town in Hispania Tarraconensis,2775
148779,L9332493,n,1,"a seaport town in Boeotia, from which the Grecian fleet set sail for Troy",2775
148777,L9327326,n,1,"a town in Mauritania, called, as a Roman colony, Julia Campestris",2775
148794,L9382521,n,1,the inhabitants of Basti in Spain,1696
148783,L9341305,n,1,a town on the larger of the Balearic islands,2775
148803,L9401608,n,1,a river in Bithynia,2775
148776,L9327226,n,1,a river in Thessaly that flows into the Penëus,2775
148791,L9368949,n,1,"the principal city on the island of Euboea, the birthplace of the philosopher Menedemus, now Palaeo Castro",2775
148780,L9338454,n,1,"a city of Gallia Cisalpina, which produced excellent linen cloth, now Faënza",2775
148781,L9339960,n,1,"a mountain near Athens, famed for its honey and its marble",2775
148753,L9260140,n,1,a city of Hispania Tarraconensis,2775
148804,L9406330,n,1,a people of Gallia Transpadana,1696
148754,L9261903,n,1,a fabled people of Africa,1696
148805,L9407181,n,1,"an ancient city in Achaia, between Patroe and Dymo, now Kato Akhaia",2775
148765,L9296577,n,1,a Roman cognomen of the Aemilian family,2792
148773,L9311594,n,1,"an Egyptian city at the eastern mouth of the Nile, the modern Castle of Tineh",2775
148750,L9253458,n,1,"a city in Campania, south-east of Salernum, the modern Vicenza",2775
148785,L9345952,n,1,"Priapus, the god of Procreation",1666
148767,L9299142,n,1,a town in Calabria,2775
148789,L9362317,n,1,a mountain of Eastern Asia,2775
148760,L9270411,n,1,a cognomen of the gens Lucretia,2792
148757,L9269282,n,1,a cognomen of the gens Terentia,2792
148764,L9285482,n,1,"a river of India, a branch of the Ganges",2775
148806,L9407541,n,1,a name given by the Gauls to good horse-breakers,2652
148762,L9275060,n,1,"a mode of applauding with the hands formed into hollows, invented by Nero",1917
148788,L9362050,n,1,market in Rome where images of the gods were sold,1666
148772,L9311009,n,1,pertaining to the month of December,1463
148790,L9364503,n,1,a Roman nomen,2792
148809,L9412845,n,1,a part of Scythia on the Black Sea,
148810,L9416594,n,1,"the castle of Megara, named after Alcathous",
148815,L9429774,n,1,son of Perseus and father of Alcmena,
148816,L9431387,n,1,a contemptuous name given by Zeno to Chrysippus,
148818,L9433295,n,1,"a Scythian king, who fed lions with human flesh",
148819,L9440209,n,1,a fortress in Armenia,
148820,L9440260,n,1,Esquiline,
148823,L9447830,n,1,"a famous Athenian orator who sided with Macedon, a contemporary of Demosthenes",
148824,L9452225,n,1,"an Alpine people, whose name appeared upon a triumphal arch in honor of Augustus",
148828,L9467558,n,1,"the nephew and successor of Micipsa, king of Numidia, conquered by Marius in the war with the Romans",
148830,L9469870,n,1,a people between the Black and the Caspian Seas,
148831,L9473873,n,1,"a son of Doedalus, who, on his flight from Crete, fell into the Aegean Sea",
148832,L9474750,n,1,wife of Syphax and daughter of Hasdrubal,
148833,L9476871,n,1,"a deity of the Gauls, to whom human sacrifices were offered",
148834,L9480191,n,1,"son of Pelias, king of Thessaly, husband of Astydamia or Cretheis, and father of Laodamia",
148835,L9481101,n,1,"a very ancient Sabine family near Rome, in the territory of the Falisci",
148840,L9497244,n,1,a Corinthian who purchased and liberated Diogenes the Cynic,
148841,L9498631,n,1,a Theban lawgiver,
148845,L9506042,n,1,a less freq,
148848,L9521327,n,1,the most celebrated of the Grecian orators,
148851,L9530280,n,1,a tribe of the Vocontii,
148852,L9530571,n,1,a celebrated graver,
148853,L9531219,n,1,an epithet given to the members of king Perseus's body-guard,
148854,L9531470,n,1,a Celtic people in Gallia Cisalpina,
148855,L9533520,n,1,"the ancient name of Beneventum, in the Samnite territory",
148856,L9535841,n,1,an Asiatic tribe near the Moeotic Lake,
148857,L9541202,n,1,Glyconic,
148858,L9541530,n,1,"a geographer, a native of Marseilles, contemporary with Ptolemy Philadelphus",
148859,L9542324,n,1,"a castle in Gallia Belgica, on the Rhine, now Gelb or Gellep",
148861,L9545887,n,1,a famous Athenian orator and statesman,
148862,L9548057,n,1,"a tract of country on the Strymon, in Thrace",
148867,L9562260,n,1,a name formed in ridicule of a boasting soldier,
148868,L9565775,n,1,"a king of Sparta, who fell at Thermopylae",
148839,L9496407,n,1,"a river forming the boundary between Lucania and Campania, now Sele",2775
148842,L9502206,n,1,a town of Thessaly,2775
148812,L9422120,n,1,name of a Greek city,2775
148843,L9504165,n,1,"a people inhabiting Bebrycia, a province of Asia Minor, afterwards called Bithynia",2775
148826,L9459975,n,1,"a province in Africa Propria, between the river Triton and the Lesser Syrtis",2775
148865,L9555278,n,1,a town in Hispania Baetica,2775
148860,L9545633,n,1,"a town on the coast of Aeolis, opposite Mytilene, now Kanot-Koli",2775
148814,L9423139,n,1,a place in Thrace near Olynthus,2775
148827,L9465322,n,1,", Mount Carmel, a high, steep mountain in Phoenicia, on the sea-coast, now Karmel or Karmul",2775
148811,L9419701,n,1,"a town in Colchis, the birthplace of Medea",2775
148866,L9558972,n,1,a people of Illyria,1696
148850,L9523433,n,1,a general of Magnentius,2798
148847,L9520263,n,1,"a town on the western coast of Sicily, now Trapani",2775
148863,L9550645,n,1,"a city of Etruria, now Orte",2775
148808,L9410745,n,1,"a nymph in the territory of Minturnae, on the river Liris, the fabled mother of the Latins",2775
148817,L9431744,n,1,"a city of the Ozolian Locrians, a colony from which built the city of Locri, in Italy",2775
148837,L9485619,n,1,a city in Macedonia,2775
148821,L9441534,n,1,"a city of Syria, whose ruins still remain, the seat of the empire of Odenathus and Zenobia",2775
148836,L9485247,n,1,"the Philistines, the original inhabitants of Palestine",1696
148838,L9491970,n,1,"a town of Cilicia, afterwards called Pompeiopolis, now Mezetli",2775
148822,L9442424,n,1,"a city of Noricum, Inscr",2775
148849,L9523167,n,1,"a town of the Bruttii, now Montalto",2775
148813,L9422913,n,1,an island near Meroe in Ethiopia,2775
148829,L9467638,n,1,a female Epicurean philosopher of Lampsacus,1545
148846,L9517993,n,1,a cognomen of the Fabrician gens,2792
148844,L9505617,n,1,a lock of wool,2401
148869,L9567500,n,1,a daughter of the Ethiopian king Cepheus and Cassiope,
148870,L9575445,n,1,"a word formed by Plautus in jest, as the name of one who is skilled in extorting money, a sponger",
148871,L9575927,n,1,"a colony of the Latins, formerly called Sinope, in Campania, now ruins near Monte Dragone",
148872,L9579267,n,1,the wife of Ligdus and mother of Iphis,
148873,L9587274,n,1,a proper name,
148874,L9587549,n,1,"the Sceptics, the disciples of Pyrrho",
148878,L9594565,n,1,"aaSolomon, son of David, Prud",
148879,L9600496,n,1,Myrtoan,
148880,L9603094,n,1,a people in the south-western part of Epirus,
148882,L9610056,n,1,the title of a lost comedy of Plautus,
148885,L9617467,n,1,a seaport in Epirus,
148890,L9630600,n,1,"a tributary of the Indus, now Tschandrabagha",
148892,L9634431,n,1,"a people in Acarnania, noted for robbing travellers",
148894,L9638126,n,1,"a Libyan people to the south-west of Cyrenaica, extending to the Great Syrtis",
148895,L9638776,n,1,a proper name,
148896,L9639226,n,1,"a son of Orestes, and king of Argos",
148897,L9640488,n,1,the white Ethiopians of Libya,
148898,L9641875,n,1,"a son of Aeolus, brother of Sisyphus, who imitated lightning with burning torches, and was on that account hurled into Tartarus by a thunderbolt from Jupiter",
148899,L9643259,n,1,the only one of the companions of Ulysses who withstood Circe's magic cup,
148900,L9643291,n,1,"a Celtic people who migrated into Phrygia, the Galatians",
148901,L9643908,n,1,"a son of the Argive priestess Cydippe, and brother of Cleobis, distinguished for his filial affection",
148903,L9650679,n,1,a Thracian people,
148905,L9654907,n,1,a Philistine,
148908,L9663348,n,1,a Thracian people on the borders of Macedonia,
148909,L9663693,n,1,"a son of Celeus, king of Eleusis and of Metanira",
148910,L9669076,n,1,"daughter of Cercyon, and mother of Hippothous by Neptune, who changed her into a fountain",
148911,L9670990,n,1,"the ferryman, a name given to Charon",
148912,L9673044,n,1,"the Flash of Lightning, a painting by Apelles",
148913,L9682674,n,1,"a people in the eastern part of Arabia Felix, now Hadramaut",
148915,L9688875,n,1,"the descendants of Iamus, son of Apollo",
148917,L9689510,n,1,"a seat of the muses, a museum",
148918,L9695420,n,1,"daughter of Pelias, and wife of Admetus, king of Pheroe, for the preservation of whose life she resigned her own, but was afterwards brought back from the lower world by Hercules, and restored to her husband",
148919,L9695520,n,1,"the nymph Britomartis, so called because, when pursued by Minos, she sprang into a net",
148921,L9701828,n,1,"an Egyptian and Libyan deity, worshipped in the form of a ram, and identified by the Greeks and Romans with Ζεύς and Jupiter",
148924,L9709612,n,1,"Isocrates, a celebrated orator and teacher of rhetoric at Athens, a pupil of Gorgias and the friend of Plato",
148888,L9627860,n,1,"a mountain range in Germany, the northern part of the Black Forest, in which the Danube rises",2775
148886,L9626395,n,1,"an island on the western coast of Campania, the landing-place of Aeneas, now Ischia",2775
148893,L9636348,n,1,"a town in Laconia, in a beautiful, fertile region, the residence of Tyndarus and the birthplace of Castor and Pollux",2775
148922,L9702982,n,1,"a Persian province between Hyrcania, Gedrosia, and India, now the western part of Chorasan",2775
148907,L9661988,n,1,"a small but very ancient town in Latium, near Rome, now Ciano",2775
148875,L9590218,n,1,"a Grecian city of Calabria, now Gallipoli",2775
148925,L9711225,n,1,a river in Troas,2775
148887,L9626623,n,1,"a city in Umbria, on the Adriatic Sea, with a celebrated temple of Fortuna, now Fano",2775
148914,L9682965,n,1,"a goddess worshipped in ancient Rome, otherwise unknown",1666
148916,L9689236,n,1,a city of Hispania,2775
148891,L9631841,n,1,a district in Macedonia,2775
148904,L9650847,n,1,a general of Rhodes,2798
148889,L9629338,n,1,"a people of Central Italy, contiguous to the Frentani and Marrucini, descendants of the Sabines, in the modern Abruzzo citeriore",1696
148902,L9644435,n,1,"an important city of Lydia, now the town and ruins of Allasher",2775
148876,L9594186,n,1,a people of Picenum,1696
148906,L9661666,n,1,"a very ancient town in Latium, now Passerano",2775
148884,L9616245,n,1,a city of Macedonia,2775
148920,L9701425,n,1,a mountain in Greater Phrygia,2775
148877,L9594490,n,1,"a town in Spain, now Lerma",2775
148881,L9607184,n,1,"a small town in Laconia, the birthplace of Helen",2775
148883,L9616117,n,1,"a mountain ridge north of Capua, now Monte Maddaloni",2775
148926,L9713998,n,1,"the Goths, the great tribe of Northern Germany",
148929,L9718072,n,1,"the slayer of Tydeus, who, while dying, bit the head of Menalippus",
148930,L9720034,n,1,a person who praises warmly,
148931,L9721640,n,1,Plin,
148934,L9730154,n,1,"a king of Corinth, at whose court Oedipus was brought up",
148935,L9731718,n,1,Pax Julia,
148936,L9732513,n,1,the books of the Chronicles in the Bible,
148937,L9735615,n,1,the Huns,
148940,L9743284,n,1,a people in the territory of Picenum,
148944,L9754503,n,1,"the fiftieth day after Easter, WhitSunday, Pentecost",
148948,L9774601,n,1,wife of the Achoean chief Aratus,
148951,L9780740,n,1,"the seventh month of the Attic year, answering to the last half of our January and the first of February",
148952,L9785690,n,1,"a country of Asia Minor, north of Cilicia, between the Taurus and Pontus, now called Caramania",
148955,L9790421,n,1,mother of the third Mercury,
148956,L9790524,n,1,"the very ancient capital of Lydia, on the Pactolus, the residence of Croesus",
148961,L9800369,n,1,"one of the Argonauts, a swift runner",
148962,L9805820,n,1,"the son of Pelops, brother of Atreus and Thyestes, and the father of Agamemnon and Menelaus, who were brought up by his brother Atreus",
148965,L9808720,n,1,a Scythian people in the north of Europe,
148968,L9813984,n,1,a Cretan girl who was changed into a man,
148969,L9815045,n,1,Plur.,
148971,L9824439,n,1,one of Actoeon's hounds,
148975,L9827548,n,1,"one of the Well-Wishers, tutelary deities of new-born infants",
148978,L9830131,n,1,a place for rest,
148981,L9835948,n,1,"a harbor of Phthiotis, in Thessaly, on the Sinus Maliacus, now Stillida",
148982,L9837385,n,1,"a rivulet near Rome, mentioned in prayers, otherwise unknown",
148984,L9844991,n,1,father of the Persian king Darius I.,
148960,L9798990,n,1,"a Roman cognomen, meaning 'with large and swollen ankles, having the ankles bunching out'",2792
148954,L9788777,n,1,"a town in Boeotia, at the south-eastern foot of Helicon, now the village of Lefka, near Rimokastro",2775
148927,L9716608,n,1,"a species of woolly thistle with a spiny stem and long, sharp flower head, closely related to the safflower (Carthamus lanatus)",2172
148976,L9828691,n,1,a measure of arable land,1788
148980,L9833325,n,1,"a town of Boeotia, now Kardhiza",2775
148983,L9844487,n,1,"the goddess of Justice, who, during the Golden Age, lived on the earth, but finally abandoned it, and returned to heaven",1666
148963,L9807390,n,1,"relating to the emperor Augusius, of Augustus, Augustan",2798
148941,L9746128,n,1,a town in Armenia Minor,2775
148973,L9824733,n,1,"the chief of the Muses, goddess of epic poetry",1666
148953,L9787889,n,1,"a very ancient town in Aetolia, on the river Evenus, built by a hero of the same name",2775
148957,L9795123,n,1,a town in Syria,2775
148933,L9727786,n,1,"a people of Lower Moesia, on the Danube, on the coast of the Black Sea",1696
148932,L9721917,n,1,a famous natural philosopher of Agrigentum,1545
148967,L9810612,n,1,the Greek poet Hesiod,2748
148970,L9820680,n,1,"the people of Istria, Istrians, a barbarous Illyrian tribe subdued by the Romans B",1696
148974,L9826428,n,1,a very ancient name of the island of Sardinia,2775
148949,L9775174,n,1,"a poetical name for Troja, the city of Ilium, Troy",2775
148945,L9758743,n,1,a Volscian city in the neighborhood of Corioli,2775
148946,L9759590,n,1,"a city in Lycaonia, north-west of Iconium",2775
148959,L9798068,n,1,a Roman cognomen,2792
148979,L9832782,n,1,"a river of Liguria, now Arosia",2775
148977,L9829820,n,1,"athe mythic founder and king of Thebes, in Boetia, in whose reign a great deluge is said to have occurred",1566
148928,L9717212,n,1,"a city in Macedonia, on the borders of Thrace, celebrated for the battle in which Octavianus and Antony defeated Brutus and Cassius, now Filibi",2775
148943,L9752650,n,1,a city of Boeotia,2775
148950,L9775741,n,1,a people of Ethiopia remarkable for stature,1696
148966,L9809000,n,1,a people of Dalmatia,1696
148947,L9772054,n,1,a city of Numidia on the coast of the Mediterranean,2775
148939,L9743061,n,1,"a river in Sarmatia, now the Dniester",2775
148942,L9751380,n,1,a city that was besieged for 10 years and eventually conquered by a Greek army led by King Agamemnon,2775
148938,L9740027,n,1,a bough cut off from the olive-tree,2876
148964,L9807774,n,1,the divisions of the zodiac,1483
148985,L9847270,n,1,"a son of Theseus and Phaedra, a lover of Phyllis, and one of those who fought before Troy",
148986,L9853183,n,1,"a people in Upper Moesia, the modern Servia",
148988,L9857191,n,1,"table companion, guest",
148990,L9864391,n,1,an orator contemporary with Quintilian,
148993,L9875669,n,1,"a people in Gallia Lugdunensis, near the present Mayenne, in the Department de la Sarthe",
148995,L9882077,n,1,"a daughter of Priam, who married Helicaon, son of the Thracian king, Antenor",
148999,L9888248,n,1,a promontory in Ethiopia,
149000,L9888994,n,1,"son of Saturn, grandfather of Latinus, king of the aborigines, and a prophet",
149006,L9907610,n,1,a Greek proper name,
149014,L9925705,n,1,"daughter of Oceanus, mother of the fourth Minerva",
149019,L9930919,n,1,"daughter of the Thessalian Phlegyas, mother of Aesculapius by Apollo",
149020,L9930987,n,1,"the isle of Naxos, in the Aegean Sea, the largest of the Cyclades, famed for its wines, and for the abandonment there of Ariadne by Theseus",
149024,L9939632,n,1,"a Roman maiden, who, when a hostage to Porsenna, with several companions, swam back to Rome",
149027,L9943288,n,1,"Minerva, of or belonging to Minerva, Minervan",
149033,L9952528,n,1,"a son of Neleus, and king of Pylus, famous among the heroes before Troy for his wisdom and eloquence",
149034,L9952611,n,1,"a lake in Upper Italy, now Lago d'Iseo",
149035,L9956067,n,1,"a king of the Laurentians, who favorably received Aeneas and gave him his daughter Lavinia in marriage",
149037,L9958430,n,1,"the false Philip, Pseudo-Philip",
149038,L9960269,n,1,a Greek sculptor of the school of Phidias,
149039,L9961917,n,1,"son of Menoetius and Sthenele, the friend of Achilles, slain in single combat by Hector",
149002,L9900672,n,1,a people of Mesopotamia,1696
149022,L9932022,n,1,"a village of Euboea, with a temple of Diana",1666
149015,L9926781,n,1,or the name of several towns,2775
149025,L9942818,n,1,"one of the generals and successors of Alexander the Great, the father of Cassander",2798
149016,L9927124,n,1,a region in Phrygia,2775
149011,L9917682,n,1,or a town in Bithynia,2775
149021,L9931993,n,1,"a town in Hispania Baetica, now Estepa",2775
149005,L9906140,n,1,a small island in the Gulf of Argolis,2775
149003,L9901940,n,1,"a town of the tribe of Judah, the birthplace of David and of Christ, now Beit el Lahm",2775
148991,L9867262,n,1,"a town on the north coast of Sicily, now Caronia",2775
149017,L9930039,n,1,"a town in Gallia Narbonensis, afterwards Gratianopolis, now Grenoble",2775
149004,L9903096,n,1,a colonial city of Dalmatia,2775
149030,L9947561,n,1,the mythical and poetical name of the river Po,2775
149012,L9920872,n,1,"a city of Etruria, now Fiesole",2775
149013,L9921644,n,1,"a province of Thrace, adjoining Mount Hoemus",2775
148998,L9886128,n,1,"a city of great antiquity in the centre of Sicily, with a famous temple of Ceres",2775
149009,L9914575,n,1,"a town of Campania, situated on the sea-coast, between Naples and Pompeii, and buried along with the latter city by an eruption of Vesuvius",2775
148997,L9885522,n,1,"a city of Hispania Boetica, upon the right bank of the Boetis, its ruins near Peñaflor",2775
149036,L9956883,n,1,"an island in the Ionian Sea, the kingdom of Ulysses",2775
149008,L9913931,n,1,a river flowing into the Po,2775
149023,L9938797,n,1,a cognomen of the gens Fabia and Porcia,2792
149032,L9952190,n,1,a general of the Achaean League,2798
148989,L9861531,n,1,a Roman cognomen in the gens Cornelia,2792
148996,L9883163,n,1,"a city of the Salentines, in Lower Italy, between Aletium and Tarentum, still called Manduria",2775
149001,L9894627,n,1,"An Eretrian philosopher, a disciple of Plato",1545
148994,L9877814,n,1,"a city in Upper Pannonia, the modern Laybach",2775
148987,L9853500,n,1,"a celebrated maritime city in Campania, a colony of the Cumaeans, called by the early Romans Novapolis, now Napoli, Naples",2775
149040,L9963904,n,1,"a river in the interior of Africa, now the Joliba or Niger",2775
149028,L9943672,n,1,"a Trojan town on the coast of Mysia, now Bourgas",2775
149018,L9930882,n,1,"a town of Latium, the modern La Giostra",2775
149029,L9944548,n,1,"an island in the Aegean Sea, one of the Cyclades",2775
149010,L9915873,n,1,"a town of Samnium, on the frontiers of Campania",2775
149007,L9911433,n,1,"a city of Syria, founded by Semiramis",2775
149026,L9942956,n,1,"a people of Hispania Tarraconensis, on the river Tamaris",2775
