11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
69182,ο00282,ὀϊστοβρόχιον,n,n-s---nn2-,ὀϊστοβροχίου,ὀϊστοβρόχιον,0
69183,ο00283,ὀϊστοδέγμων,n,----------,,ὀϊστοδέγμων,0
69185,ο00285,ὀϊστοδόχος,a,aps---cn2-,ὀϊστοδόχος ὀϊστοδόχος ὀϊστοδόχον,ὀϊστοδόχος,0
69186,ο00286,ὀϊστοθήκη,n,n-s---fn1e,ὀϊστοθήκης,ὀϊστοθήκη,0
69188,ο02624,οἰστός,a,aps---mn1-,οἰστός οἰστή οἰστόν,οἰστός,0
69189,ο00288,ὀϊστός,n,n-s---mn2-,,ὀϊστός,0
69190,ο00289,ὀϊστοῦχος,a,aps---cn2-,ὀϊστοῦχος ὀϊστοῦχος ὀϊστοῦχον,ὀϊστοῦχος,0
69191,ο02625,οἰστράω,v,----------,,οἰστράω,0
69192,ο02626,οἰστρηδόν,r,----------,,οἰστρηδόν,0
69194,ο02628,οἰστρηλασία,n,n-s---fn1l,οἰστρηλασίας,οἰστρηλασία,0
69196,ο02630,οἰστρήλατος,a,aps---cn2-,οἰστρήλατος οἰστρήλατος οἰστρήλατον,οἰστρήλατος,0
69197,ο02631,οἴστρημα,n,n-s---nn3t,οἰστρήματος,οἴστρημα,0
69198,ο02632,οἴστρησις,n,n-s---fn3v,οἰστρησέως,οἴστρησις,0
69199,ο02633,οἰστροβολέω,v,----------,,οἰστροβολέω,0
69200,ο02634,οἰστρογενέτωρ,n,n-s---mn3r,οἰστρογενέτορος,οἰστρογενέτωρ,0
69202,ο02636,οἰστροδόνητος,a,----------,,οἰστροδόνητος,0
69204,ο02638,οἰστρομανία,n,n-s---fn1l,οἰστρομανίας,οἰστρομανία,0
69205,ο02639,οἰστροπλάνεια,n,n-s---fn1s,οἰστροπλάνειας,οἰστροπλάνεια,0
69206,ο02640,οἰστροπλήξ,a,----------,,οἰστροπλήξ,0
69207,ο02641,οἶστρος,n,n-s---mn2-,οἴστρου,οἶστρος,0
69208,ο02642,οἰστροφόρος,a,aps---cn2-,οἰστροφόρος οἰστροφόρος οἰστροφόρον,οἰστροφόρος,0
69209,ο02643,οἰστρώδης,a,aps---cn3s,οἰστρώδης οἰστρώδης οἰστρώ͂δες,οἰστρώδης,0
69210,ο02644,οἰσύα,n,n-s---fn1l,οἰσύας,οἰσύα,0
69211,ο02645,οἰσύϊνος,a,aps---mn1-,οἰσύϊνος οἰσυΐνη οἰσύϊνον,οἰσύϊνος,0
69212,ο02647,οἴσυον,n,n-s---nn2-,οἰσύου,οἴσυον,0
69215,ο02650,οἰσύπειον,n,----------,,οἰσύπειον,0
69216,ο02651,οἰσύπη,n,n-s---fn1s,,οἰσύπη,0
69217,ο02652,οἰσυπηρός,a,aps---mn1-,οἰσυπηρός οἰσυπηρά οἰσυπηρόν,οἰσυπηρός,0
69218,ο02653,οἰσυπίς,n,n-s---fn3d,οἰσυπίδος,οἰσυπίς,0
69219,ο02654,οἰσυπόεις,a,aps---mn4i,οἰσυπόεις οἰσυπόεσσα οἰσυπόεν,οἰσυπόεις,0
69220,ο02655,οἴσυπον,n,n-s---nn2-,οἰσύπου,οἴσυπον,0
69221,ο02656,οἴσυπος,n,n-s---mn2-,οἰσύπου,οἴσυπος,0
69222,ο02657,οἰσυπώδης,a,aps---cn3s,οἰσυπώδης οἰσυπώδης οἰσυπώ͂δες,οἰσυπώδης,0
69223,ο02658,οἴσω,v,----------,,οἴσω,0
69224,,Οἴτη,n,----------,,Οἴτη,0
69225,,Οἰτόλινος,n,n-s---mn2-,Οἰτολίνου,Οἰτόλινος,0
69226,ο02673,οἶτος,n,n-s---mn2-,οἴτου,οἶτος,0
69229,ο02679,οἴφω,v,----------,,οἴφω,0
69230,,Οἰχαλία,n,----------,,Οἰχαλία,0
69231,ο02681,οἰχέομαι,v,----------,,οἰχέομαι,0
69232,ο02682,οἰχητέον,a,----------,,οἰχητέον,0
69233,ο02684,οἰχμᾶν,n,----------,,οἰχμᾶν,0
69236,ο02688,οἴω,v,----------,,οἴω,0
69237,ο00290,ὀί̈ω,v,----------,,ὀί̈ω,0
69238,ο02689,οἰωνίζομαι,v,----------,,οἰωνίζομαι,0
69241,ο02692,οἰωνισμός,n,----------,,οἰωνισμός,0
69242,ο02693,οἰωνιστήριον,n,n-s---nn2-,οἰωνιστηρίου,οἰωνιστήριον,0
69243,ο02694,οἰωνιστής,n,n-s---mn1e,οἰωνιστού,οἰωνιστής,0
69247,ο02698,οἰωνόθροος,a,aps---cn2-,οἰωνόθροος οἰωνόθροος οἰωνόθροον,οἰωνόθροος,0
69248,ο02699,οἰωνοκτόνος,a,aps---cn2-,οἰωνοκτόνος οἰωνοκτόνος οἰωνοκτόνον,οἰωνοκτόνος,0
69249,ο02700,οἰωνομαντεία,n,n-s---fn1l,οἰωνομαντείας,οἰωνομαντεία,0
69250,ο02701,οἰωνομαντικός,a,aps---mn1-,οἰωνομαντικός οἰωνομαντική οἰωνομαντικόν,οἰωνομαντικός,0
69251,ο02702,οἰωνόμαντις,n,n-s---fn3v,οἰωνομαντέως,οἰωνόμαντις,0
69253,ο02704,οἰωνοπολέω,v,----------,,οἰωνοπολέω,0
69254,ο02705,οἰωνοπολία,n,n-s---fn1l,οἰωνοπολίας,οἰωνοπολία,0
69255,ο02706,οἰωνοπόλος,n,n-s---mn2-,οἰωνοπόλου,οἰωνοπόλος,0
69256,ο02707,οἰωνός,n,----------,,οἰωνός,0
69258,ο02709,οἰωνοσκοπέω,v,----------,,οἰωνοσκοπέω,0
69259,ο02710,οἰωνοσκοπητικός,a,aps---mn1-,οἰωνοσκοπητικός οἰωνοσκοπητική οἰωνοσκοπητικόν,οἰωνοσκοπητικός,0
69260,ο02711,οἰωνοσκοπία,n,n-s---fn1l,οἰωνοσκοπίας,οἰωνοσκοπία,0
69262,ο02713,οἰωνόσκοπος,n,n-s---mn2-,οἰωνοσκόπου,οἰωνόσκοπος,0
69263,ο02714,οἰωνοτροφεύς,n,n-s---mn3v,οἰωνοτροφέως,οἰωνοτροφεύς,0
69264,ο00292,ὅκα,n,----------,,ὅκα,0
69265,ο00291,ὄκᾳ,r,----------,,ὄκᾳ,0
69266,ο00293,ὀκέλλω,v,----------,,ὀκέλλω,0
69267,ο00294,ὅκη,n,----------,,ὅκη,0
69268,ο00295,ὀκιμβάζω,v,----------,,ὀκιμβάζω,0
69269,ο00296,ὅκκα,r,----------,,ὅκκα,0
69270,ο00297,ὅκκα,n,----------,,ὅκκα,0
69271,ο00298,ὄκκαβος,n,n-s---mn2-,ὀκκάβου,ὄκκαβος,0
69272,ο00299,ὀκλαδία,n,n-s---fn1l,ὀκλαδίας,ὀκλαδία,0
69273,ο00300,ὀκλαδίας,n,n-s---mn1a,ὀκλαδίου,ὀκλαδίας,0
69274,ο00301,ὀκλαδιστί,r,----------,,ὀκλαδιστί,0
69275,ο00302,ὀκλαδόν,r,----------,,ὀκλαδόν,0
69276,ο00303,ὀκλάζω,v,----------,,ὀκλάζω,0
69277,ο00304,ὀκλάξ,r,----------,,ὀκλάξ,0
69278,ο00305,ὀκλάς,n,n-s---fn3d,ὀκλάδος,ὀκλάς,0
69280,ο00307,ὄκλασμα,n,n-s---nn3t,ὀκλάσματος,ὄκλασμα,0
69281,ο00308,ὀκναλέος,r,----------,,ὀκναλέος,0
69228,ο02677,οἰφεί,n,----------,,οἰφεί,0
69286,ο00313,ὄκνησις,n,n-s---fn3v,ὀκνησέως,ὄκνησις,0
69287,ο00314,ὀκνητέον,v,----------,,ὀκνητέον,0
69288,ο00315,ὄκνος,n,n-s---mn2-,ὄκνου,ὄκνος,0
69290,ο00317,ὁκοδαπός,n,----------,,ὁκοδαπός,0
69291,ο00318,ὀκορνός,n,----------,,ὀκορνός,0
69292,ο00319,ὀκριάζω,v,----------,,ὀκριάζω,0
69293,ο00320,ὀκριάομαι,v,----------,,ὀκριάομαι,0
69294,ο00321,ὀκρίβας,n,n-s---mn3d,ὀκρίβαντος,ὀκρίβας,0
69295,ο00322,ὀκριοειδής,a,aps---cn5s,ὀκριοειδής ὀκριοειδής ὀκριοειδές,ὀκριοειδής,0
69296,ο00323,ὀκριόεις,a,aps---mn4i,ὀκριόεις ὀκριόεσσα ὀκριόεν,ὀκριόεις,0
69297,ο00324,ὄκρις,n,n-s---fn3s,ὄκριος,ὄκρις,0
69298,ο00326,ὀκρυόεις,a,aps---mn4i,ὀκρυόεις ὀκρυόεσσα ὀκρυόεν,ὀκρυόεις,0
69300,ο00328,ὀκταγράμματον,n,----------,,ὀκταγράμματον,0
69303,ο00330,ὀκτάγωνον,n,n-s---nn2-,ὀκταγώνου,ὀκτάγωνον,0
69304,ο00332,ὀκταδακτυλιαῖς,a,aps---cn2-,ὀκταδακτυλιαῖς ὀκταδακτυλιαῖς ὀκτάγωνον,ὀκταδακτυλιαῖς,0
69305,ο00333,ὀκταδάκτυλος,a,aps---cn2-,ὀκταδάκτυλος ὀκταδάκτυλος ὀκταδάκτυλον,ὀκταδάκτυλος,0
69306,ο00334,ὀκτάδιον,n,n-s---nn2-,ὀκταδίου,ὀκτάδιον,0
69307,ο00335,ὀκτάδραχμος,a,aps---cn2-,ὀκτάδραχμος ὀκτάδραχμος ὀκτάδραχμον,ὀκτάδραχμος,0
69308,ο00336,ὀκταεδρικόν,n,----------,,ὀκταεδρικόν,0
69310,ο00338,ὀκτάειδος,a,aps---cn2-,ὀκτάειδος ὀκτάειδος ὀκτάειδον,ὀκτάειδος,0
69311,ο00339,ὀκταετηρίς,n,n-s---fn3d,ὀκταετηρίδος,ὀκταετηρίς,0
69312,ο00340,ὀκταέτης,a,----------,,ὀκταέτης,0
69313,ο00341,ὀκταετία,n,n-s---fn1l,ὀκταετίας,ὀκταετία,0
69316,ο00344,ὀκτακάτιοι,n,----------,,ὀκτακάτιοι,0
69317,ο00345,ὀκτάκερκις,n,----------,,ὀκτάκερκις,0
69318,ο00346,ὀκτάκις,r,----------,,ὀκτάκις,0
69319,ο00347,ὀκτακισμύριοι,n,----------,,ὀκτακισμύριοι,0
69320,ο00348,ὀκτακισχίλιοι,n,----------,,ὀκτακισχίλιοι,0
69322,ο00350,ὀκτάκλινον,n,n-s---nn2-,ὀκτακλίνου,ὀκτάκλινον,0
69323,ο00351,ὀκτάκνημος,a,aps---cn2-,ὀκτάκνημος ὀκτάκνημος ὀκτάκνημον,ὀκτάκνημος,0
69324,ο00352,ὀκτακόσιοι,n,----------,,ὀκτακόσιοι,0
69325,ο00353,ὀκτακοσιοστός,a,aps---mn1-,ὀκτακοσιοστός ὀκτακοσιοστή ὀκτακοσιοστόν,ὀκτακοσιοστός,0
69326,ο00354,ὀκτακότυλος,a,aps---cn2-,ὀκτακότυλος ὀκτακότυλος ὀκτακότυλον,ὀκτακότυλος,0
69327,ο00355,ὀκτάκωλος,a,aps---cn2-,ὀκτάκωλος ὀκτάκωλος ὀκτάκωλον,ὀκτάκωλος,0
69328,ο00356,ὄκταλλος,n,n-s---mn2-,ὀκτάλλου,ὄκταλλος,0
69329,ο00357,ὀκτάλοβος,a,aps---cn2-,ὀκτάλοβος ὀκτάλοβος ὀκτάλοβον,ὀκτάλοβος,0
69330,ο00358,ὀκταλοχία,n,n-s---fn1l,ὀκταλοχίας,ὀκταλοχία,0
69906,ο00920,ὁμαρτέω,v,----------,,ὁμαρτέω,0
69284,ο00311,ὀκνηρία,n,n-s---fn1l,ὀκνηρίας,ὀκνηρία,0
69334,ο00362,ὀκτάμηνος,a,aps---cn2-,ὀκτάμηνος ὀκτάμηνος ὀκτάμηνον,ὀκτάμηνος,0
69335,ο00363,ὀκτάξεστος,a,aps---cn2-,ὀκτάξεστος ὀκτάξεστος ὀκτάξεστον,ὀκτάξεστος,0
69336,ο00364,ὀκταούγκιον,n,n-s---nn2-,ὀκταουγκίου,ὀκταούγκιον,0
69338,ο00366,ὀκτάπεδος,a,aps---cn2-,ὀκτάπεδος ὀκτάπεδος ὀκτάπεδον,ὀκτάπεδος,0
69340,ο00368,ὀκταπλασιάζω,v,----------,,ὀκταπλασιάζω,0
69341,ο00369,ὀκταπλάσιος,a,aps---mn1-,ὀκταπλάσιος ὀκταπλάσια ὀκταπλάσιον,ὀκταπλάσιος,0
69342,ο00370,ὀκτάπλεθρος,a,aps---cn2-,ὀκτάπλεθρος ὀκτάπλεθρος ὀκτάπλεθρον,ὀκτάπλεθρος,0
69343,ο00371,ὀκταπλόος,a,----------,,ὀκταπλόος,0
69344,ο00372,ὀκταπόδης,n,n-s---mn1e,ὀκταπόδου,ὀκταπόδης,0
69345,ο00373,ὀκταπόδιον,n,n-s---nn2-,ὀκταποδίου,ὀκταπόδιον,0
69346,ο00375,ὀκτάπους,a,aps---cn5s,ὀκτάπους ὀκτάπους ὀκτάπουν,ὀκτάπους,0
69347,ο00376,ὀκτάραβδος,a,aps---cn2-,ὀκτάραβδος ὀκτάραβδος ὀκτάραβδον,ὀκτάραβδος,0
69348,ο00377,ὀκτάρουρος,n,n-s---mn2-,ὀκταρούρου,ὀκτάρουρος,0
69350,ο00379,ὀκτάρρυμος,a,aps---cn2-,ὀκτάρρυμος ὀκτάρρυμος ὀκτάρρυμον,ὀκτάρρυμος,0
69351,ο00380,ὀκτάς,n,n-s---fn3d,ὀκτάδος,ὀκτάς,0
69352,ο00381,ὀκτάσημος,a,aps---cn2-,ὀκτάσημος ὀκτάσημος ὀκτάσημον,ὀκτάσημος,0
69353,ο00382,ὀκτασκελής,a,aps---cn5s,ὀκτασκελής ὀκτασκελής ὀκτασκελές,ὀκτασκελής,0
69355,ο00384,ὀκτασσός,a,aps---mn1-,ὀκτασσός ὀκτασσή ὀκτασσόν,ὀκτασσός,0
69356,ο00385,ὀκταστάδιος,a,aps---cn2-,ὀκταστάδιος ὀκταστάδιος ὀκταστάδιον,ὀκταστάδιος,0
69357,ο00386,ὀκτάστυλος,a,aps---cn2-,ὀκτάστυλος ὀκτάστυλος ὀκτάστυλον,ὀκτάστυλος,0
69358,ο00387,ὀκτάσφαιρος,n,----------,,ὀκτάσφαιρος,0
69359,ο00388,ὀκτάτευχος,n,----------,,ὀκτάτευχος,0
69361,ο00390,ὀκτάτονος,a,aps---cn2-,ὀκτάτονος ὀκτάτονος ὀκτάτονον,ὀκτάτονος,0
69362,ο00391,ὀκτάτροπος,n,----------,,ὀκτάτροπος,0
69363,ο00392,ὀκτάτροχος,a,aps---cn2-,ὀκτάτροχος ὀκτάτροχος ὀκτάτροχον,ὀκτάτροχος,0
69364,ο00393,ὀκτάτυπος,n,----------,,ὀκτάτυπος,0
69365,ο00394,ὀκτάφορος,n,----------,,ὀκτάφορος,0
69367,ο00396,ὀκτάχρονος,a,aps---cn2-,ὀκτάχρονος ὀκτάχρονος ὀκτάχρονον,ὀκτάχρονος,0
69368,ο00397,ὀκταχῶς,r,----------,,ὀκταχῶς,0
69369,ο00398,ὀκτήρης,n,----------,,ὀκτήρης,0
69370,ο00399,ὀκτώ,n,,,ὀκτώ,0
69371,ο00400,ὀκτώβιβλος,n,----------,,ὀκτώβιβλος,0
69372,ο00401,ὀκτώβολοι,n,n-p---mn2-,ὀκτωβόλων,ὀκτώβολοι,0
69374,ο00403,ὀκτωετία,n,n-s---fn1l,ὀκτωετίας,ὀκτωετία,0
69332,ο00360,ὀκτάμετρος,a,aps---cn2-,ὀκτάμετρος ὀκτάμετρος ὀκτάμετρον,ὀκτάμετρος,0
69381,ο00412,ὀκτωκαιδεκάπηχυς,a,aps---cn5u,ὀκτωκαιδεκάπηχυς ὀκτωκαιδεκάπηχυς ὀκτωκαιδεκάπηχυ,ὀκτωκαιδεκάπηχυς,0
69383,ο00414,ὀκτωκαιδεκάς,n,n-s---fn3d,ὀκτωκαιδεκάδος,ὀκτωκαιδεκάς,0
69384,ο00415,ὀκτωκαιδεκάσημος,a,aps---cn2-,ὀκτωκαιδεκάσημος ὀκτωκαιδεκάσημος ὀκτωκαιδεκάσημον,ὀκτωκαιδεκάσημος,0
69386,ο00417,ὀκτωκαιδέκατος,a,aps---mn1-,ὀκτωκαιδέκατος ὀκτωκαιδεκάτη ὀκτωκαιδέκατον,ὀκτωκαιδέκατος,0
69388,ο00419,ὀκτωκαιεικοσαπλασίων,a,aps---cn3n,ὀκτωκαιεικοσαπλασίων ὀκτωκαιεικοσαπλασίων ὀκτωκαιεικοσαπλασίον,ὀκτωκαιεικοσαπλασίων,0
69389,ο00420,ὀκτωκαιεικοσίφθογγος,a,aps---cn2-,ὀκτωκαιεικοσίφθογγος ὀκτωκαιεικοσίφθογγος ὀκτωκαιεικοσίφθογγον,ὀκτωκαιεικοσίφθογγος,0
69390,ο00421,ὀκτωκαιεικοστός,a,aps---mn1-,ὀκτωκαιεικοστός ὀκτωκαιεικοστή ὀκτωκαιεικοστόν,ὀκτωκαιεικοστός,0
69391,ο00422,ὀκτωκαιτριακοντάμετρος,a,aps---cn2-,ὀκτωκαιτριακοντάμετρος ὀκτωκαιτριακοντάμετρος ὀκτωκαιτριακοντάμετρον,ὀκτωκαιτριακοντάμετρος,0
69392,ο00423,ὀκτωκαιτριακόντεδρον,n,n-s---nn2-,ὀκτωκαιτριακοντέδρου,ὀκτωκαιτριακόντεδρον,0
69393,ο00424,ὀκτώμηνος,a,aps---cn2-,ὀκτώμηνος ὀκτώμηνος ὀκτώμηνον,ὀκτώμηνος,0
69394,ο00425,ὀκτωπάλαιστος,n,----------,,ὀκτωπάλαιστος,0
69395,ο00426,ὀκτώπηχυς,n,----------,,ὀκτώπηχυς,0
69396,ο00428,ὀκτώπους,a,aps---cn5d,ὀκτώπους ὀκτώπους ὀκτώπουν,ὀκτώπους,0
69398,ο00430,ὀκτώφορος,a,aps---cn2-,ὀκτώφορος ὀκτώφορος ὀκτώφορον,ὀκτώφορος,0
69399,ο00431,ὀκχέω,v,----------,,ὀκχέω,0
69400,ο00432,ὄκχη,n,----------,,ὄκχη,0
69401,ο00433,ὅκως,n,----------,,ὅκως,0
69402,ο00434,ὄκωχα,v,----------,,ὄκωχα,0
69403,ο00404,ὀκτωή,n,n-s---fn1e,ὀκτωῆς,ὀκτωή,0
69404,ο00405,ὀκτώιμος,a,aps---cn2-,ὀκτώιμος ὀκτώιμος ὀκτώιμον,ὀκτώιμος,0
69405,ο00435,ὀλαθεῖ,n,----------,,ὀλαθεῖ,0
69406,ο00437,ὀλατοί,r,----------,,ὀλατοί,0
69408,ο00438,ὁλάω,v,----------,,ὁλάω,0
69409,ο00439,ὀλβάχιον,n,----------,,ὀλβάχιον,0
69410,ο00440,ὀλβήεις,a,aps---mn4i,ὀλβήεις ὀλβήεσσα ὀλβήεν,ὀλβήεις,0
69411,ο00441,ὀλβία,n,n-s---fn1l,ὀλβίας,ὀλβία,0
69412,,Ὄλβια,n,----------,,Ὄλβια,0
69413,ο00442,ὀλβίζω,v,----------,,ὀλβίζω,0
69414,ο00443,ὀλβιόβιος,n,----------,,ὀλβιόβιος,0
69416,ο00445,ὀλβιοδαίμων,n,----------,,ὀλβιοδαίμων,0
69417,ο00446,ὀλβιόδωρος,a,aps---cn2-,ὀλβιόδωρος ὀλβιόδωρος ὀλβιόδωρον,ὀλβιόδωρος,0
69418,ο00447,ὀλβιοδώτης,n,n-s---mn1e,ὀλβιοδώτου,ὀλβιοδώτης,0
69419,ο00448,ὀλβιοεργός,a,aps---cn2-,ὀλβιοεργός ὀλβιοεργός ὀλβιοεργόν,ὀλβιοεργός,0
69420,ο00449,ὀλβιόθυμος,a,aps---cn2-,ὀλβιόθυμος ὀλβιόθυμος ὀλβιόθυμον,ὀλβιόθυμος,0
69378,ο00409,ὀκτωκαιδεκαέτης,a,----------,,ὀκτωκαιδεκαέτης,0
69423,ο00452,ὄλβιος,a,aps---cn2-,ὄλβιος ὄλβιος ὄλβιον,ὄλβιος,0
69424,ο00453,ὀλβιότα,n,----------,,ὀλβιότα,0
69425,ο00454,ὀλβιότυφος,a,aps---cn2-,ὀλβιότυφος ὀλβιότυφος ὀλβιότυφον,ὀλβιότυφος,0
69426,ο00455,ὀλβιόφρων,n,----------,,ὀλβιόφρων,0
69427,ο00456,ὀλβιστήρ,n,n-s---mn3r,ὀλβιστῆρος,ὀλβιστήρ,0
69428,ο00457,ὀλβοδότειρα,n,n-s---fn1s,ὀλβοδότειρας,ὀλβοδότειρα,0
69429,ο00458,ὀλβοδοτήρ,n,n-s---mn3r,ὀλβοδοτῆρος,ὀλβοδοτήρ,0
69432,ο00461,ὀλβοθύλακος,n,n-s---mn2-,ὀλβοθυλάκου,ὀλβοθύλακος,0
69434,ο00463,ὀλβονομέω,v,----------,,ὀλβονομέω,0
69435,ο00464,ὄλβος,n,n-s---mn2-,ὄλβου,ὄλβος,0
69436,ο00465,ὀλβοφόρος,a,aps---cn2-,ὀλβοφόρος ὀλβοφόρος ὀλβοφόρον,ὀλβοφόρος,0
69437,ο00467,ὀλέεσθαι,n,----------,,ὀλέεσθαι,0
69438,ο00468,ὀλεθρεία,n,n-s---fn1l,ὀλεθρείας,ὀλεθρεία,0
69440,ο00470,ὀλεθρεύω,v,----------,,ὀλεθρεύω,0
69441,ο00471,ὀλεθριάω,v,----------,,ὀλεθριάω,0
69442,ο00472,ὀλέθριος,a,aps---cn2-,ὀλέθριος ὀλέθριος ὀλέθριον,ὀλέθριος,0
69443,ο00473,ὄλεθρος,n,n-s---mn2-,ὀλέθρου,ὄλεθρος,0
69444,ο00474,ὀλεθροφόρος,a,aps---cn2-,ὀλεθροφόρος ὀλεθροφόρος ὀλεθροφόρον,ὀλεθροφόρος,0
69445,ο00466,ὀλεῖ,n,----------,,ὀλεῖ,0
69446,,Ὀλεῖαι,n,n-p---fn1l,Ὀλειῶν,Ὀλεῖαι,0
69447,ο00475,ὀλείζων,n,----------,,ὀλείζων,0
69448,ο00476,ὀλέκω,v,----------,,ὀλέκω,0
69449,ο00477,ὀλεμεύς,n,----------,,ὀλεμεύς,0
69450,ο00478,ὄλενον,n,n-s---nn2-,ὀλένου,ὄλενον,0
69452,ο00480,ὀλερός,a,aps---mn1-,ὀλερός ὀλερά ὀλερόν,ὀλερός,0
69453,ο00481,ὀλέσαι,n,----------,,ὀλέσαι,0
69454,ο00482,ὀλεσήνωρ,n,n-s---cn3r,ὀλεσήνορος,ὀλεσήνωρ,0
69455,ο00483,ὀλεσίθηρ,n,----------,,ὀλεσίθηρ,0
69457,ο00485,ὀλεσίοικος,n,----------,,ὀλεσίοικος,0
69458,ο00486,ὀλεσίπτολις,n,----------,,ὀλεσίπτολις,0
69460,ο00488,ὀλέσσαι,n,----------,,ὀλέσσαι,0
69462,ο00490,ὀλετήρ,n,n-s---mn3r,ὀλετῆρος,ὀλετήρ,0
69463,ο00491,ὀλέτης,n,n-s---mn1e,ὀλέτου,ὀλέτης,0
69464,ο00492,ὀλή,n,n-s---fn1e,ὀλῆς,ὀλή,0
69465,ο00493,ὄληαι,n,----------,,ὄληαι,0
69466,ο00494,ὁλήμερος,a,aps---cn2-,ὁλήμερος ὁλήμερος ὁλήμερον,ὁλήμερος,0
69467,ο00495,ὁλημιμναῖον,n,n-s---nn2-,ὁλημιμναίου,ὁλημιμναῖον,0
69468,ο00496,ὀληφόρος,n,----------,,ὀληφόρος,0
69469,ο00497,ὀλιβάζω,v,----------,,ὀλιβάζω,0
69470,ο00498,ὀλιβρός,a,aps---mn1-,ὀλιβρός ὀλιβρά ὀλιβρόν,ὀλιβρός,0
69560,ο00589,ὀλιγόπνους,n,----------,,ὀλιγόπνους,0
69422,ο00451,ὀλβιόπλουτος,a,aps---cn2-,ὀλβιόπλουτος ὀλβιόπλουτος ὀλβιόπλουτον,ὀλβιόπλουτος,0
69473,ο00501,ὀλίγαιμος,a,aps---cn2-,ὀλίγαιμος ὀλίγαιμος ὀλίγαιμον,ὀλίγαιμος,0
69474,ο00502,ὀλιγαιμότης,n,n-s---fn3t,ὀλιγαιμότητος,ὀλιγαιμότης,0
69475,ο00503,ὀλιγάκις,r,----------,,ὀλιγάκις,0
69477,ο00506,ὀλιγαναφορία,n,n-s---fn1l,ὀλιγαναφορίας,ὀλιγαναφορία,0
69479,ο00508,ὀλιγανδρέω,v,----------,,ὀλιγανδρέω,0
69480,ο00509,ὀλιγανδρία,n,n-s---fn1l,ὀλιγανδρίας,ὀλιγανδρία,0
69481,ο00510,ὀλίγανδρος,a,aps---cn2-,ὀλίγανδρος ὀλίγανδρος ὀλίγανδρον,ὀλίγανδρος,0
69482,ο00511,ὀλιγανθρωπέω,v,----------,,ὀλιγανθρωπέω,0
69483,ο00512,ὀλιγανθρωπία,n,n-s---fn1l,ὀλιγανθρωπίας,ὀλιγανθρωπία,0
69485,ο00514,ὀλιγαριστία,n,n-s---fn1l,ὀλιγαριστίας,ὀλιγαριστία,0
69486,ο00515,ὀλιγαρκέω,v,----------,,ὀλιγαρκέω,0
69487,ο00516,ὀλιγαρκής,a,aps---cn5s,ὀλιγαρκής ὀλιγαρκής ὀλιγαρκές,ὀλιγαρκής,0
69488,ο00517,ὀλιγαρκία,n,n-s---fn1l,ὀλιγαρκίας,ὀλιγαρκία,0
69489,ο00518,ὀλιγαρτία,n,n-s---fn1l,ὀλιγαρτίας,ὀλιγαρτία,0
69490,ο00519,ὀλιγαρχέω,v,----------,,ὀλιγαρχέω,0
69491,ο00520,ὀλιγάρχης,n,n-s---mn1e,ὀλιγάρχου,ὀλιγάρχης,0
69494,ο00504,ὀλιγαῦλαξ,n,----------,,ὀλιγαῦλαξ,0
69495,ο00524,ὀλιγαχόθεν,r,----------,,ὀλιγαχόθεν,0
69496,ο00523,ὀλιγαχοῦ,r,----------,,ὀλιγαχοῦ,0
69497,ο00525,ὄλιγγος,n,n-s---mn2-,ὀλίγγου,ὄλιγγος,0
69498,ο00526,ὀλιγεκτέω,v,----------,,ὀλιγεκτέω,0
69499,ο00527,ὀλιγήμερος,a,aps---cn2-,ὀλιγήμερος ὀλιγήμερος ὀλιγήμερον,ὀλιγήμερος,0
69500,ο00528,ὀλιγηπελέων,n,----------,,ὀλιγηπελέων,0
69502,ο00530,ὀλιγηπελία,n,n-s---fn1l,ὀλιγηπελίας,ὀλιγηπελία,0
69503,ο00531,ὀλιγήρης,a,aps---cn3s,ὀλιγήρης ὀλιγήρης ὀλιγή͂ρες,ὀλιγήρης,0
69504,ο00532,ὀλιγήριος,a,aps---cn2-,ὀλιγήριος ὀλιγήριος ὀλιγήριον,ὀλιγήριος,0
69505,ο00533,ὀλιγηροσίη,n,n-s---fn1e,ὀλιγηροσίης,ὀλιγηροσίη,0
69506,ο00534,ὀλιγησίπυος,a,aps---cn2-,ὀλιγησίπυος ὀλιγησίπυος ὀλιγησίπυον,ὀλιγησίπυος,0
69507,ο00535,ὀλιγιστάκις,r,----------,,ὀλιγιστάκις,0
69508,ο00536,ὀλίγιστος,n,----------,,ὀλίγιστος,0
69511,ο00540,ὀλιγόβιος,a,aps---cn2-,ὀλιγόβιος ὀλιγόβιος ὀλιγόβιον,ὀλιγόβιος,0
69513,ο00542,ὀλιγογνώμων,a,aps---cn3n,ὀλιγογνώμων ὀλιγογνώμων ὀλιγογνώμον,ὀλιγογνώμων,0
69514,ο00543,ὀλιγογόνατος,a,aps---cn2-,ὀλιγογόνατος ὀλιγογόνατος ὀλιγογόνατον,ὀλιγογόνατος,0
69515,ο00544,ὀλιγογονία,n,n-s---fn1l,ὀλιγογονίας,ὀλιγογονία,0
69516,ο00545,ὀλιγόγονος,a,aps---cn2-,ὀλιγόγονος ὀλιγόγονος ὀλιγόγονον,ὀλιγόγονος,0
69561,ο00590,ὀλιγοποιέω,v,----------,,ὀλιγοποιέω,0
