40,προγεωργός,n,----------,,,,,,0
92923,σ03689,στόρνυμι,v,----------,,,,,,0
92931,σ03698,στόχασις,n,n-s---fn3v,στοχασέως,,,,,0
92936,σ03703,στοχαστικός,a,aps---mn1-,στοχαστικός στοχαστική στοχαστικόν,,,/sto.kʰas.ti.kós/,,0
92950,σ03720,στραγγαλίζω,v,----------,,,,,,0
92962,σ03732,στραγγός,a,aps---mn2-,στραγγός στραγγή στραγγόν,,,,,0
92967,σ03737,στραγγουριώδης,a,aps---cn3s,στραγγουριώδης στραγγουριώδης στραγγουριώ͂δες,,,,,0
92983,σ03753,στρατεύσιμος,a,aps---cn2-,στρατεύσιμος στρατεύσιμος στρατεύσιμον,,,,,0
92995,σ03765,στρατήγιον,n,n-s---nn2-,στρατηγίου,,,,,0
93002,σ03771,στρατηλάτης,n,n-s---mn1e,στρατηλάτου,,,,,0
93019,σ03786,στρατοπεδαρχικός,a,aps---mn1-,στρατοπεδαρχικός στρατοπεδαρχική στρατοπεδαρχικόν,,,,,0
93031,σ03798,στρατύλλαξ,n,----------,,,,,,0
93037,σ03803,στρεβλοκάρδιος,a,aps---cn2-,στρεβλοκάρδιος στρεβλοκάρδιος στρεβλοκάρδιον,,,,,0
93049,σ03815,στρέπταιγλος,a,aps---mn1-,στρέπταιγλος στρέπταιγλα στρέπταιγλον,,,,,0
93063,σ03829,στρεψαύχην,n,----------,,,,,,0
93069,σ03835,στρεψοδικοπανουργία,n,n-s---fn1l,στρεψοδικοπανουργίας,,,,,0
93081,σ03847,στριφνός,a,aps---mn1-,στριφνός στριφνή στριφνόν,,,,,0
93093,σ03860,στροβιλεών,n,n-s---mn3n,στροβιλεῶνος,,,,,0
93099,σ03866,στροβιλοειδής,a,aps---cn5s,στροβιλοειδής στροβιλοειδής στροβιλοειδές,,,,,0
93117,σ03885,στρογγυλόκαυλος,a,aps---cn2-,στρογγυλόκαυλος στρογγυλόκαυλος στρογγυλόκαυλον,,,,,0
93128,σ03896,στρογγύλωσις,n,n-s---fn3v,στρογγυλωσέως,,,,,0
93134,σ03902,στρομβοειδής,a,aps---cn3s,στρομβοειδής στρομβοειδής στρομβοειδές,,,,,0
93149,σ03918,στρουθοκάμηλος,n,n-s---cn2-,στρουθοκαμήλου,,,,,0
93170,σ03938,στροφικός,a,aps---mn1-,στροφικός στροφική στροφικόν,,,/stro.pʰi.kós/,,0
93181,σ03949,στρόφος,n,n-s---mn2-,στρόφου,,,,,0
93191,σ03958,στρυπτηρία,n,n-s---fn1l,στρυπτηρίας,,,,,0
93199,σ03965,στρωματεύς,n,n-s---mn3v,στρωματέως,,,,,0
93206,σ03972,στρωμνάομαι,v,----------,,,,,,0
93215,σ03980,στρωτός,a,aps---mn1-,στρωτός στρωτή στρωτόν,,,,,0
93223,σ03988,στυγερώπης,a,aps---cn3s,στυγερώπης στυγερώπης στυγερώ͂πες,,,,,0
93234,σ03998,στυγνοποιός,a,aps---cn2-,στυγνοποιός στυγνοποιός στυγνοποιόν,,,,,0
93249,σ04013,στυλοειδής,a,aps---cn5s,στυλοειδής στυλοειδής στυλοειδές,,,,,0
93263,σ04025,στύπος,n,----------,,,,,,0
93275,σ04034,στυπτήριος,a,aps---mn1-,στυπτήριος στυπτήρια στυπτήριον,,,,,0
93286,σ04045,στυτικός,a,aps---mn1-,στυτικός στυτική στυτικόν,,,,,0
93295,σ04054,στυφός,a,aps---mn1-,στυφός στυφή στυφόν,,,,,0
93306,σ04064,στωϊκός,a,aps---mn1-,στωϊκός στωϊκή στωϊκόν,,,,,0
93314,σ04072,στώμυλμα,n,n-s---nn3t,στωμύλματος,,,,,0
93335,,Συβαριτικός,a,aps---mn1-,Συβαριτικός Συβαριτική Συβαριτικόν,,,,,0
93349,σ04101,συγγαλακτοτροφέω,v,----------,,,,,,0
93359,σ04111,συγγένεια,n,n-s---fn1s,συγγένειας,,,,,0
93364,σ04116,συγγενής,a,aps---cn5s,συγγενής συγγενής συγγενές,,,/syŋ.ɡe.nɛ̌ːs/,,0
93381,σ04133,συγγιγνώσκω,v,----------,,,,,,0
93387,σ04139,συγγνωμονικός,a,aps---mn1-,συγγνωμονικός συγγνωμονική συγγνωμονικόν,,,,,0
93397,σ04149,σύγγονος,a,aps---cn2-,σύγγονος σύγγονος σύγγονον,,,,,0
93407,σ04159,συγγραφικός,a,aps---mn1-,συγγραφικός συγγραφική συγγραφικόν,,,,,0
93415,σ04167,συγγυμναστής,n,n-s---mn1e,συγγυμναστού,,,,,0
93424,σ04176,συγκαθαρμόζω,v,----------,,,,,,0
93437,σ04189,συγκαθίημι,v,----------,,,,,,0
93445,σ04197,συγκακοπαθέω,v,----------,,,,,,0
93451,σ04203,συγκαλινδέομαι,v,----------,,,,,,0
93460,σ04212,συγκαμπή,n,n-s---fn1e,συγκαμπῆς,,,,,0
93468,σ04220,συγκαταβαίνω,v,----------,,,,,,0
93474,σ04226,συγκαταγήρασις,n,n-s---fn3v,συγκαταγηρασέως,,,,,0
93481,σ04233,συγκαταγωγή,n,n-s---fn1e,συγκαταγωγῆς,,,,,0
93488,σ04241,συγκαταζεύγνυμι,v,----------,,,,,,0
93493,σ04245,συγκαταθετικός,a,aps---mn1-,συγκαταθετικός συγκαταθετική συγκαταθετικόν,,,/syŋ.ka.ta.tʰe.ti.kós/,,0
93505,σ04257,συγκατακαίνω,v,----------,,,,,,0
93512,σ04264,συγκατακληρονομέομαι,v,----------,,,,,,0
93519,σ04271,συγκατακοσμέω,v,----------,,,,,,0
93524,σ04276,συγκατακυλίνδομαι,v,----------,,,,,,0
93534,σ04286,συγκαταμείγνυμι,v,----------,,,,,,0
93545,σ04297,συγκαταπίμπρημι,v,----------,,,,,,0
93552,σ04304,συγκαταποντόω,v,----------,,,,,,0
93558,σ04310,συγκατάρχω,v,----------,,,,,,0
93563,σ04315,συγκατασκεδάννυμι,v,----------,,,,,,0
93570,σ04322,συγκαταστασιάζω,v,----------,,,,,,0
93576,σ04328,συγκατατάσσω,v,----------,,,,,,0
93584,σ04335,συγκαταφαγεῖν,n,----------,,,,,,0
93645,σ04396,συγκεφαλαιωτέον,n,----------,,,,,,0
93594,σ04345,συγκαταψηφίζομαι,v,----------,,,,,,0
93602,σ04353,συγκατέρχομαι,v,----------,,,,,,0
93608,σ04359,συγκατηγόρησις,n,n-s---fn3v,συγκατηγορησέως,,,,,0
93615,σ04366,συγκατολισθάνω,v,----------,,,,,,0
93625,σ04376,συγκεκομμένως,r,----------,,,,,,0
93633,σ04384,συγκεντρογραφέω,v,----------,,,,,,0
93641,σ04392,συγκερκίζω,v,----------,,,,,,0
93651,σ04402,συγκινδυνευτέον,n,----------,,,,,,0
93656,σ04407,συγκινητικός,a,aps---mn1-,συγκινητικός συγκινητική συγκινητικόν,,,,,0
93671,σ04422,συγκληρία,n,n-s---fn1l,συγκληρίας,,,,,0
93678,σ04429,συγκλητικός,a,aps---mn1-,συγκλητικός συγκλητική συγκλητικόν,,,,,0
93691,σ04441,συγκλυσμός,n,----------,,,,,,0
93698,σ04448,συγκοίμησις,n,n-s---fn3v,συγκοιμησέως,,,,,0
93705,σ04455,συγκοιτάδιος,a,aps---cn2-,συγκοιτάδιος συγκοιτάδιος συγκοιτάδιον,,,,,0
93721,σ04471,συγκομιστέον,n,----------,,,,,,0
93727,σ04477,συγκοπή,n,n-s---fn1e,συγκοπῆς,,,/syŋ.ko.pɛ̌ː/,,0
93734,σ04484,συγκοπώδης,a,aps---cn3s,συγκοπώδης συγκοπώδης συγκοπώ͂δες,,,,,0
93744,σ04494,συγκουφίζω,v,----------,,,,,,0
93759,σ04509,σύγκριμα,n,n-s---nn3t,συγκρίματος,,,,,0
93767,σ04517,συγκριτικός,a,aps---mn1-,συγκριτικός συγκριτική συγκριτικόν,,,,,0
93776,σ04526,σύγκρουσις,n,n-s---fn3v,συγκρουσέως,,,,,0
93785,σ04535,συγκτησείδιον,n,n-s---nn2-,συγκτησειδίου,,,,,0
93796,σ04546,συγκυκλέω,v,----------,,,,,,0
93802,σ04552,συγκυμαίνομαι,v,----------,,,,,,0
93815,σ04565,συγκυρόω,v,----------,,,,,,0
93822,σ04573,σύγκωμος,n,n-s---mn2-,συγκώμου,,,,,0
93832,σ04582,συγχαλεπαίνω,v,----------,,,,,,0
93839,σ04589,συγχειμάζω,v,----------,,,,,,0
93844,σ04594,συγχειρουργέω,v,----------,,,,,,0
93851,σ04602,σύγχορδος,a,aps---cn2-,σύγχορδος σύγχορδος σύγχορδον,,,,,0
93870,σ04621,συγχριστέον,n,----------,,,,,,0
93876,σ04627,συγχρονισμός,n,----------,,,,,,0
93884,σ04634,συγχυλόομαι,v,----------,,,,,,0
93889,σ04639,συγχυτικός,a,aps---mn1-,συγχυτικός συγχυτική συγχυτικόν,,,,,0
93898,σ04648,συγχωρητικός,a,aps---mn1-,συγχωρητικός συγχωρητική συγχωρητικόν,,,,,0
93914,σ04664,συζήτησις,n,n-s---fn3v,συζητησέως,,,,,0
93928,σ04677,συζώννυμι,v,----------,,,,,,0
93937,σ04686,συκαμινεών,n,----------,,,,,,0
93939,σ04688,συκαμινοακάνθινος,a,aps---cn2-,συκαμινοακάνθινος συκαμινοακάνθινος συκαμινοακάνθινον,,,,,0
93960,σ04709,συκόβιος,a,aps---cn2-,συκόβιος συκόβιος συκόβιον,,,,,0
93970,σ04718,συκόπρωκτος,a,aps---cn2-,συκόπρωκτος συκόπρωκτος συκόπρωκτον,,,,,0
93982,σ04730,συκοφαντητός,a,aps---mn1-,συκοφαντητός συκοφαντητή συκοφαντητόν,,,,,0
93988,σ04736,συκοφαντώδης,a,aps---cn3s,συκοφαντώδης συκοφαντώδης συκοφαντώ͂δες,,,,,0
94009,σ04756,σύλη,n,----------,,,,,,0
94015,σ04762,συλλαβή,n,n-s---fn1e,συλλαβῆς,,,/syl.la.bɛ̌ː/,,0
94024,σ04771,συλλάλησις,n,n-s---fn3v,συλλαλησέως,,,,,0
94033,σ04780,σύλλεγμα,n,n-s---nn3t,συλλέγματος,,,,,0
94041,σ04787,σύλλεκτρος,a,aps---cn2-,σύλλεκτρος σύλλεκτρος σύλλεκτρον,,,,,0
94051,σ04797,συλληπτικός,a,aps---mn1-,συλληπτικός συλληπτική συλληπτικόν,,,,,0
94055,σ04822,συλλῃστής,n,n-s---mn1e,συλλῃστού,,,,,0
94056,σ04800,σύλληψις,n,n-s---fn3v,συλληψέως,,,,,0
94078,σ04824,σύλλυσις,n,n-s---fn3v,συλλυσέως,,,/sýl.lyː.sis/,,0
94094,σ04838,σύμβαμα,n,n-s---nn3t,συμβάματος,,,,,0
94101,σ04845,συμβασιλιστής,n,n-s---mn1e,συμβασιλιστού,,,,,0
94110,σ04854,συμβεβαιωτής,n,n-s---mn1e,συμβεβαιωτού,,,,,0
94118,σ04862,συμβιβάζω,v,----------,,,,,,0
94122,σ04866,συμβιβαστικός,a,aps---mn1-,συμβιβαστικός συμβιβαστική συμβιβαστικόν,,,,,0
94146,σ04890,συμβοηθός,a,aps---cn2-,συμβοηθός συμβοηθός συμβοηθόν,,,,,0
94156,σ04900,συμβόλησις,n,n-s---fn3v,συμβολησέως,,,,,0
94163,σ04907,συμβολόκοπος,a,aps---cn2-,συμβολόκοπος συμβολόκοπος συμβολόκοπον,,,,,0
94172,σ04916,συμβουλευτέος,a,aps---mn1-,συμβουλευτέος συμβουλευτέα συμβουλευτέον,,,,,0
94185,σ04929,σύμβρος,n,n-s---mn2-,σύμβρου,,,,,0
94195,σ04939,συμμανθάνω,v,----------,,,,,,0
94200,σ04944,συμμαρτύρομαι,v,----------,,,,,,0
94207,σ04951,συμμαχικός,a,aps---mn1-,συμμαχικός συμμαχική συμμαχικόν,,,/sym.ma.kʰi.kós/,,0
94219,σ04963,σύμμεικτος,n,----------,,,,,,0
94226,σ04969,συμμελής,a,aps---cn5s,συμμελής συμμελής συμμελές,,,,,0
94234,σ04978,συμμεσουρανέω,v,----------,,,,,,0
94240,σ04984,συμμεταδίδωμι,v,----------,,,,,,0
94247,σ04991,συμμεταποιέω,v,----------,,,,,,0
94252,σ04996,συμμετατρέπω,v,----------,,,,,,0
94258,σ05002,συμμετεωροπολέω,v,----------,,,,,,0
94266,σ05010,συμμετρικός,a,aps---mn--,συμμετρικός συμμετρική συμμετρικόν,,,,,0
94276,σ05020,συμμήρυσις,n,n-s---fn3v,συμμηρυσέως,,,,,0
94285,σ05029,σύμμιγμα,n,n-s---nn3t,συμμίγματος,,,,,0
94293,σ05037,συμμιξία,n,n-s---fn1l,συμμιξίας,,,,,0
94304,σ05048,συμμοιράω,v,----------,,,,,,0
94310,σ05054,συμμορία,n,n-s---fn1l,συμμορίας,,,,,0
94316,σ05060,συμμορφίζομαι,v,----------,,,,,,0
94322,σ05066,συμμυολόγος,a,aps---cn2-,συμμυολόγος συμμυολόγος συμμυολόγον,,,,,0
94335,σ05079,συμπαιανίζω,v,----------,,,,,,0
94342,σ05086,συμπαίκτωρ,n,n-s---mn3r,συμπαίκτορος,,,,,0
94350,σ05094,συμπανηγυρίζω,v,----------,,,,,,0
94361,σ05105,συμπαραδίδωμι,v,----------,,,,,,0
94367,σ05111,συμπαρακαλέω,v,----------,,,,,,0
94373,σ05117,συμπαρακομίζω,v,----------,,,,,,0
94377,σ05121,συμπαραληπτικός,a,aps---mn1-,συμπαραληπτικός συμπαραληπτική συμπαραληπτικόν,,,,,0
94390,σ05134,συμπαραπόλλυμι,v,----------,,,,,,0
94396,σ05140,συμπαραστάτης,n,n-s---mn1e,συμπαραστάτου,,,,,0
94404,σ05148,συμπαρατρέφω,v,----------,,,,,,0
94411,σ05155,συμπαρεδρεύω,v,----------,,,,,,0
94417,σ05161,συμπαρενεκτέον,n,----------,,,,,,0
94425,σ05169,συμπαρίστημι,v,----------,,,,,,0
94432,σ05176,συμπαρορμάω,v,----------,,,,,,0
94440,σ05184,συμπατάσσω,v,----------,,,,,,0
94447,σ05191,συμπέδιος,a,aps---cn2-,συμπέδιος συμπέδιος συμπέδιον,,,,,0
94457,σ05201,συμπεπλεγμένως,r,----------,,,,,,0
94476,σ05220,συμπεριαιρετέον,n,----------,,,,,,0
94482,σ05226,συμπεριειλέω,v,----------,,,,,,0
94488,σ05232,συμπεριζώννυμαι,v,----------,,,,,,0
94495,σ05239,συμπεριλαμβάνω,v,v1spia--1-,,,,,,0
94501,σ05245,συμπεριπέτομαι,v,----------,,,,,,0
94509,σ05253,συμπερίπολος,n,n-s---mn2-,συμπεριπόλου,,,,,0
94516,σ05260,συμπεριτρέπω,v,----------,,,,,,0
94520,σ05264,συμπεριφαντάζομαι,v,----------,,,,,,0
94530,σ05274,συμπέτομαι,v,----------,,,,,,0
94536,σ05280,συμπήδημα,n,n-s---nn3t,συμπηδήματος,,,,,0
94545,σ05289,συμπίεσμα,n,n-s---nn3t,συμπιέσματος,,,,,0
94555,σ05299,συμπίπτω,v,----------,,,,/sym.pǐːp.tɔː/,,0
94561,σ05305,σύμπλανος,a,aps---cn2-,σύμπλανος σύμπλανος σύμπλανον,,,,,0
94577,σ05321,σύμπλευρος,a,aps---cn2-,σύμπλευρος σύμπλευρος σύμπλευρον,,,,,0
94589,σ05333,συμπλήρωσις,n,n-s---fn3v,συμπληρωσέως,,,,,0
94595,σ05339,σύμπλοος,a,aps---cn2-,σύμπλοος σύμπλοος σύμπλοον,,σύμπλους σύμπλους σύμπλουν,,,0
94609,σ05353,συμποικίλλομαι,v,----------,,,,,,0
94617,σ05361,συμπολίτης,n,n-s---mn1e,συμπολίτου,,,,,0
94623,σ05367,συμπονηρεύομαι,v,----------,,,,,,0
94635,σ05379,συμποσία,n,n-s---fn1l,συμποσίας,,,,,0
94641,σ05385,συμποσίαρχος,n,n-s---mn2-,συμποσιάρχου,,,,,0
94651,σ05395,συμπρακτικός,a,aps---mn1-,συμπρακτικός συμπρακτική συμπρακτικόν,,,/sym.praːk.ti.kós/,,0
94662,σ05406,συμπρεσβευτής,n,n-s---mn1e,συμπρεσβευτού,,,,,0
94671,σ05415,συμπροβάλλω,v,----------,,,,,,0
94678,σ05422,συμπροέρχομαι,v,----------,,,,,,0
94686,σ05430,συμπρονομεύω,v,----------,,,,,,0
94692,σ05436,συμπροσγίγνομαι,v,----------,,,,,,0
94698,σ05442,συμπροσπίπτω,v,----------,,,,,,0
94705,σ05449,σύμπρουρος,n,----------,,,,,,0
94712,σ05456,συμπρύτανις,n,----------,,,,,,0
94718,σ05462,συμπτυχή,n,n-s---fn1e,συμπτυχῆς,,,,,0
94728,σ05472,συμπυρόω,v,----------,,,,,,0
94734,σ05478,συμφάνεια,n,n-s---fn1s,συμφάνειας,,,,,0
94749,σ05493,σύμφθαρσις,n,n-s---fn3v,συμφθαρσέως,,,,,0
94753,σ05497,σύμφθογγος,a,aps---cn2-,σύμφθογγος σύμφθογγος σύμφθογγον,,,,,0
94765,σ05509,συμφλεγμαίνω,v,----------,,,,,,0
94772,σ05516,συμφοιτητής,n,n-s---mn1e,συμφοιτητού,,,,,0
94782,σ05526,συμφορία,n,n-s---fn1l,συμφορίας,,,,,0
94790,σ05534,συμφρονέω,v,----------,,,,,,0
94798,σ05542,συμφυάς,n,n-s---fn3d,συμφυάδος,,,,,0
94803,σ05547,συμφυής,a,aps---cn5s,συμφυής συμφυής συμφυές,,,,,0
94813,σ05557,συμφύρδην,r,----------,,,,,,0
94821,σ05566,σύμφυτον,n,n-s---nn2-,συμφύτου,,,,,0
94828,σ05573,συμφωνιακός,a,aps---mn1-,συμφωνιακός συμφωνιακή συμφωνιακόν,,,,,0
94840,σ05586,συμψηφίζω,v,----------,,,,,,0
94854,σ05601,συναγανάκτησις,n,n-s---fn3v,συναγανακτησέως,,,,,0
94863,σ05610,συναγελισμός,n,----------,,,,,,0
94871,σ05618,συναγνεύω,v,----------,,,,,,0
94876,σ05623,συναγοραστικὸς,n,----------,,,,,,0
94884,σ05631,συναγρυπνέω,v,----------,,,,,,0
94890,σ05637,συναγχικός,a,aps---mn1-,συναγχικός συναγχική συναγχικόν,,,,,0
94901,σ05648,συναγώνισμα,n,n-s---nn3t,συναγωνίσματος,,,,,0
94917,σ05663,συνάθροισις,n,n-s---fn3v,συναθροισέως,,,,,0
94927,σ05673,συναικλία,n,n-s---fn1l,συναικλίας,,,,,0
94934,σ05680,συναινίττομαι,v,----------,,,,,,0
94939,σ05685,συναιρεσιώτης,n,n-s---mn1e,συναιρεσιώτου,,,,,0
94950,σ05696,συναισχύνω,v,----------,,,,,,0
94956,σ05702,συναιχμάλωτος,n,n-s---mn2-,συναιχμαλώτου,,,,,0
94965,σ05711,συνακόλουθος,a,aps---cn2-,συνακόλουθος συνακόλουθος συνακόλουθον,,,,,0
94978,σ05724,συναλάομαι,v,----------,,,,,,0
94985,σ05731,συναλειπτικός,a,aps---mn1-,συναλειπτικός συναλειπτική συναλειπτικόν,,,,,0
94996,σ05743,συναλίσγομαι,v,----------,,,,,,0
95002,σ05749,συναλλαγματογραφία,n,n-s---fn1l,συναλλαγματογραφίας,,,,,0
95017,σ05764,συναλοιφή,n,----------,,,,,,0
95023,σ05770,συναμάομαι,v,----------,,,,,,0
95029,σ05776,συναμματίζομαι,v,----------,,,,,,0
95037,σ05784,συναναβαίνω,v,----------,,,,,,0
95043,σ05790,συναναγιγνώσκω,v,----------,,,,,,0
95050,σ05797,συναναδείκνυμι,v,----------,,,,,,0
95057,σ05804,συναναζητέω,v,----------,,,,,,0
95063,σ05810,συναναίρεσις,n,n-s---fn3v,συναναιρεσέως,,,,,0
95073,σ05820,συνανακίρνημι,v,----------,,,,,,0
95079,σ05826,συνανακυκλέομαι,v,----------,,,,,,0
95086,σ05833,συναναλογέομαι,v,----------,,,,,,0
95093,σ05840,συνανάμιξις,n,n-s---fn3v,συναναμιξέως,,,,,0
95100,σ05847,συναναπέμπω,v,----------,,,,,,0
95106,σ05853,συναναπληρόω,v,----------,,,,,,0
95113,σ05860,συναναρτάομαι,v,----------,,,,,,0
95125,σ05872,συνανατέλλω,v,----------,,,,,,0
95132,σ05879,συνανατρίβω,v,----------,,,,,,0
95138,σ05885,συναναφορά,n,n-s---fn1l,συναναφορᾶς,,,,,0
95145,σ05892,συναναχρώννυμι,v,----------,,,,,,0
95153,σ05900,συνανείργω,v,----------,,,,,,0
95161,σ05908,συνανθομολογέομαι,v,----------,,,,,,0
95169,σ05916,συνανίσχω,v,----------,,,,,,0
95175,,Συνανουβιασταί,n,n-p---mn2-,Συνανουβιαστῶν,,,,,0
95184,σ05930,συναντίθεσις,n,n-s---fn3v,συναντιθεσέως,,,,,0
95192,σ05938,συνάξιμος,a,aps---cn2-,συνάξιμος συνάξιμος συνάξιμον,,,,,0
95202,σ05948,συναπαιτέω,v,----------,,,,,,0
95210,σ05956,συνάπειμι,v,----------,,,,,,0
95216,σ05962,συναπέρχομαι,v,----------,,,,,,0
95223,σ05969,συναποβάλλω,v,----------,,,,,,0
95229,σ05975,συναπογραπτέον,n,----------,,,,,,0
95241,σ05988,συναποδοκιμάζω,v,----------,,,,,,0
95247,σ05993,συναποθλάω,v,----------,,,,,,0
95253,σ05999,συναποκαθίστημι,v,----------,,,,,,0
95260,σ06006,συναποκλείω,v,----------,,,,,,0
95266,σ06012,συναποκρίνομαι,v,----------,,,,,,0
95273,σ06019,συναπόλαυσις,n,n-s---fn3v,συναπολαυσέως,,,,,0
95281,σ06027,συναπομαλάσσω,v,----------,,,,,,0
95289,σ06035,συναποπέμπω,v,----------,,,,,,0
95301,σ06047,συναποστάζω,v,----------,,,,,,0
95308,σ06054,συναποτείνω,v,----------,,,,,,0
95315,σ06061,συναποτίλλω,v,----------,,,,,,0
95320,σ06066,συναπόφασις,n,n-s---fn3v,συναποφασέως,,,,,0
95330,σ06073,συναπτός,a,aps---cn2e,συναπτός συναπτός συναπτόν,,,,,0
95338,σ06081,συνάρθμιος,a,aps---cn2-,συνάρθμιος συνάρθμιος συνάρθμιον,,,,,0
95346,σ06086,συναρίθμ,a,aps---cn2-,συναρίθμ συναρίθμ συνάρθμιον,,,,,0
95354,σ06090,συναρίθμοξα,n,----------,,,,,,0
95360,σ06103,συναρμοστής,n,n-s---mn1e,συναρμοστού,,,,,0
95368,σ06111,σύναρσις,n,n-s---fn3v,συναρσέως,,,,,0
95375,σ06118,συναρχία,n,n-s---fn1l,συναρχίας,,,,,0
95383,σ06126,συναρωγός,a,aps---cn2-,συναρωγός συναρωγός συναρωγόν,,,,,0
95392,σ06135,συνασπάζομαι,v,----------,,,,,,0
95400,σ06143,συναστράπτω,v,----------,,,,,,0
95413,σ06156,συνατυχέω,v,----------,,,,,,0
95421,σ06164,συναυλία,n,n-s---fn1l,συναυλίας,,,,,0
95428,σ06171,συναυξομειόομαι,v,----------,,,,,,0
95438,σ06181,συναφιδρύομαι,v,----------,,,,,,0
95444,σ06187,συνάχθομαι,v,----------,,,,,,0
95451,σ06194,συνδαίνυμι,v,----------,,,,,,0
95459,σ06202,συνδανείζομαι,v,----------,,,,,,0
95471,σ06215,σύνδειπνος,n,n-s---cn2-,συνδείπνου,,,,,0
95479,σ06223,σύνδεσις,n,n-s---fn3v,συνδεσέως,,,,,0
95483,σ06227,συνδεσμοειδής,a,aps---cn5s,συνδεσμοειδής συνδεσμοειδής συνδεσμοειδές,,,,,0
95499,σ06244,συνδημότης,n,n-s---mn1e,συνδημότου,,,,,0
95506,σ06251,συνδιαβρέχω,v,----------,,,,,,0
95511,σ06256,συνδιαγωγή,n,n-s---fn1e,συνδιαγωγῆς,,,,,0
95521,σ06266,συνδιαίτησις,n,n-s---fn3v,συνδιαιτησέως,,,,,0
95529,σ06274,συνδιακονέω,v,----------,,,,,,0
95536,σ06281,συνδιακυβερνάω,v,----------,,,,,,0
95543,σ06288,συνδιαμάχομαι,v,----------,,,,,,0
95550,σ06295,συνδιαπέτομαι,v,----------,,,,,,0
95557,σ06302,συνδιαπολεμέω,v,----------,,,,,,0
95563,σ06308,συνδιαρκέω,v,----------,,,,,,0
95571,σ06317,συνδιαστρέφω,v,----------,,,,,,0
95574,σ06319,συνδιαταλαιπωρέω,v,----------,,,,,,0
95584,σ06329,συνδιατυπόω,v,----------,,,,,,0
95589,σ06334,συνδιαφθορά,n,n-s---fn1l,συνδιαφθορᾶς,,,,,0
95597,σ06342,συνδίδωμι,v,----------,,,,,,0
95603,σ06348,συνδιέξειμι,v,----------,,,,,,0
95610,σ06355,συνδιίσταμαι,v,----------,,,,,,0
95617,σ06363,συνδιογκόομαι,v,----------,,,,,,0
95627,σ06373,συνδιώκω,v,----------,,,,,,0
95636,σ06383,συνδοτικός,a,aps---mn1-,συνδοτικός συνδοτική συνδοτικόν,,,,,0
95650,σ06398,συνδυαστικός,a,aps---mn1-,συνδυαστικός συνδυαστική συνδυαστικόν,,,,,0
95661,σ06410,συνεγγράφω,v,----------,,,,,,0
95669,σ06418,συνεγκωμιάζω,v,----------,,,,,,0
95677,σ06427,συνέδριον,n,n-s---nn2-,συνεδρίου,,,/sy.né.dri.on/,,0
95686,σ06437,συνεθιστέον,n,----------,,,,,,0
95698,σ06448,συνείλησις,n,n-s---fn3v,συνειλησέως,,,,,0
95710,σ06459,συνεισάγω,v,----------,,,,,,0
95714,σ06463,συνεισβολή,n,n-s---fn1e,συνεισβολῆς,,,,,0
95722,σ06471,συνεισηγέομαι,v,----------,,,,,,0
95729,σ06478,συνεισπλέω,v,----------,,,,,,0
95736,σ06485,συνεισφορά,n,n-s---fn1l,συνεισφορᾶς,,,,,0
95743,σ06492,συνεκβλύζω,v,----------,,,,,,0
95754,σ06503,συνεκδιαφορέομαι,v,----------,,,,,,0
95760,σ06509,συνεκδοχικός,a,aps---mn1-,συνεκδοχικός συνεκδοχική συνεκδοχικόν,,,,,0
95771,σ06520,συνεκκαίδεκα,n,----------,,,,,,0
95778,σ06527,συνεκκλέπτω,v,----------,,,,,,0
95781,σ06530,συνεκκλιτικός,a,aps---mn1-,συνεκκλιτικός συνεκκλιτική συνεκκλιτικόν,,,,,0
95794,σ06543,συνεκλείπω,v,----------,,,,,,0
95802,σ06551,συνεκπέμπω,v,----------,,,,,,0
95808,σ06557,συνεκπιέζω,v,----------,,,,,,0
95814,σ06563,συνεκπληρόω,v,----------,,,,,,0
95822,σ06571,συνεκπορέω,v,----------,,,,,,0
95828,σ06577,συνεκραίνω,v,----------,,,,,,0
95835,σ06584,συνεκταπεινόω,v,----------,,,,,,0
95842,σ06591,συνεκτίθημι,v,----------,,,,,,0
95849,σ06598,συνεκτραχηλίζομαι,v,----------,,,,,,0
95855,σ06604,συνέκτροφος,a,aps---cn2-,συνέκτροφος συνέκτροφος συνέκτροφον,,,,,0
95872,σ06621,συνεκχυμόω,v,----------,,,,,,0
95878,σ06627,συνέλευσις,n,n-s---fn3v,συνελευσέως,,,,,0
95887,σ06636,συνεμβιβάζω,v,----------,,,,,,0
95895,σ06644,συνεμπίπτω,v,----------,,,,,,0
95902,σ06651,συνεμφανίζω,v,----------,,,,,,0
95908,σ06657,συνενδεκατίζω,v,----------,,,,,,0
95915,σ06664,συνενεργέω,v,----------,,,,,,0
95924,σ06673,συνεννοητέον,n,----------,,,,,,0
95933,σ06682,συνεξαιθερόω,v,----------,,,,,,0
95938,σ06687,συνεξακολουθέω,v,----------,,,,,,0
95946,σ06695,συνεξαμαρτάνω,v,----------,,,,,,0
95953,σ06702,συνεξανίστημι,v,----------,,,,,,0
95960,σ06709,συνεξαρκέω,v,----------,,,,,,0
95966,σ06715,συνεξελαύνω,v,----------,,,,,,0
95983,σ06732,συνεξιδρόω,v,----------,,,,,,0
95990,σ06739,συνεξισχύω,v,----------,,,,,,0
95997,σ06746,συνεξολισθαίνω,v,----------,,,,,,0
96004,σ06753,συνεξορμάω,v,----------,,,,,,0
