419,βαρυοδμία,n,n-s---fn1l,βαρυοδμίας,,,,,0
19396,β01446,βουλεκκλησία,n,n-s---fn1l,βουλεκκλησίας,,,,,0
19397,β01448,βούλευμα,n,n-s---nn3t,βουλεύματος,,,,,0
19398,β01449,βουλευμάτιον,n,n-s---nn2-,βουλευματίου,,,,,0
19399,β01450,βουλεύς,n,n-s---mn3v,βουλέως,,,,,0
19400,β01451,βούλευσις,n,n-s---fn3v,βουλευσέως,,,,,0
19401,β01452,βουλευτέον,v,----------,,,,,,0
19404,β01455,βουλευτήριος,a,aps---cn2-,βουλευτήριος βουλευτήριος βουλευτήριον,,,,,0
19405,β01456,βουλευτής,n,n-s---mn1e,βουλευτού,,,,,0
19406,β01457,βουλευτικός,a,aps---mn1-,βουλευτικός βουλευτική βουλευτικόν,,,,,0
19407,β01458,βούλευτις,n,n-s---fn3d,βουλεύτιδος,,,,,0
19408,β01459,βουλευτός,a,aps---mn1-,βουλευτός βουλευτή βουλευτόν,,,,,0
19409,β01460,βουλεύω,v,----------,,,,/boː.leú̯.ɔː/,,0
19410,β01461,βουλεψίη,n,----------,,,,,,0
19411,β01462,βουλή,n,n-s---fn1e,βουλῆς,,,/boː.lɛ̌ː/,,0
19412,β01463,βουληγορέω,v,----------,,,,,,0
19414,β01465,βουληγόρος,n,n-s---mn2-,βουληγόρου,,,,,0
19415,β01466,βουλήεις,a,aps---mn4i,βουλήεις βουλήεσσα βουλήεν,,,,,0
19416,β01467,βούλημα,n,n-s---nn3t,βουλήματος,,,,,0
19417,β01468,βουλημάτιον,n,n-s---nn2-,βουληματίου,,,,,0
19418,β01469,βούλησις,n,n-s---fn3v,βουλησέως,,,,,0
19369,β01420,βουκολιαστής,n,n-s---mn1e,βουκολιαστού,,,,,0
19423,β01474,βουλιμίασις,n,n-s---fn3v,βουλιμιασέως,,,,,0
19424,β01475,βουλιμιάω,v,----------,,,,,,0
19425,β01476,βούλιμος,n,n-s---mn2-,βουλίμου,,,,,0
19426,β01477,βουλιμώδης,a,aps---cn3s,βουλιμώδης βουλιμώδης βουλιμώ͂δες,,,,,0
19427,β01478,βουλιμώττω,v,----------,,,,,,0
19429,β01480,βούλλα,n,n-s---fn1l,βούλλας,,,,,0
19430,β01481,βουλογραφία,n,n-s---fn1l,βουλογραφίας,,,,,0
19431,β01482,βουλοκοπίδης,n,n-s---mn1e,βουλοκοπίδου,,,,,0
19432,β01483,βούλομαι,v,----------,,,,/bǒː.lo.mai̯/,,0
19433,β01484,βουλόμαχος,a,aps---cn2-,βουλόμαχος βουλόμαχος βουλόμαχον,,,,,0
19434,β01485,βουλύσιος,n,----------,,,,,,0
19435,β01486,βούλυσις,n,n-s---fn3v,βουλυσέως,,,,,0
19436,β01487,βουλυτός,n,----------,,,,,,0
19437,β01488,βουμανές,n,----------,,,,,,0
19439,β01490,βουμελία,n,n-s---fn1l,βουμελίας,,,,,0
19440,β01491,βουμέτρης,n,n-s---mn1e,βουμέτρου,,,,,0
19441,β01492,βουμολγός,n,----------,,,,,,0
19442,β01493,βούμυκοι,n,n-p---mn2-,βουμύκων,,,,,0
19443,β01494,βουναία,n,n-s---fn1l,βουναίας,,,,,0
19444,β01495,βουνιάς,n,n-s---fn3d,βουνιάδος,,,/boː.ni.ás/,,0
19445,β01496,βουνίζω,v,----------,,,,,,0
19447,β01216,βοῦνις,n,n-s---fn3d,βούνιδος,,,,,0
19448,β01498,βουνίτης,n,n-s---mn1e,βουνίτου,,,,,0
19450,β01500,βουνοειδής,a,aps---cn5s,βουνοειδής βουνοειδής βουνοειδές,,,,,0
19451,β01501,βουνομέω,v,----------,,,,,,0
19452,β01502,βουνομία,n,n-s---fn1l,βουνομίας,,,,,0
19454,β01504,βουνός,n,n-s---mn2-,βουνοῦ,,,/boː.nós/,,0
19455,β01505,βουνώδης,a,aps---cn3s,βουνώδης βουνώδης βουνώ͂δες,,,,,0
19456,β01506,βούπαις,n,n-s---mn3d,βούπαιδος,,,/bǒː.pai̯s/,,0
19457,β01507,βουπάλινα,n,n-p---nn2-,βουπαλίνων,,,,,0
19458,β01508,βούπαλις,n,----------,,,,,,0
19459,β01509,βουπάμων,a,aps---cn3n,βουπάμων βουπάμων βουπάμον,,,,,0
19460,β01510,βούπεινα,n,n-s---fn1s,βούπεινας,,,,,0
19461,β01511,βουπελάτης,n,n-s---mn1e,βουπελάτου,,,,,0
19463,β01513,βουπλάστης,n,n-s---mn1e,βουπλάστου,,,,,0
19464,β01514,βούπλευρος,n,----------,,,,,,0
19466,β01516,βούπληκτρος,a,aps---cn2-,βούπληκτρος βούπληκτρος βούπληκτρον,,,,,0
19467,β01517,βουπλήξ,n,----------,,,,,,0
19468,β01518,βουποίητος,a,aps---cn2-,βουποίητος βουποίητος βουποίητον,,,,,0
19469,β01519,βουποίμην,n,----------,,,,,,0
19470,β01520,βουπόλος,a,aps---cn2-,βουπόλος βουπόλος βουπόλον,,,,,0
19471,β01521,βουπομπός,a,aps---cn2-,βουπομπός βουπομπός βουπομπόν,,,,,0
19422,β01473,βουλιμία,n,n-s---fn1l,βουλιμίας,,,,,0
19476,β01526,βούπρῳρος,a,aps---cn2-,βούπρῳρος βούπρῳρος βούπρῳρον,,,,,0
19477,β01527,βούπτινον,n,----------,,,,,,0
19478,β01528,βουργάριος,n,n-s---mn2-,βουργαρίου,,,,,0
19479,β01529,βουρδών,n,----------,,,,,,0
19480,β01530,βούρινον,n,n-s---nn2-,βουρίνου,,,,,0
19482,β01532,βούρυγχος,n,n-s---mn2-,βουρύγχου,,,,,0
19483,β01271,βοῦς,n,n-s---mn3-,βοός,,,/bôːs/,,0
19484,β01533,βουσέλινον,n,n-s---nn2-,βουσελίνου,,,,,0
19485,β01534,βουσκαφέω,v,----------,,,,,,0
19486,β01535,βουσόη,n,n-s---fn1e,βουσόης,,,,,0
19487,β01536,βουσόος,n,----------,,,,,,0
19488,β01537,βουσός,n,----------,,,,,,0
19489,β01538,βούσταθμον,n,n-s---nn2-,βουστάθμου,,,,,0
19490,β01539,βουστάς,n,n-s---fn3d,βουστάδος,,,,,0
19492,β01541,βουστάσιον,n,n-s---nn2-,βουστασίου,,,,,0
19493,β01542,βούστασις,n,n-s---fn3v,βουστασέως,,,,,0
19494,β01543,βουστροφηδόν,r,rp--------,βουστροφηδόν,,,/boːs.tro.pʰɛː.dón/,,0
19495,β01544,βούστροφος,a,aps---cn2-,βούστροφος βούστροφος βούστροφον,,,,,0
19496,β01545,βούσυκον,n,n-s---nn2-,βουσύκου,,,,,0
19497,β01546,βουσφαγέω,v,----------,,,,,,0
19498,β01547,βούταλις,n,----------,,,,,,0
19499,β01548,βούτης,n,n-s---mn1e,βούτου,,,,,0
19501,β01317,βοῦτις,n,----------,,,,,,0
19502,β01550,βούτομον,n,n-s---nn2-,βουτόμου,,,,,0
19504,,Βουτράγιος,n,n-s---mn2-,Βουτραγίου,,,,,0
19505,β01552,βούτραγος,n,n-s---mn2-,βουτράγου,,,,,0
19507,β01554,βουτροφία,n,n-s---fn1l,βουτροφίας,,,,,0
19508,β01555,βουτρόφος,a,aps---cn2-,βουτρόφος βουτρόφος βουτρόφον,,,,,0
19509,β01556,βούτρωκτον,n,n-s---nn2-,βουτρώκτου,,,,,0
19510,β01557,βουτύπος,n,n-s---mn2-,βουτύπου,,,,,0
19511,β01558,βουτύρινος,n,----------,,,,,,0
19512,β01559,βούτυρον,n,n-s---nn2-,βουτύρου,,,/bǒː.tyː.ron/,,0
19513,β01561,βουτυροφάγος,n,n-s---mn2-,βουτυροφάγου,,,,,0
19514,β01562,βουφάγος,n,----------,,,,,,0
19515,β01563,βούφθαλμον,n,n-s---nn2-,βουφθάλμου,,,,,0
19516,β01564,βούφθαλμος,n,n-s---mn2-,βουφθάλμου,,,,,0
19517,β01565,βουφονέω,v,----------,,,,,,0
19518,β01566,βουφόνια,n,n-p---nn2-,βουφονίων,,,,,0
19519,β01567,βουφονιών,n,n-s---mn3n,βουφονιῶνος,,,,,0
19521,β01569,βουφορβέω,v,----------,,,,,,0
19523,β01571,βουφορβός,a,aps---cn2-,βουφορβός βουφορβός βουφορβόν,,,,,0
19524,β01572,βούφορτος,a,aps---cn2-,βούφορτος βούφορτος βούφορτον,,,,,0
19525,β01573,βουχανδής,a,aps---cn5s,βουχανδής βουχανδής βουχανδές,,,,,0
19526,β01574,βουχρώς,n,----------,,,,,,0
19474,β01524,βούπρηστις,n,n-s---fn3d,,,,,,0
19529,β01577,βοωνέω,v,----------,,,,,,0
19530,β01578,βοώνης,n,n-s---mn1e,βοώνου,,,,,0
19531,β01579,βοώνητος,a,aps---cn2-,βοώνητος βοώνητος βοώνητον,,,,,0
19532,β01580,βοωνία,n,n-s---fn1l,βοωνίας,,,,,0
19533,β01237,βοῶπις,a,aps---fn--,βοῶπις,,,/bo.ɔ̂ː.pis/,,0
19534,β01581,βοωτέω,v,----------,,,,,,0
19535,β01582,βοώτης,n,n-s---mn1e,βοώτου,,,,,0
19536,β01583,βοωτία,n,n-s---fn1l,βοωτίας,,,,,0
19537,β01584,βόωψ,n,n-s---mn3l,βόωπος,,,,,0
19538,β01585,βρᾷ,n,----------,,,,,,0
19540,β01589,βραβεῖον,n,n-s---nn2-,βραβείου,,,,,0
19541,β01590,βράβευμα,n,n-s---nn3t,βραβεύματος,,,,,0
19542,β01591,βραβεύς,n,n-s---mn3v,βραβέως,,,,,0
19543,β01592,βραβευτής,n,n-s---mn1e,βραβευτού,,,,,0
19544,β01593,βραβεύω,v,----------,,,,,,0
19545,β01594,βραβύλη,n,----------,,,,,,0
19547,β01596,βράβυλος,n,----------,,,,,,0
19548,β01597,βράγος,n,----------,,,,,,0
19549,β01598,βραγχαλέος,a,aps---mn1-,βραγχαλέος βραγχαλέα βραγχαλέον,,,,,0
19550,β01599,βραγχάω,v,----------,,,,,,0
19551,β01600,βραγχεία,n,n-s---fn1l,βραγχείας,,,,,0
19552,β01601,βράγχη,n,n-s---fn1e,βράγχης,,,,,0
19553,β01602,βραγχιάω,v,----------,,,,,,0
19556,β01605,βραγχιώδης,a,aps---cn3s,βραγχιώδης βραγχιώδης βραγχιώ͂δες,,,,,0
19557,β01606,βραγχοειδής,a,aps---cn5s,βραγχοειδής βραγχοειδής βραγχοειδές,,,,,0
19558,β01607,βράγχος,n,n-s---mn2-,βράγχου,,,,,0
19559,β01608,βραγχός,a,aps---mn1-,βραγχός βραγχή βραγχόν,,,,,0
19560,β01609,βραγχώδης,a,aps---cn3s,βραγχώδης βραγχώδης βραγχώ͂δες,,,,,0
19561,β01610,βραδανίζω,v,----------,,,,,,0
19562,β01611,βράδινος,n,----------,,,,,,0
19563,β01751,βρᾴδιον,n,----------,,,,,,0
19564,β01612,βράδος,n,----------,,,,,,0
19566,β01614,βραδυβάμων,n,----------,,,,,,0
19567,β01615,βραδυβουλία,n,n-s---fn1l,βραδυβουλίας,,,,,0
19568,β01616,βραδύγαμος,a,aps---cn2-,βραδύγαμος βραδύγαμος βραδύγαμον,,,,,0
19569,β01617,βραδυγενής,a,aps---cn5s,βραδυγενής βραδυγενής βραδυγενές,,,,,0
19570,β01618,βραδύγλωσσος,a,aps---cn2-,βραδύγλωσσος βραδύγλωσσος βραδύγλωσσον,,,,,0
19571,β01619,βραδυδινής,a,aps---cn5s,βραδυδινής βραδυδινής βραδυδινές,,,,,0
19573,β01621,βραδυθάνατος,a,----------,,,,,,0
19574,β01622,βραδύκαρπος,a,aps---cn2-,βραδύκαρπος βραδύκαρπος βραδύκαρπον,,,,,0
19576,β01624,βραδυκίνητος,a,----------,,,,,,0
19577,β01625,βραδυκρίσιμος,a,----------,,,,,,0
19578,β01626,βραδυλογία,n,n-s---fn1l,βραδυλογίας,,,,,0
19730,β01777,βρεφοτροφέω,v,----------,,,,,,0
19528,β01576,βοών,n,n-s---mn3n,βοῶνος,,,,,0
19582,β01630,βραδύνω,v,----------,,,,,,0
19583,β01631,βραδυπειθής,a,aps---cn5s,βραδυπειθής βραδυπειθής βραδυπειθές,,,,,0
19584,β01632,βραδυπεπτέω,v,----------,,,,,,0
19585,β01633,βραδύπεπτος,a,aps---cn2-,βραδύπεπτος βραδύπεπτος βραδύπεπτον,,,,,0
19586,β01634,βραδυπεψία,n,n-s---fn1l,βραδυπεψίας,,,,,0
19587,β01635,βραδυπλοέω,v,----------,,,,,,0
19589,β01637,βραδυπορέω,v,----------,,,,,,0
19590,β01638,βραδυπόρος,a,aps---cn2-,βραδυπόρος βραδυπόρος βραδυπόρον,,,,,0
19591,β01639,βραδύπους,n,----------,,,,,,0
19592,β01640,βραδύς,a,aps---mn4u,βραδύς βραδεῖα βραδύ,,,/bra.dýs/,,0
19593,β01641,βραδυσιτέω,v,----------,,,,,,0
19594,β01642,βραδυσκελής,a,aps---cn5s,βραδυσκελής βραδυσκελής βραδυσκελές,,,,,0
19595,β01643,βραδυσμός,n,----------,,,,,,0
19597,β01645,βραδυτής,a,aps---fn3-,βραδυτής,,,/bra.dy.tɛ̌ːs/,,0
19598,β01646,βραδυτόκος,a,aps---cn2-,βραδυτόκος βραδυτόκος βραδυτόκον,,,,,0
19599,β01647,βράζω,v,----------,,,,,,0
19600,β01648,βράθυ,n,----------,,,,,,0
19601,β01649,βράκαι,n,----------,,,,,,0
19602,β01650,βράκανα,n,n-p---nn2-,βρακάνων,,,,,0
19603,β01652,βρακεῖν,n,----------,,,,,,0
19604,β01651,βρακέλλαι,n,n-p---fn1l,βρακελλῶν,,,,,0
19605,β01653,βράκετ,n,----------,,,,,,0
19606,β01654,βράκια,n,n-p---nn2-,βρακίων,,,,,0
19608,β01656,βράπτω,v,----------,,,,,,0
19609,β01657,βράσις,a,----------,,,,,,0
19610,β01658,βράσμα,n,n-s---nn3t,βράσματος,,,,,0
19611,β01659,βρασματίας,n,n-s---mn1a,βρασματίου,,,,,0
19612,β01660,βρασμός,n,----------,,,,,,0
19613,β01661,βράσσω,v,----------,,,,,,0
19614,β01662,βράσσων,a,aps---cn2-,βράσσων βράσσων βραδυτόκον,,,,,0
19615,β01663,βραστέον,a,----------,,,,,,0
19616,β01664,βραστήρ,n,n-s---mn3r,βραστῆρος,,,,,0
19618,β01666,βραστικός,a,aps---mn1-,βραστικός βραστική βραστικόν,,,,,0
19619,β01667,βραυκανάομαι,v,----------,,,,,,0
19620,β01668,βραύκη,n,----------,,,,,,0
19621,β01669,βράχεα,n,n-p---nn2-,βραχέων,,,,,0
19622,β01671,βραχεῖν,v,----------,,,,,,0
19623,β01670,βραχείς,n,----------,,,,,,0
19625,β01673,βραχιόνιον,n,n-s---nn2-,βραχιονίου,,,,,0
19626,β01674,βραχιονιστήρ,n,n-s---mn3r,βραχιονιστῆρος,,,,,0
19627,β01676,βραχίων,n,----------,,,,,,0
19628,β01675,βραχίων,n,n-s---mn3n,,,,,,0
19629,β01677,βραχμᾶνες,n,----------,,,,,,0
19630,β01678,βράχος,n,----------,,,,,,0
19631,β01679,βράχος,n,n-s---nn3v,βράχεος,,,,,0
19731,β01778,βρεφόω,v,----------,,,,,,0
19580,β01628,βραδύνοια,n,n-s---fn1s,βραδύνοιας,,,,,0
19635,β01683,βραχυβλαβής,a,aps---cn5s,βραχυβλαβής βραχυβλαβής βραχυβλαβές,,,,,0
19637,β01685,βραχυγνώμων,a,aps---cn3n,βραχυγνώμων βραχυγνώμων βραχυγνώμον,,,,,0
19638,β01686,βραχυγραφέω,v,----------,,,,,,0
19640,β01688,βραχύδρομος,a,aps---cn2-,βραχύδρομος βραχύδρομος βραχύδρομον,,,,,0
19641,β01689,βραχυέπεια,n,n-s---fn1s,βραχυέπειας,,,,,0
19642,β01697,βραχυῆλιξ,a,----------,,,,,,0
19643,β01690,βραχυθάλασσος,n,----------,,,,,,0
19645,β01692,βραχυκέφαλος,n,n-s---mn2-,βραχυκεφάλου,,,,,0
19646,β01693,βραχυκίνητος,n,----------,,,,,,0
19647,β01694,βραχυκομέω,v,----------,,,,,,0
19648,β01695,βραχυκωλία,n,n-s---fn1l,βραχυκωλίας,,,,,0
19649,β01696,βραχύκωλος,a,aps---cn2-,βραχύκωλος βραχύκωλος βραχύκωλον,,,,,0
19650,β01698,βραχυλογέω,v,----------,,,,,,0
19651,β01699,βραχυλογητέον,a,----------,,,,,,0
19652,β01700,βραχυλογία,n,n-s---fn1l,βραχυλογίας,,,,,0
19653,β01701,βραχύλογος,a,aps---cn2-,βραχύλογος βραχύλογος βραχύλογον,,,,,0
19654,β01702,βραχυλός,n,----------,,,,,,0
19656,β01704,βραχύμετρος,a,aps---cn2-,βραχύμετρος βραχύμετρος βραχύμετρον,,,,,0
19657,β01705,βραχυμογής,a,aps---cn5s,βραχυμογής βραχυμογής βραχυμογές,,,,,0
19658,β01706,βραχυμυθία,n,n-s---fn1l,βραχυμυθίας,,,,,0
19659,β01707,βραχύνω,v,----------,,,,,,0
19660,β01708,βραχύνωτος,n,----------,,,,,,0
19662,β01710,βραχυπαραλήκτως,r,----------,,,,,,0
19663,β01711,βραχυπνοέω,v,----------,,,,,,0
19664,β01712,βραχύπνοια,n,n-s---fn1s,βραχύπνοιας,,,,,0
19665,β01713,βραχύπνοος,a,aps---cn2-,βραχύπνοος βραχύπνοος βραχύπνοον,,βραχύπνους βραχύπνους βραχύπνουν,,,0
19666,β01714,βραχυπόρος,a,aps---cn2-,βραχυπόρος βραχυπόρος βραχυπόρον,,,,,0
19667,β01715,βραχυπότης,n,n-s---mn1e,βραχυπότου,,,,,0
19668,β01716,βραχυπότος,a,aps---cn2-,βραχυπότος βραχυπότος βραχυπότον,,,,,0
19670,β01718,βραχύπτολις,n,n-s---fn3v,βραχυπτολέως,,,,,0
19671,β01719,βραχυρρεπής,a,aps---cn5s,βραχυρρεπής βραχυρρεπής βραχυρρεπές,,,,,0
19672,β01720,βραχυρρήμων,a,aps---cn3n,βραχυρρήμων βραχυρρήμων βραχυρρήμον,,,,,0
19673,β01721,βραχυρριζία,n,n-s---fn1l,βραχυρριζίας,,,,,0
19674,β01722,βραχύρριζος,a,aps---cn2-,βραχύρριζος βραχύρριζος βραχύρριζον,,,,,0
19675,β01723,βραχύς,a,aps---mn4u,βραχύς βραχεῖα βραχύ,,,/bra.kʰýs/,,0
19676,β01724,βραχύσημος,a,----------,,,,,,0
19678,β01726,βραχυσκελής,a,aps---cn5s,βραχυσκελής βραχυσκελής βραχυσκελές,,,,,0
19634,β01682,βραχυβιότης,n,n-s---fn3t,βραχυβιότητος,,,,,0
19682,β01730,βραχυστομία,n,n-s---fn1l,βραχυστομίας,,,,,0
19684,β01732,βραχυσυλλαβία,n,n-s---fn1l,βραχυσυλλαβίας,,,,,0
19685,β01733,βραχυσύλλαβος,a,aps---cn2-,βραχυσύλλαβος βραχυσύλλαβος βραχυσύλλαβον,,,,,0
19686,β01734,βραχυσύμβολος,a,aps---cn2-,βραχυσύμβολος βραχυσύμβολος βραχυσύμβολον,,,,,0
19687,β01735,βραχυσώματος,a,aps---cn2-,βραχυσώματος βραχυσώματος βραχυσώματον,,,,,0
19688,β01736,βραχυτελής,a,aps---cn5s,βραχυτελής βραχυτελής βραχυτελές,,,,,0
19689,β01737,βραχύτης,n,n-s---fn3d,βραχύτητος,,,/bra.kʰý.tɛːs/,,0
19690,β01738,βραχυτομέω,v,----------,,,,,,0
19692,β01740,βραχυτονέω,v,----------,,,,,,0
19693,β01741,βραχύτονος,a,aps---cn2-,βραχύτονος βραχύτονος βραχύτονον,,,,,0
19694,β01742,βραχυτράχηλος,n,----------,,,,,,0
19695,β01743,βραχύϋπνος,a,aps---cn2-,βραχύϋπνος βραχύϋπνος βραχύϋπνον,,,,,0
19696,β01744,βραχυφεγγίτης,a,----------,,,,,,0
19697,β01745,βραχύφυλλος,a,aps---cn2-,βραχύφυλλος βραχύφυλλος βραχύφυλλον,,,,,0
19698,β01746,βραχυφωνία,n,n-s---fn1l,βραχυφωνίας,,,,,0
19699,β01747,βραχύχειρ,n,----------,,,,,,0
19701,β01749,βραχύωτος,a,aps---cn2-,βραχύωτος βραχύωτος βραχύωτον,,,,,0
19702,β01752,βρέβιον,n,n-s---nn2-,βρεβίου,,,,,0
19703,β01753,βρέγκος,n,n-s---mn2-,βρέγκου,,,,,0
19704,β01754,βρέγμα,n,n-s---nn3t,βρέγματος,,,,,0
19705,β01755,βρεκάριος,n,----------,,,,,,0
19706,β01756,βρεκεκεκέξ,j,----------,,,,,,0
19707,β01758,βρεκτέον,v,----------,,,,,,0
19708,β01759,βρεκτός,a,aps---mn1-,βρεκτός βρεκτή βρεκτόν,,,,,0
19709,β01760,βρέλλιον,n,n-s---nn2-,βρελλίου,,,,,0
19710,β01761,βρέμω,v,----------,,,,/bré.mɔː/,,0
19711,,Βρέμων,n,----------,,,,,,0
19713,β01763,βρενθινά,n,n-p---nn2-,βρενθινῶν,,,,,0
19714,β01764,βρένθις,n,----------,,,,,,0
19715,β01765,βρένθον,n,n-s---nn2-,βρένθου,,,,,0
19716,β01766,βρένθος,n,n-s---mn2-,βρένθου,,,,,0
19717,β01767,βρενθύομαι,v,----------,,,,,,0
19718,β01768,βρένθυς,n,----------,,,,,,0
19719,β01769,βρέντιον,n,n-s---nn2-,,,,,,0
19720,β01770,βρέξις,n,n-s---fn3v,βρέξεως,,,,,0
19722,β01771,βρέτας,n,----------,,,,,,0
19723,,Βρέττιος,n,n-s---mn2-,,,,/brét.ti.os/,,0
19724,β01757,βρεῦκος,n,----------,,,,,,0
19726,β01773,βρεφόθεν,r,----------,,,,,,0
19727,β01774,βρεφοκομέω,v,----------,,,,,,0
19728,β01775,βρεφοκτόνος,a,aps---cn2-,βρεφοκτόνος βρεφοκτόνος βρεφοκτόνον,,,,,0
19729,β01776,βρέφος,n,n-s---nn3v,βρέφεος,,,/bré.pʰos/,,0
19681,β01729,βραχύστιχος,a,aps---cn2-,βραχύστιχος βραχύστιχος βραχύστιχον,,,,,0
19734,β01781,βρέχμα,n,n-s---nn3t,βρέχματος,,,,,0
19735,β01782,βρεχμός,n,----------,,,,,,0
19736,β01783,βρέχω,v,----------,,,,,,0
19737,β01750,βρῆγμα,n,n-s---nn3t,βρήγματος,,,,,0
19738,,Βρησαγενής,n,----------,,,,,,0
19739,β01784,βρήσσω,v,----------,,,,,,0
19740,β01586,βρῖ,n,----------,,,,,,0
19741,β01786,βρία,n,n-s---fn1l,βρίας,,,,,0
19742,β01787,βριαγχόνη,n,----------,,,,,,0
19743,,Βρίακχος,n,----------,,,,,,0
19744,,Βριάρεως,n,n-s---mn--,,,,/bri.á.re.ɔːs/,,0
19745,β01788,βριαρός,a,----------,,,,,,0
19748,β01791,βριάω,v,----------,,,,,,0
19749,β01792,βρίγκος,n,n-s---mn2-,βρίγκου,,,,,0
19750,β01793,βριγχός,a,aps---cn2-,βριγχός βριγχός βριγχόν,,,,,0
19751,β01794,βριερός,n,----------,,,,,,0
19752,β01795,βρίζα,n,n-s---fn1l,βρίζας,,,,,0
19753,β01796,βρίζω,v,----------,,,,,,0
19754,β01797,βριζώ,n,n-s---fn3c,βριζοῦς,,,,,0
19756,β01785,βρῖθος,n,n-s---nn3v,βρῖθεος,,,,,0
19757,β01799,βριθοσύνη,n,n-s---fn1e,βριθοσύνης,,,,,0
19758,β01800,βριθύκερως,a,----------,,,,,,0
19760,β01802,βριθύς,a,aps---mn4u,βριθύς βριθεῖα βριθύ,,,,,0
19761,β01803,βρίθω,v,----------,,,,,,0
19762,β01804,βρίκελος,n,n-s---mn2-,βρικέλου,,,,,0
19763,β01805,βρικίσματα,n,n-p---nn2-,βρικισμάτων,,,,,0
19764,β01806,βριμάζω,v,----------,,,,,,0
19765,β01807,βριμαίνω,v,----------,,,,,,0
19766,β01808,βριμάομαι,v,----------,,,,,,0
19767,β01809,βρίμη,n,n-s---fn1e,βρίμης,,,,,0
19769,β01811,βριμόομαι,v,----------,,,,,,0
19770,β01812,βριμώ,n,n-s---fn3c,βριμοῦς,,,,,0
19771,β01813,βριμώδης,a,aps---cn3s,βριμώδης βριμώδης βριμώ͂δες,,,,,0
19772,β01814,βρίμωσις,n,n-s---fn3v,βριμωσέως,,,,,0
19774,β01817,βρισαύχην,a,----------,,,,,,0
19775,,Βρισεύς,n,n-s---mn3v,Βρισέως,,,,,0
19776,β01818,βρισόμαχος,a,aps---cn2-,βρισόμαχος βρισόμαχος βρισόμαχον,,,,,0
19777,,Βριτόμαρτις,n,----------,,,,,,0
19778,β01824,βρογχεῖον,n,n-s---nn2-,βρογχείου,,,,,0
19779,β01826,βρογχία,n,n-s---fn1l,βρογχίας,,,,,0
19780,β01825,βρόγχια,n,n-p---nn2-,βρογχίων,,,,,0
19781,β01827,βρογχιάζω,v,----------,,,,,,0
19782,β01828,βρογχοκήλη,n,n-s---fn1e,βρογχοκήλης,,,,,0
19785,β01831,βρόγχος,n,n-s---mn2-,βρόγχου,,,,,0
19786,β01832,βρογχωτήρ,n,n-s---mn3r,βρογχωτῆρος,,,,,0
19787,β01833,βροδοδάκτυλος,a,aps---cn2-,βροδοδάκτυλος βροδοδάκτυλος βροδοδάκτυλον,,,,,0
19788,β01834,βρόδον,n,----------,,,,,,0
19733,β01780,βρεφώδης,a,aps---cn3s,βρεφώδης βρεφώδης βρεφώ͂δες,,,,,0
19791,β01838,βρόκων,n,----------,,,,,,0
19792,β01839,βρομέω,v,----------,,,,,,0
19793,β01840,βρομιάζομαι,v,----------,,,,,,0
19794,β01841,βρομιάς,n,n-s---fn3d,βρομιάδος,,,,,0
19796,β01844,βρόμος,n,----------,,,,,,0
19797,β01843,βρόμος,n,n-s---mn2-,βρόμου,,,,,0
19798,β01845,βρομώδης,n,----------,,,,,,0
19799,β01846,βρονταγωγός,v,----------,,,,,,0
19800,β01847,βροντάζω,v,----------,,,,,,0
19802,β01849,βροντάω,v,v1spia--2a,,,,,,0
19803,β01850,βροντεῖον,n,n-s---nn2-,βροντείου,,,,,0
19804,β01851,βροντή,n,n-s---fn1e,βροντῆς,,,/bron.tɛ̌ː/,,0
19805,β01852,βρόντημα,n,n-s---nn3t,βροντήματος,,,,,0
19806,β01853,βρόντης,n,n-s---mn1e,βρόντου,,,,,0
19808,β01855,βροντήσιος,n,----------,,,,,,0
19809,β01856,βροντητικός,a,----------,,,,,,0
19810,β01857,βροντοκεραυνοπάτωρ,n,----------,,,,,,0
19811,β01858,βροντοποιός,a,aps---cn2-,βροντοποιός βροντοποιός βροντοποιόν,,,,,0
19812,β01859,βροντοσκοπία,n,n-s---fn1l,βροντοσκοπίας,,,,,0
19813,β01860,βροντώδης,a,aps---cn3s,βροντώδης βροντώδης βροντώ͂δες,,,,,0
19814,β01861,βρόξαι,n,----------,,,,,,0
19815,β01863,βρόσσων,n,----------,,,,,,0
19816,β01864,βρόταχος,n,n-s---mn2-,βροτάχου,,,,,0
19817,β01865,βρότειος,a,aps---cn2-,βρότειος βρότειος βρότειον,,aps---mn1-=βρότειος aps---fn1=βρότεια aps---nn1-=βρότειον,,,0
19818,β01866,βροτήσιος,a,aps---mn1-,βροτήσιος βροτήσια βροτήσιον,,,,,0
19819,β01867,βροτοβάμων,n,----------,,,,,,0
19820,β01868,βροτόγηρυς,n,----------,,,,,,0
19821,β01869,βροτοδαίμων,n,----------,,,,,,0
19823,β01871,βροτόεις,a,aps---mn4i,βροτόεις βροτόεσσα βροτόεν,,,,,0
19824,β01872,βροτοκέρτης,n,n-s---mn1e,βροτοκέρτου,,,,,0
19825,β01873,βροτοκλώστειρα,n,n-s---fn1s,βροτοκλώστειρας,,,,,0
19826,β01874,βροτοκτονέω,v,----------,,,,,,0
19828,β01876,βροτολοιγός,a,aps---cn2-,βροτολοιγός βροτολοιγός βροτολοιγόν,,,,,0
19829,β01877,βροτόομαι,v,----------,,,,,,0
19830,β01878,βροτόπους,a,----------,,,,,,0
