ε05807,ἑληθερέω,v,----------,,,,,,0
34278,ε08213,ἐντίθημι,v,----------,,,,/en.tí.tʰɛː.mi/,,0
34279,ε08214,ἐντίκτω,v,----------,,,,,,0
34280,ε08215,ἐντιλάω,v,----------,,,,,,0
34281,ε08216,ἔντιλτος,a,----------,,,,,,0
34282,ε08217,ἐντιμάω,v,----------,,,,,,0
34283,ε08218,ἐντιμόομαι,v,----------,,,,,,0
34285,ε08220,ἐντιμότης,n,n-s---fn3t,ἐντιμότητος,,,,,0
34286,ε08221,ἐντιναγμός,n,----------,,,,,,0
34287,ε08222,ἐντινάσσω,v,----------,,,,,,0
34288,ε08223,ἐντιτός,a,aps---cn2-,ἐντιτός ἐντιτός ἐντιτόν,,,,,0
34289,ε08224,ἐντμήγω,v,----------,,,,,,0
34290,ε08225,ἔντμημα,n,n-s---nn3t,ἐντμήματος,,,,,0
34291,ε08226,ἔντμησις,n,n-s---fn3v,ἐντμησέως,,,,,0
34292,ε08227,ἕντο,n,----------,,,,,,0
34293,ε08229,ἔντοθεν,r,----------,,,,,,0
34296,ε08232,ἐντολεύς,n,n-s---mn3v,ἐντολέως,,,,,0
34297,ε08233,ἐντολή,n,n-s---fn1e,ἐντολῆς,,,/en.to.lɛ̌ː/,,0
34298,ε08234,ἐντολίδιον,n,n-s---nn2-,ἐντολιδίου,,,,,0
34299,ε08235,ἐντολικάριος,n,n-s---mn2-,ἐντολικαρίου,,,,,0
34300,ε08236,ἐντολικός,a,aps---mn1-,ἐντολικός ἐντολική ἐντολικόν,,,,,0
34301,ε08237,ἐντολιμαῖον,n,----------,,,,,,0
34302,ε08238,ἐντόλιος,n,n-s---mn2-,ἐντολίου,,,,,0
34304,ε08240,ἐντομή,n,n-s---fn1e,ἐντομῆς,,,,,0
34305,ε08241,ἐντομίας,n,n-s---mn1a,ἐντομίου,,,,,0
34306,ε08242,ἐντόμιος,a,aps---cn2-,ἐντόμιος ἐντόμιος ἐντόμιον,,,,,0
34307,ε08243,ἐντομίς,n,n-s---fn3d,ἐντομίδος,,,,,0
34308,ε08245,ἔντομος,a,aps---cn2-,ἔντομος ἔντομος ἔντομον,,,/én.to.mos/,,0
34309,ε08246,ἐντονία,n,n-s---fn1l,ἐντονίας,,,,,0
34311,ε08248,ἔντονος,a,aps---cn2-,ἔντονος ἔντονος ἔντονον,,,,,0
34312,ε08249,ἐντοπίζω,v,----------,,,,,,0
34313,ε08250,ἐντόπιος,a,aps---cn2-,ἐντόπιος ἐντόπιος ἐντόπιον,,,,,0
34314,ε08251,ἔντοπος,a,aps---cn2-,ἔντοπος ἔντοπος ἔντοπον,,,,,0
34315,ε08252,ἐντορεύω,v,----------,,,,,,0
34316,ε08253,ἐντορνεύω,v,----------,,,,,,0
34265,ε08200,ἐντευξίδιον,n,n-s---nn2-,ἐντευξιδίου,,,,,0
34320,ε08259,ἐντός,v,----------,,,,,,0
34321,ε08260,ἔντοσθε,r,----------,,,,,,0
34322,ε08262,ἐντοσθίδια,n,n-p---nn2-,ἐντοσθιδίων,,,,,0
34323,ε08263,ἐντόσθιος,a,aps---cn2-,ἐντόσθιος ἐντόσθιος ἐντόσθιον,,,,,0
34324,ε08264,ἐντότερος,a,aps---mn1-,ἐντότερος ἐντότερα ἐντότερον,,,,,0
34325,ε08228,ἐντοῦθα,n,----------,,,,,,0
34326,ε08265,ἐντουρίων,n,n-s---mn3n,ἐντουρίωνος,,,,,0
34327,ε08266,ἐντοφήϊα,n,n-p---nn2-,ἐντοφηΐων,,,,,0
34328,ε08268,ἐντραγεῖν,v,----------,,,,,,0
34331,ε08270,ἐντρανίζω,v,----------,,,,,,0
34332,ε08271,ἐντραπεζίτης,v,----------,,,,,,0
34333,ε08272,ἐντράπελος,a,aps---cn2-,ἐντράπελος ἐντράπελος ἐντράπελον,,,,,0
34334,ε08273,ἔντραχυς,a,----------,,,,,,0
34336,ε08275,ἐντρέπω,v,----------,,,,,,0
34337,ε08276,ἐντρέφω,v,----------,,,,,,0
34338,ε08277,ἐντρέχεια,n,n-s---fn1s,ἐντρέχειας,,,,,0
34339,ε08278,ἐντρεχής,a,aps---cn5s,ἐντρεχής ἐντρεχής ἐντρεχές,,,,,0
34340,ε08279,ἐντρέχω,v,----------,,,,,,0
34341,ε08280,ἐντριβής,a,aps---cn5s,ἐντριβής ἐντριβής ἐντριβές,,,,,0
34342,ε08281,ἐντρίβω,v,----------,,,,,,0
34343,ε08282,ἔντριμμα,n,n-s---nn3t,ἐντρίμματος,,,,,0
34344,ε08283,ἔντριτος,a,aps---cn2-,ἔντριτος ἔντριτος ἔντριτον,,,,,0
34345,ε08284,ἐντριτωνίζω,v,----------,,,,,,0
34346,ε08285,ἔντριχος,a,aps---cn2-,ἔντριχος ἔντριχος ἔντριχον,,,,,0
34347,ε08286,ἐντρίχωμα,n,n-s---nn3t,ἐντριχώματος,,,,,0
34348,ε08287,ἔντριψις,n,n-s---fn3v,ἐντριψέως,,,,,0
34350,ε08289,ἐντροπαλίζομαι,v,----------,,,,,,0
34352,ε08291,ἐντροπή,n,n-s---fn1e,ἐντροπῆς,,,,,0
34353,ε08292,ἐντροπηματικός,a,aps---mn1-,ἐντροπηματικός ἐντροπηματική ἐντροπηματικόν,,,,,0
34354,ε08293,ἐντροπία,n,n-s---fn1l,ἐντροπίας,,,/en.tro.pí.aː/,,0
34355,ε08294,ἐντροπίας,n,----------,,,,,,0
34357,ε08296,ἔντροπον,n,n-s---nn2-,ἐντρόπου,,,,,0
34358,ε08297,ἐντροπόω,v,----------,,,,,,0
34359,ε08298,ἔντροφος,a,aps---cn2-,ἔντροφος ἔντροφος ἔντροφον,,,,,0
34360,ε08299,ἐντροχάζω,v,----------,,,,,,0
34361,ε08300,ἔντροχος,a,aps---cn2-,ἔντροχος ἔντροχος ἔντροχον,,,,,0
34362,ε08301,ἐντρυγάω,v,----------,,,,,,0
34363,ε08302,ἔντρυγος,a,aps---cn2-,ἔντρυγος ἔντρυγος ἔντρυγον,,,,,0
34364,ε08303,ἐντρυλλίζω,v,----------,,,,,,0
34365,ε08304,ἐντρυφάω,v,----------,,,,,,0
34366,ε08305,ἐντρύφημα,n,n-s---nn3t,ἐντρυφήματος,,,,,0
34368,ε08307,ἐντρύχομαι,v,----------,,,,,,0
34369,ε08308,ἐντρώγω,v,----------,,,,,,0
34370,ε08309,ἔντυβον,n,n-s---nn2-,ἐντύβου,,,,,0
34319,ε08256,ἔντος,n,----------,,,,,,0
34373,ε08312,ἐντυλίσσω,v,----------,,,,,,0
34375,ε08314,ἐντυμβεύω,v,----------,,,,,,0
34376,ε08315,ἐντύνω,v,----------,,,,,,0
34377,ε08316,ἐντυπάδεια,n,----------,,,,,,0
34378,ε08317,ἐντυπάζω,v,----------,,,,,,0
34379,ε08318,ἐντυπάς,r,----------,,,,,,0
34380,ε08319,ἐντυπή,n,n-s---fn1e,ἐντυπῆς,,,,,0
34381,ε08320,ἔντυπος,a,aps---cn2-,ἔντυπος ἔντυπος ἔντυπον,,,,,0
34382,ε08321,ἐντυπόω,v,----------,,,,,,0
34383,ε08322,ἐντυπωδῶς,n,----------,,,,,,0
34384,ε08323,ἐντύπωμα,n,n-s---nn3t,ἐντυπώματος,,,,,0
34385,ε08324,ἐντύπωσις,n,n-s---fn3v,ἐντυπωσέως,,,,,0
34386,ε08325,ἐντυραννέομαι,v,----------,,,,,,0
34387,ε08326,ἐντυρεύω,v,----------,,,,,,0
34388,ε08327,ἐντυρίτης,n,n-s---mn1e,ἐντυρίτου,,,,,0
34389,ε08328,ἐντυρόω,v,----------,,,,,,0
34391,ε08330,ἐντύφω,v,----------,,,,,,0
34393,ε08332,ἐντυχία,n,n-s---fn1l,ἐντυχίας,,,,,0
34394,ε08333,ἐντυχικά,n,n-p---nn2-,ἐντυχικῶν,,,,,0
34395,ε08334,ἐντύω,v,----------,,,,,,0
34396,,Ἐνυαλία,n,n-s---fn1l,Ἐνυαλίας,,,,,0
34397,,Ἐνυάλιος,n,n-s---mn2-,Ἐνυαλίου,,,/e.nyː.á.li.os/,,0
34398,ε08335,ἐνυβρίζω,v,----------,,,,,,0
34400,ε08337,ἐνυγραίνω,v,----------,,,,,,0
34401,ε08338,ἐνυγραντέον,a,----------,,,,,,0
34403,ε08340,ἐνυγροθηρευτής,n,n-s---mn1e,ἐνυγροθηρευτού,,,,,0
34405,ε08342,ἔνυγρος,a,aps---cn2-,ἔνυγρος ἔνυγρος ἔνυγρον,,,,,0
34406,ε08343,ἐνυδρίας,a,----------,,,,,,0
34408,ε08345,ἔνυδρις,n,----------,,,,,,0
34409,ε08346,ἐνυδρόβιος,a,aps---cn2-,ἐνυδρόβιος ἐνυδρόβιος ἐνυδρόβιον,,,,,0
34410,ε08347,ἔνυδρος,a,aps---cn2-,ἔνυδρος ἔνυδρος ἔνυδρον,,,,,0
34411,,Ἐνύειον,n,n-s---nn2-,Ἐνυείου,,,,,0
34412,ε08348,ἔνυλος,a,aps---cn2-,ἔνυλος ἔνυλος ἔνυλον,,,,,0
34413,ε08349,ἐνυμενόσπερμος,a,aps---cn2-,ἐνυμενόσπερμος ἐνυμενόσπερμος ἐνυμενόσπερμον,,,,,0
34414,ε08350,ἐνυπάλλαγμα,n,n-s---nn3t,ἐνυπαλλάγματος,,,,,0
34415,ε08351,ἐνυπάρχω,v,----------,,,,,,0
34416,ε08352,ἐνυπνιάζω,v,----------,,,,,,0
34417,ε08353,ἐνυπνιαστής,n,n-s---mn1e,ἐνυπνιαστού,,,,,0
34419,ε08355,ἐνυπνίδιος,a,aps---cn2-,ἐνυπνίδιος ἐνυπνίδιος ἐνυπνίδιον,,,,,0
34420,ε08356,ἐνυπνιοκρίτης,n,n-s---mn1e,ἐνυπνιοκρίτου,,,,,0
34421,ε08357,ἐνυπνιόμαντις,n,n-s---mn3c,ἐνυπνιομάντεως,,,,,0
34422,ε08358,ἐνύπνιον,n,n-s---nn2-,ἐνυπνίου,,,,,0
34423,ε08359,ἐνύπνιος,a,aps---cn2-,ἐνύπνιος ἐνύπνιος ἐνύπνιον,,,,,0
34424,ε08360,ἐνυπνιώδης,a,aps---cn3s,ἐνυπνιώδης ἐνυπνιώδης ἐνυπνιώ͂δες,,,,,0
34372,ε08311,ἐντύλη,n,n-s---fn1e,ἐντύλης,,,,,0
34427,ε08363,ἐνυπογραφή,n,n-s---fn1e,ἐνυπογραφῆς,,,,,0
34429,ε08365,ἐνυποδύομαι,v,----------,,,,,,0
34430,ε08366,ἐνυπόκειμαι,v,----------,,,,,,0
34431,ε08367,ἐνυποκρίνομαι,v,----------,,,,,,0
34432,ε08368,ἐνυπόκριτος,v,----------,,,,,,0
34434,ε08370,ἐνυπόσαπρος,a,aps---cn2-,ἐνυπόσαπρος ἐνυπόσαπρος ἐνυπόσαπρον,,,,,0
34435,ε08371,ἐνυπόστατος,a,aps---cn2-,ἐνυπόστατος ἐνυπόστατος ἐνυπόστατον,,,,,0
34436,ε08372,ἐνυποτάσσω,v,----------,,,,,,0
34437,ε08373,ἐνυπτιάζω,v,----------,,,,,,0
34438,ε08374,ἔνυστρον,n,n-s---nn2-,ἐνύστρου,,,,,0
34439,ε08375,ἐνυφαίνω,v,----------,,,,,,0
34440,ε08376,ἐνυφάντης,n,n-s---mn1e,ἐνυφάντου,,,,,0
34441,ε08377,ἐνυφαντός,a,aps---cn2-,ἐνυφαντός ἐνυφαντός ἐνυφαντόν,,,,,0
34442,ε08378,ἐνύφασμα,n,n-s---nn3t,ἐνυφάσματος,,,,,0
34443,ε08379,ἐνυφίζω,v,----------,,,,,,0
34444,ε08380,ἐνυφίσταμαι,v,----------,,,,,,0
34445,ε08381,ἐνυψόω,v,----------,,,,,,0
34447,ε08382,ἐνφέρνιοι,n,----------,,,,,,0
34448,ε08383,ἐνώδιον,n,n-s---nn2-,ἐνωδίου,,,,,0
34449,ε07298,ἔνῳδος,a,aps---cn2-,ἔνῳδος ἔνῳδος ἔνῳδον,,,,,0
34450,ε08384,ἐνωθέω,v,----------,,,,,,0
34451,ε08385,ἕνωμα,n,n-s---nn3t,ἑνώματος,,,,,0
34452,ε08386,ἑνωμένως,r,----------,,,,,,0
34455,ε08389,ἐνωμοτία,n,n-s---fn1l,ἐνωμοτίας,,,/e.nɔː.mo.tí.aː/,,0
34456,ε08390,ἐνωμοτίς,n,n-s---fn3d,ἐνωμοτίδος,,,,,0
34457,ε08391,ἐνώμοτος,a,aps---cn2-,ἐνώμοτος ἐνώμοτος ἐνώμοτον,,,,,0
34458,ε08392,ἐνωνά,a,----------,,,,,,0
34459,ε08393,ἐνωπαδίς,r,----------,,,,,,0
34460,ε08394,ἐνωπαδίως,r,----------,,,,,,0
34461,ε08395,ἐνωπαδόν,r,----------,,,,,,0
34462,ε08396,ἐνωπή,n,n-s---fn1e,ἐνωπῆς,,,,,0
34463,ε08397,ἐνώπια,n,n-p---nn2-,ἐνωπίων,,,,,0
34464,ε08398,ἐνωπίδες,n,n-p---fn1l,ἐνωπιδῶν,,,,,0
34465,ε08399,ἐνωπιδίως,n,----------,,,,,,0
34467,ε08402,ἐνωραί̈ζομαι,v,----------,,,,,,0
34468,ε08403,ἔνωρος,a,aps---cn2-,ἔνωρος ἔνωρος ἔνωρον,,,,,0
34469,ε08007,ἐνῶρσε,n,----------,,,,,,0
34470,ε08011,ἐνῶσα,n,----------,,,,,,0
34471,ε08404,ἕνωσις,n,n-s---fn3v,ἑνωσέως,,,,,0
34472,ε08405,ἐνωτάριον,n,n-s---nn2-,ἐνωταρίου,,,,,0
34473,ε08406,ἐνωτίδιον,n,n-s---nn2-,ἐνωτιδίου,,,,,0
34474,ε08407,ἐνωτίζομαι,v,----------,,,,,,0
34476,ε08409,ἐνώτιον,n,n-s---nn2-,ἐνωτίου,,,/e.nɔ̌ː.ti.on/,,0
34478,ε08411,ἐνωτοκοίτης,n,n-s---mn1e,ἐνωτοκοίτου,,,,,0
34479,ε08412,ἔνωχρος,a,aps---cn2-,ἔνωχρος ἔνωχρος ἔνωχρον,,,,,0
34426,ε08362,ἐνυπνόω,v,----------,,,,,,0
34482,ε08415,ἑξάβραχυς,a,----------,,,,,,0
34483,ε08416,ἐξαβρύνω,v,----------,,,,,,0
34484,ε08417,ἐξαγανακτέω,v,----------,,,,,,0
34485,ε08418,ἐξαγγελία,n,n-s---fn1l,ἐξαγγελίας,,,,,0
34486,ε08419,ἐξαγγέλλω,v,----------,,,,,,0
34488,ε08421,ἐξάγγελσις,n,n-s---fn3v,ἐξαγγελσέως,,,,,0
34489,ε08422,ἐξαγγελτέον,a,----------,,,,,,0
34490,ε08423,ἐξαγγελτικός,a,aps---mn1-,ἐξαγγελτικός ἐξαγγελτική ἐξαγγελτικόν,,,,,0
34491,ε08424,ἐξάγγελτος,a,aps---cn2-,ἐξάγγελτος ἐξάγγελτος ἐξάγγελτον,,,,,0
34492,ε08425,ἐξαγγίζω,v,----------,,,,,,0
34493,ε08426,ἐξαγιάξω,v,----------,,,,,,0
34494,ε08427,ἐξαγίζω,v,----------,,,,,,0
34495,ε08428,ἐξαγινέω,v,----------,,,,,,0
34496,ε08429,ἐξάγιον,n,n-s---nn2-,ἐξαγίου,,,,,0
34499,ε08432,ἐξαγκυλόω,v,----------,,,,,,0
34500,ε08433,ἐξαγκυρῶσαι,n,----------,,,,,,0
34501,ε08434,ἐξαγκωνίζω,v,----------,,,,,,0
34502,ε08435,ἐξαγμός,n,----------,,,,,,0
34503,ε08436,ἐξάγνυμι,v,----------,,,,,,0
34504,ε08437,ἐξαγοράξω,v,----------,,,,,,0
34506,ε08439,ἐξαγορεία,n,n-s---fn1l,ἐξαγορείας,,,,,0
34507,ε08440,ἐξαγόρευσις,n,n-s---fn3v,ἐξαγορευσέως,,,,,0
34508,ε08441,ἐξαγορευτής,n,n-s---mn1e,ἐξαγορευτού,,,,,0
34510,ε08443,ἐξαγορεύω,v,----------,,,,,,0
34511,ε08444,ἐξαγρέω,v,----------,,,,,,0
34512,ε08445,ἐξαγριαίνω,v,----------,,,,,,0
34513,ε08446,ἐξαγριόω,v,----------,,,,,,0
34514,ε08447,ἐξαγροικίζω,v,----------,,,,,,0
34515,ε08448,ἐξάγω,v,v1spia--1-,,,,,,0
34516,ε08449,ἐξαγωγεύς,n,----------,,,,,,0
34517,ε08450,ἐξαγωγικός,a,aps---mn1-,ἐξαγωγικός ἐξαγωγική ἐξαγωγικόν,,,,,0
34518,ε08451,ἐξαγώγιμος,a,aps---cn2-,ἐξαγώγιμος ἐξαγώγιμος ἐξαγώγιμον,,,,,0
34519,ε08452,ἐξαγώγιον,n,n-s---nn2-,ἐξαγωγίου,,,,,0
34520,ε08453,ἐξαγωγίς,n,n-s---fn3d,ἐξαγωγίδος,,,,,0
34521,ε08454,ἐξαγωγός,n,----------,,,,,,0
34522,ε08455,ἐξαγωνίζομαι,v,----------,,,,,,0
34523,ε08456,ἑξαγωνίζω,v,----------,,,,,,0
34526,ε08459,ἑξάγωνος,a,aps---cn2-,ἑξάγωνος ἑξάγωνος ἑξάγωνον,,,,,0
34527,ε08460,ἑξαδακτυλία,n,n-s---fn1l,ἑξαδακτυλίας,,,,,0
34528,ε08461,ἑξαδακτυλιαῖος,a,aps---mn1-,ἑξαδακτυλιαῖος ἑξαδακτυλιαῖα ἑξαδακτυλιαῖον,,,,,0
34529,ε08462,ἑξαδάκτυλος,a,aps---cn2-,ἑξαδάκτυλος ἑξαδάκτυλος ἑξαδάκτυλον,,,,,0
34530,ε08463,ἑξάδαρχος,n,n-s---mn2-,ἑξαδάρχου,,,,,0
34531,ε08464,ἐξάδελφος,n,n-s---cn2-,ἐξαδέλφου,,,,,0
34532,ε08465,ἐξαδιαφορέω,v,----------,,,,,,0
34480,ε08413,ἕξ,m,----------,,,,,,0
34535,ε08468,ἑξαδραχμία,n,n-s---fn1l,ἑξαδραχμίας,,,,,0
34536,ε08469,ἑξάδραχμον,n,n-s---nn2-,ἑξαδράχμου,,,,,0
34537,ε08470,ἐξαδρόομαι,v,----------,,,,,,0
34538,ε08471,ἐξαδρύνομαι,v,----------,,,,,,0
34539,ε08472,ἐξαδυνατέω,v,----------,,,,,,0
34540,ε08955,ἐξᾴδω,v,----------,,,,,,0
34541,ε08473,ἑξάεδρος,a,aps---cn2-,ἑξάεδρος ἑξάεδρος ἑξάεδρον,,,,,0
34542,ε08474,ἑξάειδος,a,aps---cn2-,ἑξάειδος ἑξάειδος ἑξάειδον,,,,,0
34543,ε08475,ἐξαείρω,v,----------,,,,,,0
34544,ε08476,ἐξαερίζω,v,----------,,,,,,0
34545,ε08477,ἐξαερόω,v,----------,,,,,,0
34546,ε08478,ἐξαέρωσις,n,n-s---fn3v,ἐξαερωσέως,,,,,0
34548,ε08480,ἑξαετής,a,aps---cn3s,ἑξαετής ἑξαετής ἑξαετές,,,,,0
34549,ε08481,ἑξαετία,n,n-s---fn1l,ἑξαετίας,,,,,0
34551,ε08483,ἐξαθέλγω,v,----------,,,,,,0
34552,ε08484,ἐξαθερίζω,v,----------,,,,,,0
34553,ε08485,ἐξαθέρισις,n,n-s---fn3v,ἐξαθερισέως,,,,,0
34554,ε08487,ἔξαθλος,a,aps---cn2-,ἔξαθλος ἔξαθλος ἔξαθλον,,,,,0
34555,ε08488,ἐξαθρέω,v,----------,,,,,,0
34556,ε08489,ἐξαθροίζομαι,v,----------,,,,,,0
34557,ε08490,ἐξαθυμέω,v,----------,,,,,,0
34558,ε08491,ἑξάθυρος,a,aps---cn2-,ἑξάθυρος ἑξάθυρος ἑξάθυρον,,,,,0
34559,ε08492,ἐξαιάζω,v,----------,,,,,,0
34560,ε08493,ἐξαιγειρόομαι,v,----------,,,,,,0
34562,ε08495,ἐξαιθερόω,v,----------,,,,,,0
34563,ε08496,ἐξαιθραπεύω,v,----------,,,,,,0
34564,ε08497,ἐξαιθριάζω,v,----------,,,,,,0
34565,ε08498,ἐξαιμάσσω,v,----------,,,,,,0
34566,ε08499,ἐξαιματίζω,v,----------,,,,,,0
34567,ε08500,ἐξαιματόω,v,----------,,,,,,0
34570,ε08503,ἔξαιμος,a,aps---cn2-,ἔξαιμος ἔξαιμος ἔξαιμον,,,,,0
34571,ε08504,ἐξαίμων,a,aps---cn3n,ἐξαίμων ἐξαίμων ἐξαίμον,,,,,0
34572,ε08505,ἐξαίνυμαι,v,----------,,,,,,0
34573,ε08506,ἐξαιονάω,v,----------,,,,,,0
34574,ε08507,ἑξάϊππος,a,aps---cn2-,ἑξάϊππος ἑξάϊππος ἑξάϊππον,,,,,0
34575,ε08508,ἐξαιρέσιμος,a,aps---cn2-,ἐξαιρέσιμος ἐξαιρέσιμος ἐξαιρέσιμον,,,,,0
34576,ε08509,ἐξαίρεσις,n,n-s---fn3v,ἐξαιρεσέως,,,,,0
34577,ε08510,ἐξαιρετέος,a,aps---mn1-,ἐξαιρετέος ἐξαιρετέα ἐξαιρετέον,,,,,0
34578,ε08511,ἐξαιρέτης,n,----------,,,,,,0
34580,ε08513,ἐξαιρέω,v,----------,,,,,,0
34581,ε08514,ἐξαίρημα,n,n-s---nn3t,ἐξαιρήματος,,,,,0
34582,ε08516,ἐξαιρῖτις,n,n-s---fn3d,ἐξαιρίτιδος,,,,,0
34583,ε08515,ἐξαιρόομαι,v,----------,,,,,,0
34584,ε08517,ἐξαίρω,v,----------,,,,,,0
34534,ε08467,ἑξαδικός,a,aps---mn1-,ἑξαδικός ἑξαδική ἑξαδικόν,,,,,0
34588,ε08521,ἐξαϊστόω,v,----------,,,,,,0
34590,ε08523,ἐξαιτέω,v,----------,,,,,,0
34591,ε08524,ἐξαίτησις,n,n-s---fn3v,ἐξαιτησέως,,,,,0
34592,ε08525,ἐξαιτητέον,a,----------,,,,,,0
34593,ε08526,ἐξαιτιολογέω,v,----------,,,,,,0
34594,ε08527,ἔξαιτος,a,aps---cn2-,ἔξαιτος ἔξαιτος ἔξαιτον,,,,,0
34595,ε08528,ἐξαιτραπεύω,v,----------,,,,,,0
34596,ε08529,ἐξαιτράπης,n,n-s---mn1e,ἐξαιτράπου,,,,,0
34597,ε08530,ἐξαίφνης,r,----------,,,,,,0
34599,ε08532,ἐξαιχμαλωτεύω,v,----------,,,,,,0
34600,ε08533,ἐξαί̈ω,v,----------,,,,,,0
34601,ε08534,ἐξαιωρέομαι,v,----------,,,,,,0
34602,ε08535,ἐξακανθίζω,v,----------,,,,,,0
34603,ε08536,ἐξακανθόομαι,v,----------,,,,,,0
34604,ϝ00003,ϝεξακάτιοι,n,----------,,,,,,0
34605,ε08537,ἐξακέομαι,v,----------,,,,,,0
34606,ε08538,ἐξάκεσις,n,n-s---fn3v,ἐξακεσέως,,,,,0
34607,ε08539,ἐξακεστήριος,a,aps---mn1-,ἐξακεστήριος ἐξακεστήρια ἐξακεστήριον,,,,,0
34608,ε08540,ἑξάκις,r,rp--------,,,,/hek.sá.kis/,,0
34609,ε08541,ἑξακισμύριοι,n,----------,,,,,,0
34611,ε08543,ἑξακισχίλιοι,n,----------,,,,,,0
34613,ε08545,ἐξακμάζω,v,----------,,,,,,0
34614,ε08546,ἐξάκνμος,a,aps---cn2-,ἐξάκνμος ἐξάκνμος ἐξάκνμον,,,,,0
34615,ε08547,ἐξακολουθέω,v,----------,,,,,,0
34616,ε08548,ἐξακονάω,v,----------,,,,,,0
34617,ε08549,ἑξακονταμοιρία,n,n-s---fn1l,ἑξακονταμοιρίας,,,/hek.sa.kon.ta.moi̯.rí.aː/,,0
34618,ε08550,ἐξακοντίζω,v,----------,,,,,,0
34619,ε08551,ἐξακόντισις,n,n-s---fn3v,ἐξακοντισέως,,,,,0
34620,ε08552,ἐξακόντισμα,n,n-s---nn3t,ἐξακοντίσματος,,,,,0
34621,ε08553,ἐξακοντισμός,n,----------,,,,,,0
34623,ε08555,ἑξακόσιοι,n,----------,,,,,,0
34624,ε08556,ἑξακοσιοστός,a,aps---mn1-,ἑξακοσιοστός ἑξακοσιοστή ἑξακοσιοστόν,,,,,0
34625,ε08557,ἑξακοτυλιαῖος,a,aps---mn1-,ἑξακοτυλιαῖος ἑξακοτυλιαῖα ἑξακοτυλιαῖον,,,,,0
34626,ε08558,ἐξακουστέον,a,----------,,,,,,0
34627,ε08559,ἐξάκουστος,a,aps---cn2-,ἐξάκουστος ἐξάκουστος ἐξάκουστον,,,,,0
34628,ε08560,ἐξακούω,v,----------,,,,,,0
34629,ε08561,ἐξακριβάζω,v,----------,,,,,,0
34631,ε08563,ἐξακριβόω,v,----------,,,,,,0
34632,ε08564,ἐξακρίβωσις,n,n-s---fn3v,ἐξακριβωσέως,,,,,0
34633,ε08565,ἐξακρίζω,v,----------,,,,,,0
34634,ε08566,ἔξακρος,n,----------,,,,,,0
34635,ε08567,ἐξακτέον,v,----------,,,,,,0
34636,ε08568,ἐξακτέω,v,----------,,,,,,0
34637,ε08569,ἐξάκτης,n,n-s---mn1e,ἐξάκτου,,,,,0
34587,ε08520,ἐξαί̈σσω,v,----------,,,,,,0
34641,ε08573,ἐξαλάομαι,v,----------,,,,,,0
34642,ε08574,ἐξαλαόω,v,----------,,,,,,0
34643,ε08575,ἐξαλαπάζω,v,----------,,,,,,0
34644,ε08576,ἐξαλαπίζω,v,----------,,,,,,0
34645,ε08577,ἐξαλγέω,v,----------,,,,,,0
34647,ε08579,ἐξαλειπτέον,v,----------,,,,,,0
34648,ε08580,ἐξαλείπτης,n,n-s---mn1e,ἐξαλείπτου,,,,,0
34650,ε08582,ἐξάλειπτρον,n,n-s---nn2-,ἐξαλείπτρου,,,,,0
34651,ε08583,ἐξαλείφω,v,----------,,,,,,0
34652,ε08584,ἐξάλειψις,n,n-s---fn3v,ἐξαλειψέως,,,,,0
34653,ε08585,ἐξαλέομαι,v,----------,,,,,,0
34654,ε08586,ἐξαλεύομαι,v,----------,,,,,,0
34655,ε08587,ἐξαληθίζομαι,v,----------,,,,,,0
34656,ε08588,ἐξαλίζω,v,----------,,,,,,0
34657,ε08589,ἐξαλίνδω,v,----------,,,,,,0
34658,ε08590,ἐξαλίπτης,n,----------,,,,,,0
34659,ε08591,ἐξαλίστρα,n,n-s---fn1l,ἐξαλίστρας,,,,,0
34660,ε08592,ἐξαλλαγή,n,n-s---fn1e,ἐξαλλαγῆς,,,,,0
34662,ε08594,ἐξαλλακτέον,n,----------,,,,,,0
34663,ε08595,ἐξαλλάκτης,n,n-s---mn1e,ἐξαλλάκτου,,,,,0
34665,ε08597,ἐξαλλάσσω,v,----------,,,,,,0
34666,ε08598,ἐξαλλοιόω,v,----------,,,,,,0
34667,ε08599,ἐξαλλοίωσις,n,n-s---fn3v,ἐξαλλοιωσέως,,,,,0
34668,ε08600,ἐξάλλομαι,v,----------,,,,,,0
34669,ε08601,ἔξαλλος,a,aps---cn2-,ἔξαλλος ἔξαλλος ἔξαλλον,,,,,0
34670,ε08602,ἐξαλλοτριόω,v,----------,,,,,,0
34672,ε08604,ἔξαλμα,n,n-s---nn3t,ἐξάλματος,,,,,0
34673,ε08605,ἐξαλμίζω,v,----------,,,,,,0
34674,ε08606,ἐξαλμός,n,----------,,,,,,0
34675,ε08607,ἐξαλμυρόομαι,v,----------,,,,,,0
34677,ε08609,ἐξαλογόομαι,v,----------,,,,,,0
34678,ε08610,ἔξαλος,a,aps---cn2-,ἔξαλος ἔξαλος ἔξαλον,,,,,0
34679,ε08611,ἔξαλσις,n,n-s---fn3v,ἐξαλσέως,,,,,0
34680,ε08612,ἐξάλυξις,n,n-s---fn3v,ἐξαλυξέως,,,,,0
34681,ε08613,ἐξαλύσκω,v,----------,,,,,,0
34682,ε08614,ἐξαλύω,v,----------,,,,,,0
34683,ε08615,ἐξαμαρτάνω,v,----------,,,,,,0
