,ἐπιτετραμερής,a,aps---cn5s,ἐπιτετραμερής ἐπιτετραμερής ἐπιτετραμερές,,,,,0
40487,ε14363,ἐρράπτω,v,----------,,,,,,0
40488,ε14364,ἔρρειθρος,a,aps---cn2-,ἔρρειθρος ἔρρειθρος ἔρρειθρον,,,,,0
40489,ε14365,ἐρρεντί,r,----------,,,,,,0
40490,ε14366,ἐρρηγεῖα,n,----------,,,,,,0
40491,ε14367,ἐρρήεις,n,----------,,,,,,0
40492,ε14369,ἐρρήθην,n,----------,,,,,,0
40494,ε14371,ἐρρηφορέω,v,----------,,,,,,0
40495,ε14372,ἐρρηφόρος,n,----------,,,,,,0
40496,ε14373,ἔρριγα,n,----------,,,,,,0
40497,ε14374,ἔρρινον,n,n-s---nn2-,ἐρρίνου,,,/ˈɛr̥.r̥i.non/,,0
40498,ε14375,ἔρριψις,n,n-s---fn3v,ἐρριψέως,,,,,0
40499,ε14376,ἔρρους,n,----------,,,,,,0
40500,ε14378,ἐρρυθμισμένως,r,----------,,,,,,0
40501,ε14379,ἔρρυθμος,a,aps---cn2-,ἔρρυθμος ἔρρυθμος ἔρρυθμον,,,,,0
40502,ε14380,ἔρρυσος,a,aps---cn2-,ἔρρυσος ἔρρυσος ἔρρυσον,,,,,0
40503,ε14381,ἔρρω,v,----------,,,,,,0
40504,ε14382,ἔρρω,n,----------,,,,,,0
40505,ε14383,ἔρρωγα,n,----------,,,,,,0
40507,ε14368,ἐρρηέστερον,r,----------,,,,,,0
40508,ε14385,ἐρρώμην,n,----------,,,,,,0
40509,ε14386,ἐρρώοντο,n,----------,,,,,,0
40511,ε14388,ἐρσαῖος,a,aps---mn1-,ἐρσαῖος ἐρσαῖα ἐρσαῖον,,,,,0
40512,ε14389,ἐρσενικός,a,aps---mn1-,ἐρσενικός ἐρσενική ἐρσενικόν,,,,,0
40457,,Ἑρπετοσῖται,n,----------,,,,,,0
40516,ε14393,ἐρσηφορία,n,----------,,,,,,0
40517,ε14394,ἔρσις,n,n-s---fn3v,ἔρσεως,,,,,0
40518,,Ἕρσος,n,n-s---mn2-,Ἕρσου,,,,,0
40519,ε14395,ἐρσοφόρος,n,----------,,,,,,0
40520,ε14396,ἔρσω,v,----------,,,,,,0
40521,ε14397,ἐρσώδης,a,aps---cn3s,ἐρσώδης ἐρσώδης ἐρσώ͂δες,,,,,0
40522,ε14398,ἐρτός,a,aps---mn1-,ἐρτός ἐρτή ἐρτόν,,,,,0
40523,ε14399,ἐρυγάζομαι,v,----------,,,,,,0
40524,ε14400,ἐρυγάω,v,----------,,,,,,0
40526,ε14402,ἐρυγή,n,n-s---fn1e,ἐρυγῆς,,,,,0
40527,ε14403,ἐρυγήτωρ,n,n-s---mn3r,ἐρυγήτορος,,,,,0
40528,ε14404,ἔρυγμα,n,n-s---nn3t,ἐρύγματος,,,,,0
40529,ε14405,ἐρυγμαίνω,v,----------,,,,,,0
40532,ε14408,ἐρυγμός,n,----------,,,,,,0
40533,ε14409,ἐρυθαίνω,v,----------,,,,,,0
40534,ε14410,ἐρύθημα,n,n-s---nn3t,ἐρυθήματος,,,,,0
40535,ε14411,ἐρυθίβη,n,----------,,,,,,0
40536,ε14412,ἐρυθῖνος,n,n-s---mn2-,ἐρυθίνου,,,,,0
40537,ε14413,ἐρυθράδιον,n,n-s---nn2-,ἐρυθραδίου,,,,,0
40538,,Ἐρυθραί,n,n-p---fn1l,Ἐρυθρῶν,,,/e.ry.tʰraí̯/,,0
40539,,Ἐρυθραϊκός,a,aps---mn1-,Ἐρυθραϊκός Ἐρυθραϊκή Ἐρυθραϊκόν,,,,,0
40540,ε14414,ἐρυθραίνω,v,----------,,,,,,0
40541,ε14416,ἐρυθραῖος,a,aps---mn1-,ἐρυθραῖος ἐρυθραῖα ἐρυθραῖον,,,,,0
40543,ε14417,ἐρύθρημα,n,n-s---nn3t,ἐρυθρήματος,,,,,0
40544,ε14418,ἐρυθρίας,n,n-s---mn1a,ἐρυθρίου,,,,,0
40545,ε14419,ἐρυθρίασις,n,n-s---fn3v,ἐρυθριασέως,,,,,0
40546,ε14420,ἐρυθριάω,v,----------,,,,,,0
40547,ε14422,ἐρυθρῖνος,n,n-s---mn2-,ἐρυθρίνου,,,,,0
40548,ε14421,ἐρυθρίς,n,----------,,,,,,0
40550,ε14424,ἐρυθρόβωλος,a,aps---cn2-,ἐρυθρόβωλος ἐρυθρόβωλος ἐρυθρόβωλον,,,,,0
40552,ε14426,ἐρυθροδάκτυλος,a,aps---cn2-,ἐρυθροδάκτυλος ἐρυθροδάκτυλος ἐρυθροδάκτυλον,,,,,0
40553,ε14427,ἐρυθρόδανον,n,n-s---nn2-,ἐρυθροδάνου,,,,,0
40554,ε14428,ἐρυθροδανόω,v,----------,,,,,,0
40555,ε14429,ἐρυθροδάνωσις,n,n-s---fn3v,ἐρυθροδανωσέως,,,,,0
40556,ε14430,ἐρυθροειδής,n,----------,,,,,,0
40557,ε14431,ἐρυθροκάρδιος,a,aps---cn2-,ἐρυθροκάρδιος ἐρυθροκάρδιος ἐρυθροκάρδιον,,,,,0
40558,ε14432,ἐρυθροκομίς,n,n-s---fn3d,ἐρυθροκομίδος,,,,,0
40559,ε14433,ἐρυθρόλευκος,a,aps---cn2-,ἐρυθρόλευκος ἐρυθρόλευκος ἐρυθρόλευκον,,,,,0
40560,ε14434,ἐρυθρομέλας,n,----------,,,,,,0
40561,ε14435,ἐρυθρόνιον,n,n-s---nn2-,ἐρυθρονίου,,,,,0
40563,ε14437,ἐρυθροποίκιλος,a,aps---cn2-,ἐρυθροποίκιλος ἐρυθροποίκιλος ἐρυθροποίκιλον,,,,,0
40564,ε14438,ἐρυθρόπους,n,----------,,,,,,0
40515,ε14392,ἔρσην,n,----------,,,,,,0
40567,ε14441,ἐρυθρότης,n,n-s---fn3t,ἐρυθρότητος,,,,,0
40568,ε14442,ἐρυθρόχλωρος,a,aps---cn2-,ἐρυθρόχλωρος ἐρυθρόχλωρος ἐρυθρόχλωρον,,,,,0
40570,ε14444,ἐρυθρόχρως,n,n-s---cn3d,ἐρυθρόχρωτος,,,,,0
40571,ε14445,ἐρυθρύδανον,n,n-s---nn2-,ἐρυθρυδάνου,,,,,0
40572,ε14446,ἐρυθρώδης,a,aps---cn3s,ἐρυθρώδης ἐρυθρώδης ἐρυθρώ͂δες,,,,,0
40573,ε14447,ἐρύθω,v,----------,,,,,,0
40574,ε14448,ἐρυκανάω,v,----------,,,,,,0
40575,ε14449,ἐρυκτῆρες,n,----------,,,,,,0
40576,ε14450,ἐρύκω,v,----------,,,,,,0
40578,ε14452,ἐρυμάτιον,n,n-s---nn2-,ἐρυματίου,,,,,0
40579,ε14453,ἐρυμνάομαι,v,----------,,,,,,0
40581,ε14456,ἐρυμνός,a,aps---mn1-,ἐρυμνός ἐρυμνή ἐρυμνόν,,,,,0
40582,ε14457,ἐρυμνότης,n,n-s---fn3t,ἐρυμνότητος,,,,,0
40583,ε14458,ἐρυμνόω,v,----------,,,,,,0
40584,ε14454,ἐρυμνῶδις,n,----------,,,,,,0
40585,ε14459,ἔρυξις,n,n-s---fn3v,ἐρυξέως,,,,,0
40586,ε14461,ἐρύσαιθρον,n,----------,,,,,,0
40587,ε14462,ἐρυσάρματες,n,----------,,,,,,0
40588,ε14463,ἐρυσιβάω,v,----------,,,,,,0
40589,ε14464,ἐρυσίβη,n,n-s---fn1e,ἐρυσίβης,,,,,0
40590,ε14465,ἐρυσίβιος,n,n-s---mn2-,ἐρυσιβίου,,,,,0
40591,ε14466,ἐρυσιβόω,v,----------,,,,,,0
40592,ε14467,ἐρυσιβώδης,a,aps---cn3s,ἐρυσιβώδης ἐρυσιβώδης ἐρυσιβώ͂δες,,,,,0
40593,ε14468,ἐρυσίθριξ,n,----------,,,,,,0
40594,ε14469,ἐρύσιμον,n,n-s---nn2-,ἐρυσίμου,,,/e.rý.si.mon/,,0
40595,ε14470,ἐρυσινηί̈ς,n,----------,,,,,,0
40597,ε14472,ἐρυσιπελατώδης,a,aps---cn3s,ἐρυσιπελατώδης ἐρυσιπελατώδης ἐρυσιπελατώ͂δες,,,,,0
40598,ε14473,ἐρυσίπτολις,n,----------,,,,,,0
40599,ε14474,ἔρυσις,n,n-s---fn3v,ἐρυσέως,,,,,0
40600,ε14475,ἐρυσίσκηπτρον,n,n-s---nn2-,ἐρυσισκήπτρου,,,,,0
40601,ε14476,ἐρυσίχαιος,a,aps---cn2-,ἐρυσίχαιος ἐρυσίχαιος ἐρυσίχαιον,,,,,0
40602,ε14477,ἐρυσιχθονίδαι,n,----------,,,,,,0
40603,ε14478,ἐρυσίχθων,n,----------,,,,,,0
40604,ε14479,ἐρυσμός,n,----------,,,,,,0
40606,ε14481,ἐρυστός,a,aps---mn1-,ἐρυστός ἐρυστή ἐρυστόν,,,,,0
40607,ε14482,ἐρυτήρ,n,n-s---mn3r,ἐρυτῆρος,,,,,0
40608,ε14483,ἐρύω,v,----------,,,,,,0
40609,ε14460,ἐρύομαι,v,v1spid--1-,,,,,,0
40610,,Ξ,n,----------,,,,,,0
40611,ε14484,ἐρύω,v,----------,,,,,,0
40612,ε14485,ἔρφος,n,----------,,,,,,0
40614,ε14488,ἔρχαται,n,----------,,,,,,0
40616,ε14490,ἔρχατος,n,n-s---mn2-,ἐρχάτου,,,,,0
40617,ε14491,ἔρχομαι,v,----------,,,,/ér.kʰo.mai̯/,,0
40618,,Ἐρχομενός,n,----------,,,,,,0
40566,ε14440,ἐρυθρός,a,aps---mn1-,ἐρυθρός ἐρυθρά ἐρυθρόν,,,/e.ry.tʰrós/,,0
40621,ε14493,ἐρωγάς,n,----------,,,,,,0
40622,ε13972,ἐρῳδιός,n,n-s---mn2-,,,,,,0
40623,ε14494,ἔρωες,n,----------,,,,,,0
40624,ε14495,ἐρωέω,v,----------,,,,,,0
40625,ε14496,ἐρωμανέω,v,----------,,,,,,0
40628,ε14499,ἐρωμένιον,n,n-s---nn2-,ἐρωμενίου,,,/e.rɔː.mé.ni.on/,,0
40629,ε14501,ἔρως,n,n-s---mn3d,ἔρωτος,,,/é.rɔːs/,,0
40630,,Ἐρωτάριον,n,n-s---nn2-,Ἐρωταρίου,,,,,0
40631,ε14502,ἐρωτάω,v,----------,,,,/e.rɔː.tá.ɔː/,,0
40632,ε14503,ἐρώτημα,n,n-s---nn3t,ἐρωτήματος,,,,,0
40633,ε14504,ἐρωτηματίζω,v,----------,,,,,,0
40635,ε14506,ἐρώτησις,n,n-s---fn3v,ἐρωτησέως,,,,,0
40636,ε14507,ἐρωτητέον,a,----------,,,,,,0
40637,ε14508,ἐρωτητικός,a,aps---mn1-,ἐρωτητικός ἐρωτητική ἐρωτητικόν,,,,,0
40638,ε14509,ἐρωτιάς,n,n-s---fn3d,ἐρωτιάδος,,,,,0
40639,ε14510,ἐρωτιάω,v,----------,,,,,,0
40640,ε14511,ἐρωτιδεύς,n,n-s---mn3v,ἐρωτιδέως,,,,,0
40641,ε14512,ἐρωτίδια,n,n-p---nn2-,ἐρωτιδίων,,,,,0
40642,ε14513,ἐρωτίζω,v,----------,,,,,,0
40643,ε14514,ἐρωτικός,a,aps---mn1-,ἐρωτικός ἐρωτική ἐρωτικόν,,,/e.rɔː.ti.kós/,,0
40644,ε14531,ἐρωτώτερος,a,----------,,,,,,0
40645,ε14515,ἐρώτιον,n,n-s---nn2-,ἐρωτίου,,,,,0
40646,ε14516,ἐρωτίς,n,n-s---fn3d,ἐρωτίδος,,,,,0
40647,ε14517,ἐρωτίσκος,n,n-s---mn2-,ἐρωτίσκου,,,,,0
40650,ε14520,ἐρωτόεις,a,aps---mn4i,ἐρωτόεις ἐρωτόεσσα ἐρωτόεν,,,,,0
40651,ε14521,ἐρωτόληπτος,a,aps---cn2-,ἐρωτόληπτος ἐρωτόληπτος ἐρωτόληπτον,,,,,0
40652,ε14522,ἐρωτομανέω,v,----------,,,,,,0
40653,ε14523,ἐρωτομανής,r,----------,,,,,,0
40654,ε14524,ἐρωτομανία,n,n-s---fn1l,ἐρωτομανίας,,,,,0
40655,ε14525,ἐρωτοπαίγνιον,n,n-s---nn2-,ἐρωτοπαιγνίου,,,,,0
40657,ε14527,ἐρωτοπλοέω,v,----------,,,,,,0
40658,ε14528,ἐρωτοτόκος,a,aps---cn2-,ἐρωτοτόκος ἐρωτοτόκος ἐρωτοτόκον,,,,,0
40659,ε14529,ἐρωτοτρόφος,a,aps---cn2-,ἐρωτοτρόφος ἐρωτοτρόφος ἐρωτοτρόφον,,,,,0
40660,ε14530,ἐρωτύλος,n,n-s---mn2-,ἐρωτύλου,,,,,0
40661,ε14532,ἐς,s,----------,,,,,,0
40662,ε14533,ἐσαπλῶς,n,----------,,,,,,0
40663,ε14534,ἐσάχρι,r,----------,,,,,,0
40664,ε14535,ἐσδέλλω,v,----------,,,,,,0
40665,ε14536,ἐσδοκά,n,----------,,,,,,0
40666,ε14537,ἔσδοσις,n,----------,,,,,,0
40667,ε14538,ἐσεργνύναι,v,----------,,,,,,0
40668,ε14539,ἐσηλυσίη,n,n-s---fn1e,ἐσηλυσίης,,,,,0
40669,ε14540,ἕσθαι,n,----------,,,,,,0
40670,ε14541,ἐσθέω,v,----------,,,,,,0
40671,ε14542,ἔσθημα,n,n-s---nn3t,ἐσθήματος,,,,,0
40672,ε14543,ἕσθην,n,----------,,,,,,0
40673,ε14544,ἐσθής,n,----------,,,,,,0
40620,ε13857,ἐρῶ,v,----------,,,,,,0
40676,ε14547,ἐσθίω,v,----------,,,,/es.tʰí.ɔː/,,0
40678,ε14550,ἐσθλός,a,aps---mn1-,ἐσθλός ἐσθλή ἐσθλόν,,,/es.tʰlós/,,0
40679,ε14551,ἐσθλότης,n,n-s---fn3t,ἐσθλότητος,,,,,0
40680,ε14552,ἔσθος,n,n-s---nn3v,ἔσθεος,,,,,0
40681,ε14553,ἔσθω,v,----------,,,,,,0
40682,ε14554,ἐσία,n,n-s---fn1l,ἐσίας,,,,,0
40683,ε14555,ἑσία,n,n-s---fn1l,ἑσίας,,,,,0
40684,ε14556,ἐσιέμεναι,n,----------,,,,,,0
40685,,Ἑσιῆς,n,----------,,,,,,0
40686,ε14557,ἐσικνέομαι,v,----------,,,,,,0
40687,ε14558,ἕσις,n,n-s---fn3v,ἕσεως,,,,,0
40688,ε14559,ἐσκάλισις,n,n-s---fn3v,ἐσκαλισέως,,,,,0
40689,ε14560,ἐσκεθῆν,v,----------,,,,,,0
40690,ε14561,ἐσκεμμένως,r,----------,,,,,,0
40691,ε14562,ἐσκιχρέμεν,v,----------,,,,,,0
40692,ε14563,ἔσκληκα,n,----------,,,,,,0
40693,ε14564,ἔσκλητος,n,----------,,,,,,0
40694,ε14565,ἔσκον,n,----------,,,,,,0
40695,ε14566,ἐσλιήνω,v,----------,,,,,,0
40696,ε14567,ἐσλός,n,----------,,,,,,0
40698,ε14569,ἑσμός,n,n-s---mn2-,,,,,,0
40700,ε14571,ἑσμοφύλαξ,n,n-s---mn3e,ἑσμοφύλακος,,,,,0
40701,ε14572,ἐσόβδην,r,----------,,,,,,0
40702,ε14574,ἔσοπτρον,n,----------,,,,,,0
40703,ε14575,ἔσοπτρος,n,n-s---mn2-,ἐσόπτρου,,,,,0
40704,ε14573,ἐσοῦμαι,v,----------,,,,,,0
40705,ε14576,ἐσπαρμένως,r,----------,,,,,,0
40706,ε14577,ἑσπέρα,n,n-s---fn1l,ἑσπέρας,,,/hes.pé.raː/,,0
40707,ε14580,ἐσπερᾶσαι,n,----------,,,,,,0
40708,,Ἑσπερία,n,n-s---fn1l,Ἑσπερίας,,,,,0
40711,,Ἑσπέριον,n,----------,,,,,,0
40713,,Ἑσπερίς,n,n-s---fn3-,Ἑσπερίδος,,,/hes.pe.rís/,,0
40714,,Ἑσπέρισμα,n,n-s---nn3t,Ἑσπερίσματος,,,,,0
40715,,Ἑσπερίτης,n,n-s---mn1e,Ἑσπερίτου,,,,,0
40716,,Ἑσπερόθεν,r,----------,,,,,,0
40717,ε14578,ἑσπερόμορφος,a,aps---cn2-,ἑσπερόμορφος ἑσπερόμορφος ἑσπερόμορφον,,,,,0
40718,ε14579,ἕσπερος,a,aps---cn2-,ἕσπερος ἕσπερος ἕσπερον,,,/hés.pe.ros/,,0
40719,ε14581,ἐσπευσμένως,r,----------,,,,,,0
40720,ε14582,ἐσπίφρημι,v,----------,,,,,,0
40721,ε14583,ἕσπομαι,v,----------,,,,,,0
40722,ε14584,ἑσπόμην,n,----------,,,,,,0
40723,ε14585,ἔσπον,v,----------,,,,,,0
40725,ε14587,ἐσπρεμμίττεν,n,----------,,,,,,0
40726,ε14588,ἔσρος,n,----------,,,,,,0
40727,ε14590,ἕσσα,n,----------,,,,,,0
40728,ε14589,ἔσσα,n,----------,,,,,,0
40730,ε14592,ἐσσεδάριος,n,n-s---mn2-,ἐσσεδαρίου,,,,,0
40731,ε14593,ἐσσεῖται,n,----------,,,,,,0
40732,ε14594,ἔσσευα,n,----------,,,,,,0
40733,ε14596,ἐσσήν,n,----------,,,,,,0
40675,ε14546,ἔσθι,n,----------,,,,,,0
40737,ε14599,ἐσσία,n,n-s---fn1l,ἐσσίας,,,,,0
40738,ε14600,ἕσσο,n,----------,,,,,,0
40739,ε14601,ἐσσόριον,n,n-s---nn2-,ἐσσορίου,,,,,0
40740,ε14602,ἔσσυμαι,v,----------,,,,,,0
40742,ε14604,ἔσσυο,n,----------,,,,,,0
40743,ε14605,ἕσσων,a,aps---cn2-,ἕσσων ἕσσων ἕσπερον,,,,,0
40744,ε14606,ἕστακα,n,----------,,,,,,0
40745,ε14607,ἐστάλατο,n,----------,,,,,,0
40746,ε14608,ἑσταότως,r,----------,,,,,,0
40747,ε14609,ἔστε,v,v1spia----,,,,/és.te/,,0
40749,ε14611,ἐστεκνόομαι,v,----------,,,,,,0
40750,ε14612,ἐστενωμένως,r,----------,,,,,,0
40751,ε14613,ἕστηκα,v,v1spia----,,,,/hés.tɛː.ka/,,0
40752,ε14614,ἑστηκότως,r,----------,,,,,,0
40754,ε14616,ἐστηριγμένως,r,----------,,,,,,0
40755,ε14617,ἑστία,n,n-s---fn1l,ἑστίας,,,,,0
40756,,Ἑστιαῖον,n,n-s---nn2-,Ἑστιαίου,,,,,0
40757,,Ἑστιαῖος,n,n-s---mn2-,Ἑστιαίου,,,,,0
40758,ε14618,ἑστίαμα,n,n-s---nn3t,ἑστιάματος,,,,,0
40760,ε14620,ἑστιάρχης,n,n-s---mn1e,ἑστιάρχου,,,,,0
40761,,Ἑστιάς,n,n-p---fn1l,Ἑστιῶν,,,,,0
40763,,Ἑστιασταί,n,n-p---mn2-,Ἑστιαστῶν,,,,,0
40764,ε14622,ἑστιατήριον,n,n-s---nn2-,ἑστιατηρίου,,,,,0
40766,ε14624,ἑστιατορία,n,n-s---fn1l,ἑστιατορίας,,,,,0
40767,ε14625,ἑστιατόριον,n,n-s---nn2-,ἑστιατορίου,,,,,0
40768,ε14626,ἑστιατορίς,n,----------,,,,,,0
40769,ε14627,ἑστιάτωρ,n,----------,,,,,,0
40770,ε14628,ἑστιάω,v,----------,,,,,,0
40771,ε14630,ἑστιῶν,v,----------,,,,,,0
40772,ε14631,ἔστιοι,n,----------,,,,,,0
40773,ε14632,ἑστιόομαι,v,----------,,,,,,0
40774,ε14633,ἑστιοπάμων,n,n-s---mn3n,ἑστιοπάμονος,,,,,0
40775,ε14634,ἕστιος,a,aps---mn1-,ἕστιος ἕστια ἕστιον,,,,,0
40776,ε14635,ἑστιουχέω,v,----------,,,,,,0
40778,ε14637,ἑστιῶτις,n,n-s---fn3d,ἑστιώτιδος,,,,,0
40779,ε14638,ἕστο,n,----------,,,,,,0
40780,ε14639,ἐστοχασμένως,r,----------,,,,,,0
40781,ε14640,ἐστραμμένως,r,----------,,,,,,0
40782,ε14641,ἐστρίς,r,----------,,,,,,0
40783,ε14642,ἐστυμμένως,r,----------,,,,,,0
40784,ε14644,ἐστώ,n,n-s---fn3c,ἐστοῦς,,,,,0
40786,ε14646,ἐσύνηκεν,n,----------,,,,,,0
40787,ε14647,ἐσύστερον,r,----------,,,,,,0
40788,ε14648,ἔσφαλα,n,----------,,,,,,0
40789,ε14649,ἐσφαλμένως,r,----------,,,,,,0
40790,ε14650,ἐσφέρω,v,----------,,,,,,0
40792,ε14652,ἔσφλασις,n,n-s---fn3v,ἐσφλασέως,,,,,0
40793,ε14653,ἐσφλάω,v,----------,,,,,,0
40736,ε14598,ἐσσηνία,n,n-s---fn1l,ἐσσηνίας,,,,,0
40796,ε14656,ἐσχαράδιν,n,----------,,,,,,0
40797,ε14657,ἐσχαρεῖον,n,n-s---nn2-,ἐσχαρείου,,,/es.kʰa.rêː.on/,,0
40798,ε14658,ἐσχαρεύς,n,n-s---mn3v,ἐσχαρέως,,,,,0
40799,ε14659,ἐσχαρεών,n,n-s---mn3n,ἐσχαρεῶνος,,,,,0
40801,ε14661,ἐσχάρινθον,n,n-s---nn2-,ἐσχαρίνθου,,,,,0
40802,ε14662,ἐσχάριον,n,n-s---nn2-,ἐσχαρίου,,,/es.kʰá.ri.on/,,0
40803,ε14663,ἐσχάριος,a,aps---cn2-,ἐσχάριος ἐσχάριος ἐσχάριον,,,,,0
40804,ε14664,ἐσχαρίς,n,n-s---fn3d,ἐσχαρίδος,,,,,0
40806,ε14666,ἐσχαρόπεπτος,a,aps---cn2-,ἐσχαρόπεπτος ἐσχαρόπεπτος ἐσχαρόπεπτον,,,,,0
40807,ε14667,ἔσχαρος,n,n-s---mn2-,ἐσχάρου,,,,,0
40808,ε14668,ἐσχαρόφιν,n,----------,,,,,,0
40809,ε14669,ἐσχαρόω,v,----------,,,,,,0
40810,ε14670,ἐσχαρώδης,a,aps---cn3s,ἐσχαρώδης ἐσχαρώδης ἐσχαρώ͂δες,,,,,0
40811,ε14671,ἐσχάρωμα,n,n-s---nn3t,ἐσχαρώματος,,,,,0
40812,ε14672,ἐσχαρών,n,n-s---mn3n,ἐσχαρῶνος,,,,,0
40813,ε14673,ἐσχάρωσις,n,n-s---fn3v,ἐσχαρωσέως,,,,,0
40815,ε14675,ἐσχατάω,v,----------,,,,,,0
40816,ε14676,ἐσχατεύω,v,----------,,,,,,0
40818,ε14678,ἐσχατίζω,v,----------,,,,,,0
40819,ε14679,ἐσχάτιος,a,aps---mn1-,ἐσχάτιος ἐσχάτια ἐσχάτιον,,,,,0
40820,ε14680,ἐσχατιώτης,n,n-s---mn1e,ἐσχατιώτου,,,,,0
40822,ε14681,ἐσχατόγηρος,n,----------,,,,,,0
40823,ε14683,ἐσχατόεις,n,----------,,,,,,0
40824,ε14684,ἐσχατοκόλλιον,n,n-s---nn2-,ἐσχατοκολλίου,,,,,0
40825,ε14685,ἔσχατος,a,aps---mn1-,ἔσχατος ἐσχάτη ἔσχατον,,,/és.kʰa.tos/,,0
40826,ε14686,ἔσχεθον,n,----------,,,,,,0
40827,ε14687,ἐσχηματισμένως,r,----------,,,,,,0
40828,ε14688,ἔσχων,n,----------,,,,,,0
40829,ε14689,ἔσω,r,rp--------,,,,/é.sɔː/,,0
40830,ε14690,ἔσωθεν,r,----------,,,,,,0
40831,ε14691,ἐσωπή,n,n-s---fn1e,ἐσωπῆς,,,,,0
40832,ε14692,ἐσώτατος,a,aps---mn1-,ἐσώτατος ἐσωτάτη ἐσώτατον,,,,,0
40834,ε14694,ἐσωτερικός,a,aps---mn1-,ἐσωτερικός ἐσωτερική ἐσωτερικόν,,,/e.sɔː.te.ri.kós/,,0
40835,ε14695,ἐσωτέρω,v,----------,,,,,,0
40836,ε14696,ἐσωτικός,a,aps---mn1-,ἐσωτικός ἐσωτική ἐσωτικόν,,,,,0
40837,ε14697,ἐσώφωτον,n,n-s---nn2-,ἐσωφώτου,,,,,0
40838,ε14698,ἐτάζω,v,----------,,,,,,0
40839,ε14699,ἑταίρα,n,n-s---fn1l,ἑταίρας,,,,,0
40840,ε14700,ἑταιρεία,n,n-s---fn1l,ἑταιρείας,,,,,0
40842,ε14701,ἑταιρειώτης,n,n-s---mn1e,ἑταιρειώτου,,,,,0
40843,ε14703,ἑταιρεύομαι,v,----------,,,,,,0
40844,ε14704,ἑταιρέω,v,----------,,,,,,0
40845,ε14705,ἑταιρηί̈η,a,aps---mn1-,ἑταιρηί̈η ἑταιρηίη ἑταιρηίον,,,,,0
40846,ε14706,ἑταίρησις,n,n-s---fn3v,ἑταιρησέως,,,,,0
40795,ε14655,ἐσχάρα,n,n-s---fn1l,ἐσχάρας,,,/es.kʰá.raː/,,0
40849,ε14709,ἑταιρίδιον,n,----------,,,,,,0
40850,ε14710,ἑταιρίζω,v,----------,,,,,,0
40852,ε14712,ἑταιρίς,n,n-s---fn3d,ἑταιρίδος,,,,,0
40853,ε14713,ἑταίρισμα,n,n-s---nn3t,ἑταιρίσματος,,,,,0
40854,ε14714,ἑταιρισμός,n,----------,,,,,,0
40855,ε14715,ἑταιριστής,n,n-s---mn1e,ἑταιριστού,,,,,0
40856,ε14716,ἑταιροποιέομαι,v,----------,,,,,,0
40857,ε14723,ἑταῖρος,n,n-s---mn2-,ἑταῖρου,,,/he.tái̯.ros/,,0
40858,ο02646,οσύνη,n,n-s---fn1e,οσύνης,,,,,0
40860,ε14718,ἑταιρότης,n,----------,,,,,,0
40862,ε14721,ἔταλον,n,n-s---nn2-,ἐτάλου,,,,,0
40863,ε14720,ἐτάλασσας,n,----------,,,,,,0
40864,ε14722,ἕταρος,n,n-s---mn2-,,,,/hé.ta.ros/,,0
40865,ε14724,ἔτασις,n,n-s---fn3v,ἐτασέως,,,,,0
40866,ε14725,ἐτασμός,n,----------,,,,,,0
40867,ε14726,ἐταστής,n,n-s---mn1e,ἐταστού,,,,,0
40868,ε14727,ἔτειος,a,aps---mn1-,ἔτειος ἔτεια ἔτειον,,aps---cn2-=ἔτειος aps---cn2-=ἔτειος aps---nn2-=ἔτειον,,,0
40869,ε14728,ἔτελις,n,----------,,,,,,0
40870,,Ἐτεοβουτάδης,n,n-s---mn1e,Ἐτεοβουτάδου,,,,,0
40871,ε14729,ἐτεοδμώς,n,----------,,,,,,0
40872,,Ἐτεόκρητες,n,----------,,,,,,0
40873,ε14730,ἐτεόκριθος,n,----------,,,,,,0
40874,ε14731,ἐτεός,a,aps---mn1-,,,,/e.te.ós/,,0
40875,ε14733,ἑτεράλκεια,n,n-s---fn1s,ἑτεράλκειας,,,,,0
40876,ε14734,ἑτεραλκέομαι,v,----------,,,,,,0
40878,ε14736,ἑτεράριθμος,n,----------,,,,,,0
40879,ε14737,ἑτεραχθέω,v,----------,,,,,,0
40880,ε14738,ἑτερεγκεφαλάω,v,----------,,,,,,0
40882,ε14740,ἑτερήμερος,a,aps---cn2-,ἑτερήμερος ἑτερήμερος ἑτερήμερον,,,,,0
40883,ε14741,ἑτερήρης,a,aps---cn3s,ἑτερήρης ἑτερήρης ἑτερή͂ρες,,,,,0
40884,ε14742,ἑτέρηφι,n,----------,,,,,,0
40886,ε14744,ἑτεροβαρής,a,aps---cn5s,ἑτεροβαρής ἑτεροβαρής ἑτεροβαρές,,,,,0
40887,ε14745,ἑτερογαμία,n,n-s---fn1l,ἑτερογαμίας,,,,,0
40888,ε14746,ἑτερογάστριος,a,aps---cn2-,ἑτερογάστριος ἑτερογάστριος ἑτερογάστριον,,,,,0
40889,ε14747,ἑτερογενέω,v,----------,,,,,,0
40891,ε14749,ἑτερόγλαυκος,a,aps---cn2-,ἑτερόγλαυκος ἑτερόγλαυκος ἑτερόγλαυκον,,,,,0
40892,ε14750,ἑτερόγλωσσος,a,aps---cn2-,ἑτερόγλωσσος ἑτερόγλωσσος ἑτερόγλωσσον,,,,,0
